,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,changes made in fail file,Smash Bond 9. inner_radius,Smash Bond 9. inner_radius (min),Smash Bond 9. inner_radius (max),Smash Bond 9. inner_radius (avg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPNO,Unit,FO 1. Defect,FO 2. N_Defect,FO 3. Total Area,FO 4. Areas,FO 4. Areas (min),FO 4. Areas (max),FO 4. Areas (avg),FO 5. Total Area (um),FO 6. Areas (um),FO 6. Areas (um) (min),FO 6. Areas (um) (max),FO 6. Areas (um) (avg),FO 7. Angle (deg),FO 7. Angle (deg) (min),FO 7. Angle (deg) (max),FO 7. Angle (deg) (avg),FO 8. Offset X,FO 9. Offset Y,FO 10. Offset Theta,2DM 1. Defect,2DM 2. N_Defect,2DM 3. Row,2DM 4. Column,2DM 5. Angle,2DM 6. Width,2DM 7. Height,2DM 8. Offset X,2DM 9. Offset Y,2DM 10. Offset Theta,2DM 11. Inspection Time,Smash Bond 1. Defect,Smash Bond 2. N_Defect,Smash Bond 3. Total Area,Smash Bond 4. Areas,Smash Bond 4. Areas (min),Smash Bond 4. Areas (max),Smash Bond 4. Areas (avg),Smash Bond 5. Total Area (um),Smash Bond 6. Areas (um),Smash Bond 6. Areas (um) (min),Smash Bond 6. Areas (um) (max),Smash Bond 6. Areas (um) (avg),Smash Bond 7. Angle (deg),Smash Bond 7. Angle (deg) (min),Smash Bond 7. Angle (deg) (max),Smash Bond 7. Angle (deg) (avg),Smash Bond 8. circularity,Smash Bond 8. circularity (min),Smash Bond 8. circularity (max),Smash Bond 8. circularity (avg),Smash Bond 9. inner_radius (um),Smash Bond 9. inner_radius (um) (min),Smash Bond 9. inner_radius (um) (max),Smash Bond 9. inner_radius (um) (avg),Smash Bond 10. Inspection Time,Bond Offset 1. Defect,Bond Offset 2. N_Defect,Bond Offset 3. Total Area,Bond Offset 4. Areas,Bond Offset 4. Areas (min),Bond Offset 4. Areas (max),Bond Offset 4. Areas (avg),Bond Offset 5. Total Area (um),Bond Offset 6. Areas (um),Bond Offset 6. Areas (um) (min),Bond Offset 6. Areas (um) (max),Bond Offset 6. Areas (um) (avg),Bond Offset 7. Angle (deg),Bond Offset 7. Angle (deg) (min),Bond Offset 7. Angle (deg) (max),Bond Offset 7. Angle (deg) (avg),Bond Offset 8. Inspection Time,NSOL 1. Defect,NSOL 2. N_Defect,NSOL 3. Total Area,NSOL 4. Areas,NSOL 4. Areas (min),NSOL 4. Areas (max),NSOL 4. Areas (avg),NSOL 5. Total Area (um),NSOL 6. Areas (um),NSOL 6. Areas (um) (min),NSOL 6. Areas (um) (max),NSOL 6. Areas (um) (avg),NSOL 7. Angle (deg),NSOL 7. Angle (deg) (min),NSOL 7. Angle (deg) (max),NSOL 7. Angle (deg) (avg),NSOL 8. Inspection Time,FM Lead 1. Defect,FM Lead 2. N_Defect,FM Lead 3. Total Area,FM Lead 4. Areas,FM Lead 4. Areas (min),FM Lead 4. Areas (max),FM Lead 4. Areas (avg),FM Lead 5. Total Area (um),FM Lead 6. Areas (um),FM Lead 6. Areas (um) (min),FM Lead 6. Areas (um) (max),FM Lead 6. Areas (um) (avg),FM Lead 7. Angle (deg),FM Lead 7. Angle (deg) (min),FM Lead 7. Angle (deg) (max),FM Lead 7. Angle (deg) (avg),FM Lead 8. Offset X,FM Lead 9. Offset Y,FM Lead 10. Offset Theta,FM Lead 11. Inspection Time,Smash Bond 9. inner_radius,Smash Bond 9. inner_radius (min),Smash Bond 9. inner_radius (max),Smash Bond 9. inner_radius (avg)
HRH14450847,HE_9_1_L1_90,1,1,6841794,6841794,6841794,6841794,6841794,17.51499264,17.51499264,17.51499264,17.51499264,17.515,0.568244794,0.568244794,0.568244794,0.5682,3.020334344,-2.269873125,32.55802843,1,0,542.5818243,2290.38757,0.590067726,1.84802589,0.106764818,3.664620112,-0.868130919,33.80839033,15.53270002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.823100004,1,16,6116,"[451, 300, 476, 333, 451, 288, 466, 282, 471, 314, 433, 307, 414, 298, 436, 396]",282,476,382.25,15656.96,"[1154.56, 768, 1218.56, 852.48, 1154.56, 737.28, 1192.96, 721.92, 1205.76, 803.84, 1108.48, 785.92, 1059.84, 762.88, 1116.16, 1013.76]",721.92,1218.56,978.56,"[-1.75472494508287, -20.614815036775, -2.22846181643857, -7.04119642831954, -1.94852053607515, 13.1691900365361, -4.09893187587072, -56.8437966878055, 2.56864365185326, -11.32183149646, -2.32085258846578, -11.1548929468082, -1.43383083997752, -23.6591877468187, -1.89855007214569, -3.89745661288849]",-56.84379669,13.16919004,-8.405,1.4753,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666900003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.430499997,,,,
HRH14450847,HE_1_9_L1_90,1,1,6850690,6850690,6850690,6850690,6850690,17.5377664,17.5377664,17.5377664,17.5377664,17.5378,0.175768625,0.175768625,0.175768625,0.1758,3.086803716,-2.305633133,10.07080036,1,0,573.6141397,2339.66948,0.144336331,1.840775902,0.097132226,3.743471168,-0.917782623,8.269862581,33.30530002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901800017,1,16,6166,"[493, 255, 476, 265, 510, 251, 561, 238, 527, 268, 523, 255, 475, 238, 493, 338]",238,561,385.375,15784.96,"[1262.08, 652.8, 1218.56, 678.4, 1305.6, 642.56, 1436.16, 609.28, 1349.12, 686.08, 1338.88, 652.8, 1216, 609.28, 1262.08, 865.28]",609.28,1436.16,986.56,"[0, -90, 0, -79.5388512661822, 0, -87.3422796044195, 0, -90, 3.95299846597833, -76.8351097020414, -0.512936457220336, 73.1128988814072, 0.317716643255773, -90, 0, -0.91943822899458]",-90,73.11289888,-27.3603,3.521000006,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.055399993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220499999,,,,
HRH14450847,HE_18_9_L1_90,1,1,6852334,6852334,6852334,6852334,6852334,17.54197504,17.54197504,17.54197504,17.54197504,17.542,0.466766225,0.466766225,0.466766225,0.4668,3.061628987,-2.351946429,26.7437347,1,0,595.8862456,2321.674172,0.493034312,1.83946179,0.098789153,3.714678674,-0.953417993,28.24878526,27.76189998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486899979,1,16,6434,"[493, 272, 476, 313, 510, 285, 544, 282, 527, 306, 501, 287, 476, 278, 493, 391]",272,544,402.125,16471.04,"[1262.08, 696.32, 1218.56, 801.28, 1305.6, 729.6, 1392.64, 721.92, 1349.12, 783.36, 1282.56, 734.72, 1218.56, 711.68, 1262.08, 1000.96]",696.32,1392.64,1029.44,"[0, -90, 4.62461065641064, 4.18511373681176, 0, 56.1457256706633, 0, -56.8437966878055, 0, 0, 3.9625144159103, 46.9602221230627, 0, -70.3250209499274, 3.60442527819346, 0]",-90,56.14572567,-6.1054,1.78749999,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.858000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934299991,,,,
HRH14450847,HE_9_16_L1_90,1,1,6839378,6839378,6839378,6839378,6839378,17.50880768,17.50880768,17.50880768,17.50880768,17.5088,0.415718138,0.415718138,0.415718138,0.4157,3.097337474,-2.2706018,23.81889476,1,0,547.2096251,2344.16235,0.42174916,1.845195868,0.100341739,3.75065976,-0.8755354,24.16444691,26.15039999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.819899993,1,16,6121,"[493, 238, 476, 287, 493, 239, 534, 249, 527, 271, 508, 254, 474, 246, 492, 340]",238,534,382.5625,15669.76,"[1262.08, 609.28, 1218.56, 734.72, 1262.08, 611.84, 1367.04, 637.44, 1349.12, 693.76, 1300.48, 650.24, 1213.44, 629.76, 1259.52, 870.4]",609.28,1367.04,979.36,"[4.45472782662707, -90, 0.670128253931643, 46.7885786118604, 0, 89.2859345980492, 0.115897363248478, 78.5392023274131, 0, -85.3791437569857, -0.487540051495315, 87.6105104585258, 0, 83.5001781871169, 0.879714297827592, 0]",-90,89.2859346,13.4986,6.332499994,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.165800008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.463499983,,,,
HRH14450847,HE_1_2_L1,1,1,6845352,6845352,6845352,6845352,6845352,17.52410112,17.52410112,17.52410112,17.52410112,17.5241,0.273894706,0.273894706,0.273894706,0.2739,3.007011696,-2.256081641,15.69301068,1,0,533.9052734,2284.086509,0.314666911,1.848854415,0.107585368,3.654538414,-0.854248437,18.02908595,20.38280002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.870350716978561, 0.939273167226718, 0.902024894737869, 0.868053668699264, 0.902872172104015, 0.877992617373079, 0.853723923836788, 0.818402696702533, 0.878064072623826]",0.818402697,0.939273167,0.879,"[28, 27.2, 26.4, 26.4, 27.2, 27.2, 27.2, 27.2, 26.4]",26.4,28,27.0222,4.022300011,1,16,3706,"[278, 148, 320, 175, 308, 146, 321, 151, 346, 159, 293, 181, 241, 183, 258, 198]",146,346,231.625,9487.36,"[711.68, 378.88, 819.2, 448, 788.48, 373.76, 821.76, 386.56, 885.76, 407.04, 750.08, 463.36, 616.96, 468.48, 660.48, 506.88]",373.76,885.76,592.96,"[-90, 89.9940687453504, -11.9167903245905, 85.4161902491392, 6.25749000285992, -87.3162389624189, 16.5551277719673, -83.7631425954282, -0.624206354723259, -83.8428328471835, 26.7722389784091, -89.2661490150265, -80.8560064361995, -85.4030971062543, -63.4453794928988, 80.3138008806248]",-90,89.99406875,-23.1953,3.823799983,1,9,11560,"[1302, 1281, 1261, 1266, 1300, 1276, 1295, 1250, 1329]",1250,1329,1284.4444,0.0295936,"[0.00333312, 0.00327936, 0.00322816, 0.00324096, 0.003328, 0.00326656, 0.0033152, 0.0032, 0.00340224]",0.0032,0.00340224,0.0033,"[35.0162174037561, 82.5838163291257, 74.9331231807339, 31.5472035312181, -86.1500346514412, 81.6649081631995, -5.29892740978028, -20.3723456180975, 7.51410061446353]",-86.15003465,82.58381633,22.382,3.091399994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.298599979,,,,
HRH14450847,HE_2_1_L1,1,1,6847805,6847805,6847805,6847805,6847805,17.5303808,17.5303808,17.5303808,17.5303808,17.5304,0.270230097,0.270230097,0.270230097,0.2702,3.009175251,-2.30705786,15.48304403,1,0,568.7665673,2287.474807,0.29283371,1.849719844,0.106837284,3.659959691,-0.910026508,16.77813568,20.5479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.793323259759624, 0.879142018183111, 0.895235190285102, 0.857320172521112, 0.901973261235647, 0.749409658963724, 0.817832128207277, 0.82138733162098, 0.810238964817201]",0.749409659,0.901973261,0.8362,"[24.8, 24.8, 24.8, 25.6, 27.2, 22.4, 23.2, 25.6, 25.6]",22.4,27.2,24.8889,3.963099996,1,17,4195,"[359, 153, 368, 200, 326, 154, 397, 152, 28, 331, 179, 352, 193, 303, 211, 248, 241]",28,397,246.7647,10739.2,"[919.04, 391.68, 942.08, 512, 834.56, 394.24, 1016.32, 389.12, 71.68, 847.36, 458.24, 901.12, 494.08, 775.68, 540.16, 634.88, 616.96]",71.68,1016.32,631.7176,"[-18.5458039446148, 85.6494746779878, -9.35787361991153, 82.2789810030057, -17.1702155346131, 84.6882617610002, 2.2019434760911, -88.1887403105389, 88.1221114808423, 11.9317138594509, -89.9630228840506, -2.48258381838509, 82.1152997066417, -8.8780397906555, 87.1297290174782, -70.9442016880488, 69.335393724554]",-89.96302288,88.12211148,16.9366,4.548600002,1,9,11098,"[1273, 1238, 1238, 1212, 1255, 1212, 1185, 1236, 1249]",1185,1273,1233.1111,0.02841088,"[0.00325888, 0.00316928, 0.00316928, 0.00310272, 0.0032128, 0.00310272, 0.0030336, 0.00316416, 0.00319744]",0.0030336,0.00325888,0.0032,"[67.7756777641056, -47.6836127754241, -66.0575774846989, 23.9969684132534, -38.3786676094923, 23.2804517886972, 17.9500181457301, -36.8228916506478, 1.72374618826606]",-66.05757748,67.77567776,-6.024,4.237400019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.080100014,,,,
HRH14450847,HE_2_2_L1,1,1,6848640,6848640,6848640,6848640,6848640,17.5325184,17.5325184,17.5325184,17.5325184,17.5325,0.288565246,0.288565246,0.288565246,0.2886,2.993489461,-2.284715993,16.53357071,1,0,551.81998,2276.455405,0.31959122,1.850188343,0.107713439,3.642328648,-0.882911968,18.31122807,30.21370003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.773496462390932, 0.872879580542515, 0.872819442246382, 0.922648775499371, 0.810791105228535, 0.90503471011046, 0.795959629343936, 0.798418386408777, 0.677967320250237]",0.67796732,0.922648775,0.8256,"[21.6, 26.4, 27.2, 28, 23.2, 25.6, 22.4, 20.8, 20.8]",20.8,28,24,5.130899983,1,17,3851,"[348, 126, 364, 151, 307, 133, 362, 154, 30, 310, 181, 286, 180, 272, 215, 237, 195]",30,364,226.5294,9858.56,"[890.88, 322.56, 931.84, 386.56, 785.92, 340.48, 926.72, 394.24, 76.8, 793.6, 463.36, 732.16, 460.8, 696.32, 550.4, 606.72, 499.2]",76.8,931.84,579.9153,"[-15.4048979718063, 87.6958171876194, -0.677939963131991, -89.5977598085973, -21.6578304879161, -86.7882083821862, 0.874869471818363, -83.245636522523, 88.8208693676317, 27.3490494774787, -88.7357020466466, 63.4554206227927, -81.8458000695381, 72.1625274947676, -87.3596248254371, 78.9736427947772, 85.4561593964439]",-89.59775981,88.82086937,-2.9721,2.018400002,1,9,11184,"[1263, 1259, 1233, 1241, 1264, 1231, 1211, 1206, 1276]",1206,1276,1242.6667,0.02863104,"[0.00323328, 0.00322304, 0.00315648, 0.00317696, 0.00323584, 0.00315136, 0.00310016, 0.00308736, 0.00326656]",0.00308736,0.00326656,0.0032,"[32.1656477526318, 74.2693000205452, -33.8661984997695, -82.3617845288853, -12.1973081318011, -82.4914014820573, 22.8779748714087, -63.7489816173862, -40.914576089463]",-82.49140148,74.26930002,-20.6964,3.267100023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.446599992,,,,
HRH14450847,HE_1_1_L1,1,1,6853641,6853641,6853641,6853641,6853641,17.54532096,17.54532096,17.54532096,17.54532096,17.5453,0.237181209,0.237181209,0.237181209,0.2372,3.031198835,-2.28358403,13.58948226,1,0,554.2938719,2301.444161,0.253584212,1.850268601,0.107138848,3.682310658,-0.886870195,14.52930512,24.24610002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.83805644028259, 0.893283012155178, 0.860886058380829, 0.877512635485544, 0.844329165238317, 0.871033801177748, 0.882512499105737, 0.879743332172237, 0.876216572165638]",0.83805644,0.893283012,0.8693,"[26.4, 27.2, 26.4, 28, 25.6, 26.4, 27.2, 26.4, 25.6]",25.6,28,26.5778,4.61459998,1,16,3796,"[263, 176, 307, 201, 302, 159, 308, 167, 332, 184, 307, 192, 247, 181, 265, 205]",159,332,237.25,9717.76,"[673.28, 450.56, 785.92, 514.56, 773.12, 407.04, 788.48, 427.52, 849.92, 471.04, 785.92, 491.52, 632.32, 463.36, 678.4, 524.8]",407.04,849.92,607.36,"[-86.101778816065, 86.4396966430529, 6.31749905054019, 89.5764420210425, -14.9416568634227, -90, -30.2912260049066, -89.0749520127128, 3.9601440992579, 82.706562927192, -29.9047150215, -86.9415925954322, -86.6318170606825, 87.3561766445399, 64.4940668116395, 79.5236603758956]",-90,89.57644202,-0.8446,23.94789999,1,9,11628,"[1308, 1281, 1289, 1290, 1282, 1247, 1307, 1296, 1328]",1247,1328,1292,0.02976768,"[0.00334848, 0.00327936, 0.00329984, 0.0033024, 0.00328192, 0.00319232, 0.00334592, 0.00331776, 0.00339968]",0.00319232,0.00339968,0.0033,"[66.1189003609309, 82.0691697686543, -47.843444258518, -38.9265650213684, -29.7108579050713, 30.8814270218836, -50.4560131636201, -82.2283971106215, -64.9597380831151]",-82.22839711,82.06916977,-15.0062,20.3418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.800799994,,,,
HRH14450847,HE_3_2_L1,1,1,6844960,6844960,6844960,6844960,6844960,17.5230976,17.5230976,17.5230976,17.5230976,17.5231,0.582192007,0.582192007,0.582192007,0.5822,2.998222314,-2.249595905,33.35714489,1,0,527.418731,2274.819035,0.603091453,1.84989898,0.108036042,3.639710456,-0.84386997,34.55459492,24.9822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.88340692600299, 0.899206602907801, 0.899466542305889, 0.837401872048699, 0.899826781047112, 0.902615177054189, 0.944759091216645, 0.875273885289949, 0.852253217590153]",0.837401872,0.944759091,0.8882,"[27.2, 24.8, 24.8, 24.8, 25.6, 25.6, 27.2, 26.4, 24]",24,27.2,25.6,3.591199988,1,16,3900,"[305, 166, 318, 221, 307, 182, 315, 173, 318, 181, 283, 197, 248, 232, 228, 226]",166,318,243.75,9984,"[780.8, 424.96, 814.08, 565.76, 785.92, 465.92, 806.4, 442.88, 814.08, 463.36, 724.48, 504.32, 634.88, 593.92, 583.68, 578.56]",424.96,814.08,624,"[-26.6506164669565, 88.8231761650583, 0.917119673197038, 88.041775627083, 18.1756956013899, -78.5192207862379, 4.07708788641114, -88.9030575445524, 4.59139068058472, 83.9778135825022, 57.3500420530132, 88.9183832675506, -66.856397436985, -87.9445391210759, -82.6395758491242, 71.8055658770291]",-88.90305754,88.91838327,4.6978,2.816399996,1,9,11391,"[1307, 1224, 1236, 1249, 1293, 1274, 1264, 1252, 1292]",1224,1307,1265.6667,0.02916096,"[0.00334592, 0.00313344, 0.00316416, 0.00319744, 0.00331008, 0.00326144, 0.00323584, 0.00320512, 0.00330752]",0.00313344,0.00334592,0.0032,"[10.0251286910854, -10.5343180402617, 63.6308461893876, -59.0311220944434, -75.2799281802066, 48.4718806444984, 78.867626315047, 74.7891889753804, 41.5162381939761]",-75.27992818,78.86762632,19.1617,3.029400017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.533400024,,,,
