;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14720040;HE_9_1_L_74;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;10.709100170061;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.0789000988007;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.38309993781149;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.51109998114407;"74";2;3320;[1680, 1640];1640;1680;1660.0000;8499.2;[4300.8, 4198.4];4198.4;4300.8;4249.6000;[0, 89.843309654229];0;89.843309654229;44.9217;[4.8, 4];4;4.8;4.4000;223.2;-1015.2;0;8.73399991542101;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;8.19620001129806;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.0626999828964
HRH14720040;HE_18_4_L_51;"1";1;2989828;2989828;2989828;2989828;2989828.0000;7653959.68;7653959.68;7653959.68;7653959.68;7653959.6800;-1.23249353676687;-1.23249353676687;-1.23249353676687;-1.2325;6.21860008686781;"51";1;1;1853.49634039459;0.555519598083494;4030.68123389427;1988.19807522118;1459.01381757659;1857.12019715196;0.336822094649766;5078.97023205931;3431.8492605064;1395.10212478325;1855.30826877327;-1.54245341977432;-204.517416938673;-5.79817081179426;204.599590947855;0.218697503433728;87.2086999006569;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.564541819767701, 0.579184495807336, 0.553308979075859, 0.591763756853048, 0.599522345058836, 0.55379787893493, 0.625432291586701, 0.552777940846301, 0.562578628165089];0.552777940846301;0.625432291586701;0.5759;[24, 25.6, 24.8, 24.8, 25.6, 23.2, 27.2, 23.2, 26.4];23.2;27.2;24.9778;[57.6, 60.8, 57.6, 59.2, 59.2, 59.2, 60.8, 59.2, 62.4];57.6;62.4;59.5556;5.20279980264604;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.58690011873841;"1";1;34346;34346;34346;34346;34346.0000;87925.76;87925.76;87925.76;87925.76;87925.7600;-5.23774924372923;-5.23774924372923;-5.23774924372923;-5.2377;5.6;5.6;5.6;5.6000;2834.64224072672;-2300.01239154487;-300.100925813524;10.9695999417454;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;98.130599828437;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;26.9204000942409
HRH14720040;HE_14_6_L_77;"1";1;2996843;2996843;2996843;2996843;2996843.0000;7671918.08;7671918.08;7671918.08;7671918.08;7671918.0800;-1.12471251727367;-1.12471251727367;-1.12471251727367;-1.1247;7.03920004889369;"1";0;1300.47374608057;1858.00136646814;0.658591420762638;4030.18887088134;1988.17933587922;1429.84712962807;1859.47641822936;0.436135730979804;5080.22598663979;3427.29677278212;1365.16043785432;1858.73889234875;-1.55939531207609;-206.997413676008;-2.36008281795002;207.010867491211;0.222455689782834;66.6863000951707;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.535212737082279, 0.54476476115013, 0.551517583299057, 0.530452058040503, 0.565279002675049, 0.538033110117544, 0.533359550501848, 0.594490116528012, 0.542430461973922];0.530452058040503;0.594490116528012;0.5484;[25.6, 25.6, 25.6, 25.6, 26.4, 24.8, 24.8, 26.4, 25.6];24.8;26.4;25.6000;[57.6, 56, 59.2, 57.6, 60.8, 59.2, 56, 57.6, 60.8];56;60.8;58.3111;2.08539981395006;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.46609987132251;"1";1;32640;32640;32640;32640;32640.0000;83558.4;83558.4;83558.4;83558.4;83558.4000;-4.59442694411987;-4.59442694411987;-4.59442694411987;-4.5944;5.6;5.6;5.6;5.6000;2825.40357843137;-2205.26745098039;-263.241273179256;7.76800001040101;"72";1;111.794096445206;111.794096445206;111.794096445206;111.7941;111.794096445206;111.794096445206;111.794096445206;111.7941;3031.04;3031.04;3031.04;3031.0400;3031.04;156.051099998876;"77";1;111.794096445206;111.794096445206;111.794096445206;111.7941;0;0;0;0.0000;0;0;0;0.0000;111.794096445206;111.794096445206;111.794096445206;111.7941;3031.04;3031.04;3031.04;3031.0400;3031.04;20.5332001205534
HRH14720040;HE_18_8_L_51;"1";1;2993580;2993580;2993580;2993580;2993580.0000;7663564.8;7663564.8;7663564.8;7663564.8;7663564.8000;-1.17413765678714;-1.17413765678714;-1.17413765678714;-1.1741;5.13900001533329;"51";1;1;1875.32455955352;0.598861100280969;4030.52418979157;1987.95117739161;1466.26483360288;1875.73538857431;0.47450464785766;5081.46362965194;3429.50833930048;1400.87471973153;1875.52997406391;-1.56765496761159;-209.248364388315;-0.657326433259368;209.249396838378;0.124356452423309;54.5204998925328;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.579212313710963, 0.587711186723024, 0.583368859206716, 0.596348145824501, 0.568878791171256, 0.599219620917808, 0.584400507645691, 0.624689874792641, 0.577605673441718];0.568878791171256;0.624689874792641;0.5890;[24.8, 24.8, 25.6, 24.8, 24, 23.2, 24.8, 24.8, 24];23.2;25.6;24.5333;[57.6, 59.2, 59.2, 60.8, 59.2, 57.6, 57.6, 59.2, 59.2];57.6;60.8;58.8444;3.22460010647774;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.29760003276169;"1";1;33219;33219;33219;33219;33219.0000;85040.64;85040.64;85040.64;85040.64;85040.6400;-4.81213974956191;-4.81213974956191;-4.81213974956191;-4.8121;5.6;5.6;5.6;5.6000;2840.86177187754;-2282.65939372046;-275.715298077038;8.82279989309609;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;112.496200017631;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.8249998763204
HRH14720040;HE_18_7_L_51;"1";1;2995086;2995086;2995086;2995086;2995086.0000;7667420.16;7667420.16;7667420.16;7667420.16;7667420.1600;-0.885514660170668;-0.885514660170668;-0.885514660170668;-0.8855;11.0939999576658;"51";1;1;1891.72688069463;0.891892451182605;4030.45957536608;1988.38446509399;1458.03636223643;1889.75470572044;0.698751430535828;5079.27856733777;3429.92217365646;1391.04342521867;1890.74079320754;1.5560781143091;-214.377398456819;3.15547995869747;214.40062038829;0.193141020646778;64.217200037092;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.608827631503703, 0.590130347537677, 0.590511949832974, 0.624819614438975, 0.599483029158142, 0.595540733628647, 0.573506896454731, 0.588853589588888, 0.588668915298236];0.573506896454731;0.624819614438975;0.5956;[27.2, 26.4, 27.2, 26.4, 27.2, 28.8, 25.6, 27.2, 28];25.6;28.8;27.1111;[59.2, 60.8, 57.6, 60.8, 59.2, 60.8, 60.8, 59.2, 60.8];57.6;60.8;59.9111;3.4066999796778;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.82850000075996;"1";1;33796;33796;33796;33796;33796.0000;86517.76;86517.76;86517.76;86517.76;86517.7600;-4.59177507447003;-4.59177507447003;-4.59177507447003;-4.5918;5.6;5.6;5.6;5.6000;2880.02461829802;-2277.0978340632;-263.089332240502;6.39859982766211;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;138.865899993107;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.593099925667
HRH14720040;HE_1_9_L_74;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;3.42709990218282;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.4224000275135;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.857699895277619;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.14509998820722;"74";2;3462;[1893, 1569];1569;1893;1731.0000;8862.72;[4846.08, 4016.64];4016.64;4846.08;4431.3600;[0.00259111015574799, 89.8620125294511];0.00259111015574799;89.8620125294511;44.9323;[4.8, 4];4;4.8;4.4000;251.600633914422;-1015.19619651347;0.148459676177845;5.04339998587966;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.3468001149595;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.114499816671
HRH14720040;HE_18_9_L_74;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;5.50959981046617;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.4411000628024;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.49949989281595;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.18479994125664;"74";2;3584;[1739, 1845];1739;1845;1792.0000;9175.04;[4451.84, 4723.2];4451.84;4723.2;4587.5200;[-0.00102117055668777, 89.8147610732015];-0.00102117055668777;89.8147610732015;44.9069;[4.8, 4];4;4.8;4.4000;231.067050028752;-1015.20138010351;-0.0585087630612339;5.56880002841353;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;29.2018000036478;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.0143998861313
HRH14720040;HE_1_13_L_74;"1";1;2978138;2978138;2978138;2978138;2978138.0000;7624033.28;7624033.28;7624033.28;7624033.28;7624033.2800;-1.19076826808238;-1.19076826808238;-1.19076826808238;-1.1908;11.5853000897914;"1";0;1274.49801900273;1931.34145800989;0.626781707082794;4030.40111072793;1979.65339390127;1407.82056605674;1934.03402312588;0.300513456086401;5074.73954995595;3429.52596186826;1341.15929252974;1932.68774056788;-1.55060319975117;-213.316075286419;-4.30810418558576;213.359573812086;0.326268250996392;80.4518999066204;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.523375591660488, 0.532739374521739, 0.549566904129197, 0.506009317700409, 0.540466446562596, 0.502208944134916, 0.52087520982366, 0.493751211934407, 0.483012924631091];0.483012924631091;0.549566904129197;0.5169;[24, 23.2, 23.2, 23.2, 23.2, 23.2, 23.2, 24, 24];23.2;24;23.4667;[59.2, 57.6, 56, 57.6, 56, 56, 56, 56, 57.6];56;59.2;56.8889;1.87910022214055;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.46660008653998;"74";2;35933;[1540, 34393];1540;34393;17966.5000;91988.48;[3942.4, 88046.08];3942.4;88046.08;45994.2400;[0.617346294512093, -8.62985110769521];-8.62985110769521;0.617346294512093;-4.0063;[4.8, 5.6];4.8;5.6;5.2000;4897.34233766234;-1008.19844155844;35.3713371735832;8.79000010900199;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;164.173199795187;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;33.6975001264364
HRH14720040;HE_9_16_L_74;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;9.1474000364542;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.2040999922901;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.12189997546375;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.81719986721873;"74";2;3723;[1998, 1725];1725;1998;1861.5000;9530.88;[5114.88, 4416];4416;5114.88;4765.4400;[0, 89.8272032095438];0;89.8272032095438;44.9136;[4.8, 4];4;4.8;4.4000;265.6;-1015.2;0;6.32609985768795;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.5840999260545;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;6.90410006791353
