;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14720255;HE_1_2_C;1;1287.1148747316;1868.9341510209;0.424562562412486;0.995278835892577;45.3125000931323;"1";1;0;0;0;0.0000;10.2449987798926;10.2449987798926;10.2449987798926;10.2450;71.68;71.68;71.68;71.6800;71.68;16.2243999075145;"1";5;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 10.2449987798926, 9.32952303175248, 9.32952303175248, 11.3137084989848];9.32952303175248;11.3137084989848;9.9095;[51.2, 71.68, 51.2, 71.68, 81.92];51.2;81.92;65.5360;327.68;105.699399951845;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;112.662800122052;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.5029001776129
HRH14720255;HE_2_2_C;1;1302.88403983496;1858.7746855724;0.440365447339938;0.995153240552554;21.5191000606865;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.7209999207407;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;65.7444000244141;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;53.0760001856834;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.14609992690384
HRH14720255;HE_2_1_C;1;1311.93684827419;1876.03795581655;0.394772707137629;0.996790549449884;22.4138998892158;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.7370000164956;"1";1;0;0;0;0.0000;0;0;0;0.0000;16.4730082255792;16.4730082255792;16.4730082255792;16.4730;184.32;184.32;184.32;184.3200;184.32;88.6372998356819;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;47.5087000522763;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.6779999025166
HRH14720255;HE_3_1_C;1;1289.76701103926;1886.90591180955;0.461638176504598;0.994884163633856;31.7013000603765;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.9325001128018;"1";1;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;61.44;61.44;61.44;61.4400;61.44;143.532499903813;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;135.678499937057;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.93929998204112
HRH14720255;HE_4_2_C;1;1296.27844767466;1859.56812240039;0.479317461154144;0.996201674417478;47.3813000135124;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;18.5045001562685;"1";1;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;61.44;61.44;61.44;61.4400;61.44;177.841600030661;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;120.041199959815;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.36309983767569
HRH14720255;HE_3_2_C;1;1282.58965894449;1867.39294889305;0.412041955504475;0.994595960189883;39.9281999561936;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;51.3564997818321;"1";3;0;0;0;0.0000;0;0;0;0.0000;[18.2428068015862, 11.3137084989848, 9.32952303175248];9.32952303175248;18.2428068015862;12.9620;[215.04, 81.92, 71.68];71.68;215.04;122.8800;368.64;136.955800000578;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;127.893600147218;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.55660014227033
HRH14720255;HE_4_1_C;1;1304.456655311;1873.800240006;0.441539093237659;0.994096712185467;37.832000060007;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;44.3488000892103;"1";4;0;0;0;0.0000;0;0;0;0.0000;[8.15843122174846, 9.32952303175248, 9.32952303175248, 13.7637204272682];8.15843122174846;13.7637204272682;10.1453;[51.2, 51.2, 51.2, 122.88];51.2;122.88;69.1200;276.48;124.566900078207;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;194.385200040415;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.12009989283979
HRH14720255;HE_6_1_C;1;1301.13488269411;1870.61112079061;0.39154211596448;0.996252787281946;19.1351000685245;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.8182000741363;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;148.748999927193;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;100.863399915397;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.18220011144876
HRH14720255;HE_5_2_C;1;1273.42042340705;1867.32124906512;0.412111542204145;0.995788136746455;23.4279001597315;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;43.8622999936342;"1";2;0;0;0;0.0000;0;0;0;0.0000;[12.1852369693823, 9.32952303175248];9.32952303175248;12.1852369693823;10.7574;[102.4, 51.2];51.2;102.4;76.8000;153.6;156.381000066176;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;168.499500025064;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.97150015830994
