;;Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14720262;HE_9_1_C1_78;1;1877.72789611725;2212.97202141686;0.0035257394567459;0.651879174323938;27.9874999541789;"78";1;0;0;0;0;0;61.7441001813859;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.72649992257357;["68", "1"];[1, 0];64.8;0;0;0;33.7175999302417;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.7948999870569;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.857200007885695
HRH14720262;HE_3_3_C1_81;1;1303.1223532788;1886.97558009805;0.296075051564459;0.733228297361791;28.9404999930412;"1";0;1430.35521959389;1884.22749634228;0.371351075484754;5.12240692455928;3.46233890759599;62.5821999274194;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.88510012999177;["1", "1"];[0, 0];0;0;0;0;31.5661998465657;"81";2;[468.933177933178, 738.093715846995];468.933177933178;738.093715846995;603.5134;[437.386169386169, 457.99781420765];437.386169386169;457.99781420765;447.6920;[2059.2, 5856];2059.2;5856;3957.6000;[216.852, 611.746];216.852;611.746;414.2990;[];;;0.0000;[];;;0.0000;31.1741000041366;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.54360013827682
HRH14720262;HE_5_8_C1_81;1;1297.9104457595;1889.62318820704;-0.0892198369660974;0.734313767010889;27.72879996337;"1";0;1419.10070644467;1889.53144416602;0.175023348893112;5.11891489379888;3.46266410036623;32.6022999361157;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.41380001232028;["1", "1"];[0, 0];0;0;0;0;44.6136998943985;"81";1;2027.01679841897;2027.01679841897;2027.01679841897;2027.0168;1481.71837944664;1481.71837944664;1481.71837944664;1481.7184;3238.4;3238.4;3238.4;3238.4000;403.229;403.229;403.229;403.2290;[];;;0.0000;[];;;0.0000;21.7832000926137;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.3052999060601
HRH14720262;HE_6_8_C1_81;1;1311.94648670544;1876.70836776655;0.060341839182955;0.717144420417668;17.0205000322312;"1";0;1436.58110236477;1876.07783948963;0.326200907676992;5.12544674926895;3.46363235017788;51.8904998898506;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.1946998406202;["1", "1"];[0, 0];0;0;0;0;65.9062000922859;"81";2;[1867.49199231262, 2176.5303066318];1867.49199231262;2176.5303066318;2022.0111;[425.499679692505, 960.999049203708];425.499679692505;960.999049203708;693.2494;[2497.6, 6731.2];2497.6;6731.2;4614.4000;[346.447, 871.213];346.447;871.213;608.8300;[];;;0.0000;[];;;0.0000;27.5789999868721;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.40750005468726
HRH14720262;HE_4_7_C1_81;1;1331.10161812795;1889.35558552549;-0.0525269090484192;0.77389919153228;54.6661000698805;"1";0;1452.65021363731;1890.66971703075;0.197929380466098;5.12516445516442;3.46357522755575;55.180799914524;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.97400015592575;["1", "1"];[0, 0];0;0;0;0;39.4254000857472;"81";1;2198.47216035635;2198.47216035635;2198.47216035635;2198.4722;1936.46547884187;1936.46547884187;1936.46547884187;1936.4655;2155.2;2155.2;2155.2;2155.2000;376.938;376.938;376.938;376.9380;[];;;0.0000;[];;;0.0000;18.8438000623137;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.99169982969761
HRH14720262;HE_1_7_C1_81;1;1323.49143772341;1899.75449746734;0.0759970878829196;0.80239324461175;38.4605000726879;"1";0;1446.16875395865;1898.37570636697;0.357818053994917;5.1210501102124;3.46157047955693;69.8341000825167;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.87540003471076;["1", "1"];[0, 0];0;0;0;0;53.9460999425501;"81";1;460.954413892909;460.954413892909;460.954413892909;460.9544;2444.36324167873;2444.36324167873;2444.36324167873;2444.3632;2211.2;2211.2;2211.2;2211.2000;238.142;238.142;238.142;238.1420;[];;;0.0000;[];;;0.0000;36.6524001583457;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.76730000041425
HRH14720262;HE_1_9_C1_78;1;1904.9661527202;2249.08487034427;0.0909471617724459;0.517255528350177;58.6995999328792;"78";1;0;0;0;0;0;36.9356002192944;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.97309993766248;["1", "1"];[0, 0];0;0;0;0;54.7368000261486;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;20.9615000057966;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.26029993407428
HRH14720262;HE_18_9_C1_78;1;1922.83601663392;1541.0796357459;-0.153277200548013;0.5918628206812;60.4771999642253;"78";1;0;0;0;0;0;32.6050999574363;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.99799994193017;["68", "1"];[1, 0];55.2;0;0;0;57.8825999982655;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;15.2086999733001;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.17220007814467
HRH14720262;HE_5_12_C1_81;1;1299.01814194123;1909.36921695806;-0.0959484347577709;0.760039430438695;58.5938999429345;"1";0;1423.43739799861;1906.89262380736;0.0797097254911533;5.11800407136003;3.46228322095649;50.7367001846433;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.86580009944737;["1", "1"];[0, 0];0;0;0;0;66.9093998149037;"81";1;2383.34071885771;2383.34071885771;2383.34071885771;2383.3407;1070.94042343673;1070.94042343673;1070.94042343673;1070.9404;6499.2;6499.2;6499.2;6499.2000;325.591;325.591;325.591;325.5910;[];;;0.0000;[];;;0.0000;22.4903000053018;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.18209996819496
