;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);2DM (DA);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);Die Crack (DA);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField PD (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die);BrightField All (FM_Die)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14720379;HE_1_1_L;"1";1;2996293;2996293;2996293;2996293;2996293.0000;7670510.08;7670510.08;7670510.08;7670510.08;7670510.0800;-1.42549340532602;-1.42549340532602;-1.42549340532602;-1.4255;7.95489992015064;"1";0;1255.23308929159;1892.79181180676;0.359426688155381;4029.69295262182;1987.71764491049;1392.55662164527;1891.68033855649;0.225161431742601;5084.32888380006;3432.36026527146;1323.89485546843;1892.23607518163;1.56270267408091;-219.717651765901;1.77835720043768;219.724848507978;0.13426525641278;64.6240001078695;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.74291489194157, 0.756918876888896, 0.691181996428671, 0.740025356469324, 0.690664786294287, 0.663054008295937, 0.672018689270068, 0.709577758323881, 0.692567724818576];0.663054008295937;0.756918876888896;0.7065;[26.4, 27.2, 30.4, 25.6, 30.4, 27.2, 27.2, 26.4, 27.2];25.6;30.4;27.5556;[64, 65.6, 65.6, 64, 64, 64, 67.2, 64, 65.6];64;67.2;64.8889;4.1657998226583;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.76190019212663;"1";1;32298;32298;32298;32298;32298.0000;82682.88;82682.88;82682.88;82682.88;82682.8800;-4.91464435948722;-4.91464435948722;-4.91464435948722;-4.9146;5.6;5.6;5.6;5.6000;2846.90410551737;-2133.98991888043;-281.588379606394;10.0706000812352;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;82.0583999156952;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;14.7949999663979
HRH14720379;HE_2_1_L;"1";1;2996131;2996131;2996131;2996131;2996131.0000;7670095.36;7670095.36;7670095.36;7670095.36;7670095.3600;-1.42599141323712;-1.42599141323712;-1.42599141323712;-1.4260;9.62430005893111;"1";0;1269.74472507539;1882.2197735045;0.344141856630259;4029.39158740386;1987.64011526113;1406.83896745824;1882.33001499339;0.239177808366509;5082.57944748153;3433.99965811762;1338.29184626682;1882.27489424894;-1.56999219772857;-219.35078781256;-0.176386382220153;219.350858731272;0.104964048263751;62.2131999116391;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.726134615447787, 0.713900413589553, 0.746230759332098, 0.73448246160298, 0.718546036636296, 0.749463937982353, 0.72764899873532, 0.67846459117292, 0.741977671106407];0.67846459117292;0.749463937982353;0.7263;[30.4, 30.4, 30.4, 29.6, 28, 28.8, 30.4, 28.8, 28.8];28;30.4;29.5111;[64, 64, 64, 65.6, 62.4, 65.6, 67.2, 62.4, 67.2];62.4;67.2;64.7111;3.3207000233233;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.79329996556044;"1";1;32725;32725;32725;32725;32725.0000;83776;83776;83776;83776;83776.0000;-5.29103897853259;-5.29103897853259;-5.29103897853259;-5.2910;5.6;5.6;5.6;5.6000;2850.86787471352;-2166.541592055;-303.154202709128;9.53790009953082;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;107.417899882421;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.3924998641014
HRH14720379;HE_1_2_L;"1";1;2993074;2993074;2993074;2993074;2993074.0000;7662269.44;7662269.44;7662269.44;7662269.44;7662269.4400;-1.45368154175137;-1.45368154175137;-1.45368154175137;-1.4537;5.89530006982386;"1";0;1263.89461513571;1878.91152293036;0.327755919491319;4029.15741442258;1987.14666296722;1399.26006306894;1878.42461815142;0.220457821959206;5082.2058055299;3429.407175957;1331.57733910233;1878.66807054089;1.56719937730366;-216.584716693172;0.779047646305844;216.5861177922;0.107298097532113;30.6487998459488;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.761171306642257, 0.733889382188284, 0.742343449398177, 0.737024561950719, 0.748003852237885, 0.739237501287785, 0.709627384906794, 0.685849713079782, 0.713913916112931];0.685849713079782;0.761171306642257;0.7301;[25.6, 25.6, 26.4, 26.4, 25.6, 24.8, 24.8, 25.6, 24.8];24.8;26.4;25.5111;[65.6, 65.6, 65.6, 67.2, 65.6, 64, 67.2, 62.4, 65.6];62.4;67.2;65.4222;4.49270009994507;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.66029988415539;"1";1;32324;32324;32324;32324;32324.0000;82749.44;82749.44;82749.44;82749.44;82749.4400;-5.14160479989243;-5.14160479989243;-5.14160479989243;-5.1416;5.6;5.6;5.6;5.6000;2811.37012745947;-2155.52000989976;-294.592254958042;9.43959993310273;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;60.8175001107156;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.3147000558674
HRH14720379;HE_2_2_L;"1";1;2989309;2989309;2989309;2989309;2989309.0000;7652631.04;7652631.04;7652631.04;7652631.04;7652631.0400;-1.41143272744212;-1.41143272744212;-1.41143272744212;-1.4114;6.29070005379617;"1";0;1276.54253697899;1868.91989110159;0.357076732367771;4029.25531860157;1987.08157558597;1412.57102076742;1868.42448020496;0.223203633415714;5084.92178139502;3432.5655801156;1344.5567788732;1868.67218565328;1.56715437848754;-217.645574061497;0.792657434607463;217.647017471794;0.133873098952057;30.7706999592483;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.720471222773452, 0.751450087031392, 0.721160942625756, 0.742767912223966, 0.719283617171013, 0.769429614481681, 0.773726059665647, 0.703951934408093, 0.715702116491235];0.703951934408093;0.773726059665647;0.7353;[24.8, 27.2, 26.4, 27.2, 26.4, 29.6, 29.6, 28.8, 25.6];24.8;29.6;27.2889;[65.6, 62.4, 62.4, 64, 60.8, 62.4, 64, 62.4, 62.4];60.8;65.6;62.9333;3.73200001195073;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;6.5597000066191;"1";1;34399;34399;34399;34399;34399.0000;88061.44;88061.44;88061.44;88061.44;88061.4400;-4.99092831130654;-4.99092831130654;-4.99092831130654;-4.9909;5.6;5.6;5.6;5.6000;2842.49946800779;-2213.30378208669;-285.95912809022;7.90169998072088;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;63.6835999321193;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.3581001535058
HRH14720379;HE_3_2_L;"1";1;2992842;2992842;2992842;2992842;2992842.0000;7661675.52;7661675.52;7661675.52;7661675.52;7661675.5200;-1.44018311322365;-1.44018311322365;-1.44018311322365;-1.4402;11.5309997927397;"1";0;1258.45646313733;1877.14298208561;0.344735181383661;4029.03591650086;1987.13016639366;1392.19562076984;1876.13700604086;0.232389794782033;5083.74990040405;3430.49539858563;1325.32604195358;1876.63999406324;1.56327454266891;-213.982652212024;1.60956167160948;213.98870562828;0.112345386601628;75.1885999925435;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.752531046008726, 0.68697547577086, 0.729596937148653, 0.711346083403511, 0.702353159389551, 0.71945447736167, 0.738592212883126, 0.657173827925655, 0.763130986401596];0.657173827925655;0.763130986401596;0.7179;[29.6, 28.8, 28.8, 30.4, 30.4, 26.4, 28.8, 24.8, 29.6];24.8;30.4;28.6222;[64, 64, 64, 64, 62.4, 64, 64, 64, 64];62.4;64;63.8222;2.53549986518919;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.0361998360604;"1";1;32727;32727;32727;32727;32727.0000;83781.12;83781.12;83781.12;83781.12;83781.1200;-5.25356371014836;-5.25356371014836;-5.25356371014836;-5.2536;5.6;5.6;5.6;5.6000;2806.7210560088;-2160.058080484;-301.007027994591;12.3288999311626;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;176.890600007027;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.0758999977261
HRH14720379;HE_4_1_L;"1";1;2995952;2995952;2995952;2995952;2995952.0000;7669637.12;7669637.12;7669637.12;7669637.12;7669637.1200;-1.42895758749336;-1.42895758749336;-1.42895758749336;-1.4290;8.03609983995557;"1";0;1266.84640659579;1879.41343165896;0.353275976513594;4029.64957918089;1987.88819947133;1403.35966873873;1879.86759217048;0.220745526387073;5081.52739847481;3433.49227370001;1335.10303766726;1879.64051191472;-1.56746947906707;-218.421219428703;-0.726656818425545;218.42242816811;0.132530450126521;33.1158000044525;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.692661068009404, 0.711103019837574, 0.698330540888833, 0.747080929848556, 0.730546669039492, 0.71507741524007, 0.692235995099034, 0.659803558264471, 0.712662422267921];0.659803558264471;0.747080929848556;0.7066;[28.8, 30.4, 29.6, 30.4, 29.6, 29.6, 30.4, 30.4, 29.6];28.8;30.4;29.8667;[65.6, 64, 64, 65.6, 62.4, 65.6, 64, 64, 62.4];62.4;65.6;64.1778;14.5256000105292;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;14.0411001630127;"1";1;32647;32647;32647;32647;32647.0000;83576.32;83576.32;83576.32;83576.32;83576.3200;-5.06749648653501;-5.06749648653501;-5.06749648653501;-5.0675;5.6;5.6;5.6;5.6000;2847.63355897939;-2156.10230649064;-290.346161375829;19.398899981752;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;97.3846998531371;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;18.7836000695825
HRH14720379;HE_4_2_L;"1";1;2992184;2992184;2992184;2992184;2992184.0000;7659991.04;7659991.04;7659991.04;7659991.04;7659991.0400;-1.38750162827559;-1.38750162827559;-1.38750162827559;-1.3875;7.2868000715971;"1";0;1276.11475879558;1864.903819669;0.38372402608885;4029.25350303954;1987.2483452244;1409.47121415941;1864.8151018798;0.243139212673188;5085.11794490781;3432.25326635999;1342.79298647749;1864.8594607744;1.57013105884166;-213.370328582124;0.141948462718574;213.370375799008;0.140584813415662;30.4262000136077;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.738586925813729, 0.708896427822923, 0.681596156633278, 0.704588797631203, 0.745327770750924, 0.693985669876639, 0.702114244649334, 0.708804263930012, 0.743983542909886];0.681596156633278;0.745327770750924;0.7142;[24, 24.8, 24.8, 24, 24, 28.8, 26.4, 24.8, 25.6];24;28.8;25.2444;[65.6, 64, 64, 65.6, 65.6, 62.4, 67.2, 67.2, 64];62.4;67.2;65.0667;4.38159983605146;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.23779990524054;"1";1;32898;32898;32898;32898;32898.0000;84218.88;84218.88;84218.88;84218.88;84218.8800;-5.17668594165634;-5.17668594165634;-5.17668594165634;-5.1767;5.6;5.6;5.6;5.6000;2824.39550124628;-2180.20344093866;-296.602256321615;11.0367001034319;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;151.650100015104;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.2967999503016
HRH14720379;HE_3_1_L;"1";1;2996250;2996250;2996250;2996250;2996250.0000;7670400;7670400;7670400;7670400;7670400.0000;-1.45111261716648;-1.45111261716648;-1.45111261716648;-1.4511;12.7587001770735;"1";0;1250.35804726467;1889.21960378561;0.333059908832077;4029.79552348125;1987.6996107057;1386.28246612531;1890.12062693825;0.227947856832536;5082.52746572712;3433.25538186212;1318.32025669499;1889.67011536193;-1.56416756970294;-217.479070177015;-1.44163704422826;217.483848325402;0.105112051999541;75.0590998213738;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.729335062814018, 0.766276183091066, 0.697594348746688, 0.712097553464354, 0.687558105458092, 0.747013928803908, 0.716347278290967, 0.697255911532717, 0.736840480805945];0.687558105458092;0.766276183091066;0.7211;[28.8, 30.4, 30.4, 28, 28.8, 29.6, 29.6, 30.4, 30.4];28;30.4;29.6000;[64, 64, 65.6, 62.4, 60.8, 62.4, 62.4, 64, 64];60.8;65.6;63.2889;2.84090009517968;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.48139996640384;"1";1;32412;32412;32412;32412;32412.0000;82974.72;82974.72;82974.72;82974.72;82974.7200;-5.03442263773659;-5.03442263773659;-5.03442263773659;-5.0344;5.6;5.6;5.6;5.6000;2848.12039985191;-2127.66017524374;-288.451169427426;10.8986999839544;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;114.403699990362;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;43.5907000210136
HRH14720379;HE_5_2_L;"1";1;2993522;2993522;2993522;2993522;2993522.0000;7663416.32;7663416.32;7663416.32;7663416.32;7663416.3200;-1.38122271793526;-1.38122271793526;-1.38122271793526;-1.3812;21.3472000323236;"1";0;1258.9294315229;1872.20887593222;0.408788296432802;4029.17503541492;1987.29295201158;1391.98016249495;1871.98462008817;0.258604471471124;5084.51836847989;3430.26710450196;1325.45479700893;1872.09674801019;1.56911083713207;-212.881169555291;0.358809350474257;212.881471940088;0.150183824961677;52.9426999855787;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.695394816852602, 0.754392815723167, 0.72613698880358, 0.739851124718802, 0.730533617443914, 0.75857389780413, 0.704943789834664, 0.687119111630524, 0.720016583308367];0.687119111630524;0.75857389780413;0.7241;[28, 27.2, 25.6, 26.4, 26.4, 30.4, 24.8, 26.4, 26.4];24.8;30.4;26.8444;[64, 62.4, 65.6, 65.6, 64, 64, 67.2, 62.4, 64];62.4;67.2;64.3556;2.30239983648062;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;6.79969997145236;"1";1;31723;31723;31723;31723;31723.0000;81210.88;81210.88;81210.88;81210.88;81210.8800;-5.23651187858319;-5.23651187858319;-5.23651187858319;-5.2365;5.6;5.6;5.6;5.6000;2788.82148598808;-2137.03667370677;-300.030030012939;13.4680999908596;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;134.694500127807;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.1753000039607
