;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14720423;HE_9_1_C_78;1;0;0;0;0;60.6138000730425;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.1556000299752;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;11.9357998482883;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;30.7246001902968;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;11.788500007242
HRH14720423;HE_15_5_C;1;1310.7665323794;1909.25122793606;0.437846666952907;0.996052056683936;37.9250000696629;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;25.6017001811415;"77";13;0;0;0;0.0000;0;0;0;0.0000;[12.1852369693823, 12.1852369693823, 9.32952303175248, 13.7637204272682, 15.1789327688082, 11.3137084989848, 13.7637204272682, 9.32952303175248, 31.7590931860467, 11.3137084989848, 15.1789327688082, 9.32952303175248, 18.2428068015862];9.32952303175248;31.7590931860467;14.0672;[81.92, 92.16, 61.44, 92.16, 112.64, 71.68, 92.16, 51.2, 307.2, 81.92, 102.4, 71.68, 133.12];51.2;307.2;103.9754;1351.68;208.661099895835;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;92.3703999724239;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.26520001888275
HRH14720423;HE_17_5_C;1;1316.70312995228;1905.39676206176;0.384623961496508;0.996495165399153;30.5937000084668;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.7008001636714;"77";13;0;0;0;0.0000;0;0;0;0.0000;[12.1852369693823, 9.32952303175248, 9.32952303175248, 8.15843122174846, 12.1852369693823, 9.32952303175248, 15.1789327688082, 11.3137084989848, 11.3137084989848, 9.32952303175248, 12.1852369693823, 8.15843122174846, 15.1789327688082];8.15843122174846;15.1789327688082;11.0135;[92.16, 51.2, 51.2, 51.2, 112.64, 61.44, 153.6, 81.92, 81.92, 61.44, 92.16, 51.2, 122.88];51.2;153.6;81.9200;1064.96;176.161600043997;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;105.24889989756;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.10250006057322
HRH14720423;HE_1_9_C_78;1;0;0;0;0;11.6834999062121;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;6.58169994130731;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;39.3230998888612;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.5746999494731;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.225900137797
HRH14720423;HE_13_10_C_77;1;1295.88025957058;1898.3991140285;0.411738232551565;0.994245089632386;12.1810000855476;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;23.1101999524981;"77";2;73.4258809957361;73.4258809957361;73.4258809957361;73.4259;0;0;0;0.0000;[15.1789327688082, 73.4258809957361];15.1789327688082;73.4258809957361;44.3024;[102.4, 1986.56];102.4;1986.56;1044.4800;2088.96;129.950699862093;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;75.5756001453847;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.15890009328723
HRH14720423;HE_18_9_C_78;1;0;0;0;0;22.8203998412937;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;24.269999936223;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.6432999968529;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.0485999919474;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.05739990249276
HRH14720423;HE_18_11_C;1;1354.3280420625;1907.77056683683;0.362515787083331;0.994569718336095;10.1878999266773;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.0340001136065;"77";2;43.7008009079925;43.7008009079925;43.7008009079925;43.7008;0;0;0;0.0000;[43.7008009079925, 22.2854212434946];22.2854212434946;43.7008009079925;32.9931;[276.48, 317.44];276.48;317.44;296.9600;593.92;133.727200096473;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;99.5175999123603;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.82470004074275
HRH14720423;HE_16_14_C_77;1;1321.50266505596;1908.38182597848;0.433033373382333;0.993549549950501;42.7707999479026;"77";1;212.480963853236;212.480963853236;212.480963853236;212.4810;212.480963853236;212.480963853236;212.480963853236;212.4810;10411.52;10411.52;10411.52;10411.5200;10411.52;33.1186999101192;"77";2;0;0;0;0.0000;212.480963853236;212.480963853236;212.480963853236;212.4810;[212.480963853236, 9.32952303175248];9.32952303175248;212.480963853236;110.9052;[10411.52, 51.2];51.2;10411.52;5231.3600;10462.72;174.176099942997;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;105.194899952039;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.26219999603927
HRH14720423;HE_9_16_C_78;1;0;0;0;0;36.1174999270588;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.3291001915932;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.3097000271082;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;14.4925999920815;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.55710009858012
