;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Missing (WB);Missing (WB);Missing (WB);Missing (WB);Broken (WB);Broken (WB);Broken (WB);Broken (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);NSOP (WB);NSOP (WB);NSOP (WB);NSOP (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14721034;HE_1_1_O;1;1311.13650002545;1894.43845708697;0.36741484122388;0.96018191584011;29.6685001812875;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.98730011470616;"1";0;0;"Wire Sweep";[1656, 1684, 1610, 1678, 1620, 1686, 1630, 1708, 1721];1610;1721;1665.8889;[0.772348758593538, 0.764112854682718, 0.773883357180479, 0.764470399160853, 0.710841048293265, 0.680793055225283, 0.752568033502941, 0.697860445762154, 0.757644234290509];0.680793055225283;0.773883357180479;0.7416;[189, 169, 165, 180, 170, 165, 180, 163, 173];163;189;172.6667;[4285, 4068, 4021, 3851, 3852, 3986, 4240, 4043, 3972];3851;4285;4035.3333;[124, 125, 123, 122, 121, 121, 124, 119, 117];117;125;121.7778;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;29.9647999927402;"1";0;0;0.209499849006534;"1";0;0;0.248000025749207;"1";0;0;0.375699950382113;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.266399933025241;"1";0;0;0.226000091060996;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 32, 28.8, 28.8, 28.8, 30.4, 30.4, 28.8, 28.8];28.8;33.6;30.0444;2.77260015718639
HRH14721034;HE_1_2_O;1;1297.20945048686;1877.18559071555;0.422038496419168;0.989836893754514;31.4629001077265;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.48830009251833;"1";0;0;"Wire Sweep";[1632, 1659, 1622, 1730, 1640, 1709, 1643, 1721, 1711];1622;1730;1674.1111;[0.709709932213437, 0.770532485310888, 0.792709962397044, 0.796901602917761, 0.723444939108338, 0.715264788362831, 0.785180435908676, 0.736488910186803, 0.713668329307372];0.709709932213437;0.796901602917761;0.7493;[173, 169, 193, 184, 195, 203, 205, 195, 185];169;205;189.1111;[4543, 4373, 4134, 4096, 4096, 4246, 4072, 4178, 4064];4064;4543;4200.2222;[124, 123, 123, 121, 119, 120, 122, 120, 116];116;124;120.8889;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;35.2576998993754;"1";0;0;0.311400042846799;"1";0;0;0.259400112554431;"1";0;0;0.341899925842881;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.468800077214837;"1";0;0;0.265199923887849;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 32, 32, 30.4, 30.4, 32, 28.8, 30.4, 32];28.8;32;31.1111;5.67669980227947
HRH14721034;HE_2_1_O;1;1329.23090002493;1885.44553733683;0.282834091748669;0.96999370116302;26.9709001295269;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.37500008754432;"1";0;0;"Wire Sweep";[1614, 1679, 1617, 1696, 1705, 1775, 1700, 1763, 1724];1614;1775;1697.0000;[0.765537896998884, 0.753631057141209, 0.787057366378959, 0.762625995702898, 0.766237414083735, 0.695402692842062, 0.732782978031884, 0.6943727785196, 0.733393828947002];0.6943727785196;0.787057366378959;0.7434;[187, 183, 167, 163, 170, 176, 171, 165, 149];149;187;170.1111;[4531, 4406, 4180, 4226, 4278, 4301, 4190, 4166, 4238];4166;4531;4279.5556;[125, 125, 123, 123, 121, 123, 121, 119, 119];119;125;122.1111;[132, 131, 131, 131, 131, 131, 132, 132, 132];131;132;131.4444;[132, 131, 131, 131, 131, 131, 132, 132, 132];131;132;131.4444;0;0;0;0.0000;0;0;0;0.0000;35.7548000756651;"1";0;0;0.763100106269121;"1";0;0;0.232500024139881;"1";0;0;0.208299839869142;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.256400089710951;"1";0;0;0.215400010347366;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 30.4, 32, 32, 33.6, 32, 33.6, 32, 28.8];28.8;33.6;32.0000;4.20770002529025
HRH14721034;HE_2_2_O;1;1313.71735081622;1865.02712580118;0.257443218311277;0.988460317260248;21.2057998869568;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.14459996297956;"1";0;0;"Wire Sweep";[1648, 1682, 1642, 1701, 1701, 1744, 1672, 1670, 1723];1642;1744;1687.0000;[0.786920921448135, 0.823797617189996, 0.830709638565239, 0.764603978432402, 0.835771670247846, 0.728019266092615, 0.792970876869181, 0.726316165167619, 0.756633728101859];0.726316165167619;0.835771670247846;0.7829;[193, 162, 183, 181, 197, 171, 173, 169, 184];162;197;179.2222;[4113, 4039, 4296, 4268, 4152, 4009, 3959, 4063, 4171];3959;4296;4118.8889;[124, 123, 123, 121, 120, 121, 122, 118, 117];117;124;121.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;37.2490000445396;"1";0;0;0.412499997764826;"1";0;0;0.257199862971902;"1";0;0;0.262100016698241;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.231900019571185;"1";0;0;0.264400150626898;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 32, 30.4, 33.6, 32, 30.4, 28.8, 30.4, 30.4];28.8;33.6;30.7556;4.23300010152161
HRH14721034;HE_3_2_O;1;1291.52704522909;1876.41191989301;0.336207142301321;0.988607821609591;20.9367000497878;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.16850002855062;"1";0;0;"Wire Sweep";[1625, 1643, 1588, 1628, 1656, 1690, 1660, 1704, 1702];1588;1704;1655.1111;[0.753530980389512, 0.806726724453439, 0.802734548069447, 0.791777613675149, 0.787916572743133, 0.682425429744816, 0.776051960606522, 0.746885851558697, 0.725982706737467];0.682425429744816;0.806726724453439;0.7638;[206, 225, 201, 190, 196, 195, 203, 172, 185];172;225;197.0000;[4180, 3884, 3934, 4039, 4208, 2652, 2721, 2692, 2808];2652;4208;3457.5556;[124, 123, 122, 122, 121, 121, 121, 118, 118];118;124;121.1111;[131, 131, 131, 131, 131, 45, 47, 46, 51];45;131;93.7778;[131, 131, 131, 131, 131, 45, 47, 46, 51];45;131;93.7778;0;0;0;0.0000;0;0;0;0.0000;30.8834000024945;"1";0;0;0.229900004342198;"1";0;0;0.281699933111668;"1";0;0;0.30250009149313;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.637699849903584;"1";0;0;0.441099982708693;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 28.8, 28.8, 30.4, 30.4, 28.8, 28.8, 28.8, 30.4];28.8;32;29.6889;17.6842000801116
HRH14721034;HE_3_1_O;1;1309.79572001671;1887.67856319795;0.231952255826056;0.990198266333778;34.1101998928934;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.0326000675559;"1";0;0;"Wire Sweep";[1588, 1571, 1608, 1602, 1682, 1660, 1665, 1694, 1660];1571;1694;1636.6667;[0.70922744756851, 0.787288077041299, 0.745497174831572, 0.818458173911833, 0.755774384119678, 0.676828224089113, 0.756301288148789, 0.708186606932967, 0.710695335571735];0.676828224089113;0.818458173911833;0.7409;[186, 170, 199, 197, 202, 190, 209, 208, 193];170;209;194.8889;[4066, 3970, 3756, 3774, 4081, 3639, 3765, 3678, 4023];3639;4081;3861.3333;[124, 124, 123, 124, 121, 121, 121, 119, 117];117;124;121.5556;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;31.7744000349194;"1";0;0;0.310399802401662;"1";0;0;0.731700100004673;"1";0;0;0.364300096407533;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.627399887889624;"1";0;0;0.896699959412217;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 28.8, 30.4, 28.8, 28.8, 30.4, 28.8];28.8;30.4;29.5111;21.8654000200331
HRH14721034;HE_4_1_O;1;1328.95248987938;1877.29867288318;0.596464577845955;0.97586837571464;43.5943000484258;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.0913001652807;"1";0;0;"Wire Sweep";[1603, 1692, 1641, 1723, 1723, 1705, 1708, 1712, 1746];1603;1746;1694.7778;[0.780773364349146, 0.750319515993794, 0.802659372103931, 0.808369710770635, 0.755189771754748, 0.742572746728359, 0.711254793181234, 0.724850969330268, 0.701733325774767];0.701733325774767;0.808369710770635;0.7531;[169, 189, 191, 178, 173, 174, 172, 169, 182];169;191;177.4444;[3196, 2998, 3014, 3111, 3132, 2959, 2923, 2933, 2849];2849;3196;3012.7778;[127, 125, 123, 123, 121, 122, 121, 119, 120];119;127;122.3333;[44, 43, 48, 47, 46, 47, 44, 47, 43];43;48;45.4444;[44, 43, 48, 47, 46, 47, 44, 47, 43];43;48;45.4444;0;0;0;0.0000;0;0;0;0.0000;27.5533001404256;"1";0;0;0.30519999563694;"1";0;0;0.36109983921051;"1";0;0;0.262199901044369;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.236300053074956;"1";0;0;0.180399976670742;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 30.4, 28.8, 30.4, 28.8, 27.2, 28.8, 28.8, 28.8];27.2;32;29.3333;6.59390003420413
HRH14721034;HE_4_2_O;1;1304.64577851003;1871.77873881878;0.194924882747106;0.98526909727677;74.5027000084519;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.68740020692348;"1";0;0;"Wire Sweep";[1694, 1622, 1684, 1629, 1731, 1653, 1696, 1740, 1703];1622;1740;1683.5556;[0.727225914839961, 0.769205271674418, 0.769487258007197, 0.759152474537552, 0.72343809571769, 0.75403349435889, 0.762851588044342, 0.74541523066058, 0.704027617166182];0.704027617166182;0.769487258007197;0.7461;[180, 192, 182, 185, 184, 189, 202, 183, 197];180;202;188.2222;[2792, 2860, 2759, 2946, 2695, 2743, 2625, 2937, 2518];2518;2946;2763.8889;[123, 123, 124, 121, 120, 122, 122, 119, 118];118;124;121.3333;[44, 47, 43, 48, 44, 45, 44, 46, 44];43;48;45.0000;[44, 47, 43, 48, 44, 45, 44, 46, 44];43;48;45.0000;0;0;0;0.0000;0;0;0;0.0000;31.9475999567658;"1";0;0;0.238500069826841;"1";0;0;0.271700089797378;"1";0;0;0.264199916273355;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.386199913918972;"1";0;0;0.255800085142255;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 33.6, 32, 35.2, 32, 30.4, 32, 32, 27.2];27.2;35.2;32.1778;3.59100010246038
HRH14721034;HE_5_1_O;1;1302.35185386992;1892.17190415515;0.313478284277729;0.98741006798565;36.8550000712276;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.23130006715655;"1";0;0;"Wire Sweep";[1620, 1616, 1608, 1612, 1651, 1735, 1651, 1639, 1685];1608;1735;1646.3333;[0.763312558570721, 0.720814302731252, 0.777644793977892, 0.774962129418784, 0.762763322617173, 0.728476937544079, 0.753030663905422, 0.681678387590624, 0.690708557778148];0.681678387590624;0.777644793977892;0.7393;[204, 135, 173, 196, 158, 169, 172, 170, 158];135;204;170.5556;[3034, 2879, 3138, 2831, 2862, 2827, 2951, 2709, 2704];2704;3138;2881.6667;[126, 124, 123, 121, 120, 121, 122, 120, 119];119;126;121.7778;[45, 44, 58, 45, 46, 43, 51, 43, 45];43;58;46.6667;[45, 44, 58, 45, 46, 43, 51, 43, 45];43;58;46.6667;0;0;0;0.0000;0;0;0;0.0000;53.7684999871999;"1";0;0;0.209900084882975;"1";0;0;0.323599902912974;"1";0;0;0.279800035059452;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.428600003942847;"1";0;0;0.24869991466403;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[27.2, 30.4, 32, 28.8, 27.2, 30.4, 30.4, 28.8, 24];24;32;28.8000;3.05880000814795
