;;Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14721037;HE_2_1_C1;1;1329.50640343659;1886.23012113304;0.462801228374459;0.697995360551914;29.5203002169728;"1";0;1460.84203921758;1884.94647904366;0.471899826789488;5.14008360975787;3.48200061650243;24.5789000764489;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.04989991895854;["1", "1"];[0, 0];0;0;0;0;94.3616000004113;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;50.937999971211;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.03559990040958
HRH14721037;HE_2_2_C1;1;1315.30854584892;1866.80783818508;0.382487361151703;0.69770852151342;39.3972001038492;"1";0;1442.7772670279;1870.17882174248;0.400620280526892;5.13778368844151;3.48366479656591;29.1122000198811;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.99080000817776;["1", "1"];[0, 0];0;0;0;0;107.132900040597;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;27.4445000104606;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.46499991044402
HRH14721037;HE_1_2_C1;1;1307.39620049704;1882.14918705129;0.170138608071166;0.75521333087184;92.5292999017984;"1";0;1430.7631248388;1882.50605035807;0.24471689133136;5.13829231545902;3.48114867550417;72.6202998775989;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.98419983685017;["1", "1"];[0, 0];0;0;0;0;57.6285000424832;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;40.9635999239981;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.89410010352731
HRH14721037;HE_1_1_C1;1;1318.98600029109;1895.94304552666;0.572165265632654;0.736364797112856;66.156700020656;"1";0;1444.52832041484;1897.87600064858;0.586625679553562;5.1349669817004;3.4799738079748;77.7054000645876;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.97400001809001;["1", "1"];[0, 0];0;16.8;0;0;80.7501999661326;"1";0;[];;;0.0000;[];;;0.0000;[910.4, 462.4];462.4;910.4;686.4000;[65.678, 80.717];65.678;80.717;73.1975;[];;;0.0000;[];;;0.0000;39.1056998632848;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.06130021251738
HRH14721037;HE_3_2_C1;1;1300.58100934862;1877.18812935009;0.266559214602232;0.749781332952438;80.8943000156432;"1";0;1422.87203549605;1879.72109843196;0.369085396762655;5.1402855434518;3.48286198691618;72.7121001109481;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.94510000944138;["1", "1"];[0, 0];0;0;0;0;59.8749001510441;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;36.8190999142826;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.8176000341773
HRH14721037;HE_4_1_C1;1;1332.00369944046;1878.77696910612;0.363762219021241;0.66062147811499;68.0589000694454;"1";0;1456.85820920202;1880.41987998547;0.432553556481721;5.13735071404617;3.48207833768074;43.9047000836581;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.5916999746114;["1", "1"];[0, 0];0;0;0;0;55.2868000231683;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;15.6409998890013;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.91210000775754
HRH14721037;HE_4_2_C1;1;1311.04791395838;1863.25716426003;0.428082524975153;0.685890622150708;48.1775999069214;"1";0;1438.18380449968;1866.85923520323;0.424235982744314;5.14138861296236;3.48491657724292;21.0053999908268;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.16020008176565;["1", "1"];[0, 0];0;0;0;0;78.9080001413822;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.4414001628757;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.86239997856319
HRH14721037;HE_3_1_C1;1;1316.27662383507;1893.91059586922;0.414664078401886;0.706582194964568;15.2358000632375;"1";0;1446.28231944993;1892.59240863779;0.501798179339244;5.13877847254421;3.48133714838441;61.4298000000417;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.18960007280111;["1", "1"];[0, 0];0;0;0;0;29.3835001066327;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;46.3290000334382;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.90039980225265
HRH14721037;HE_5_1_C1;1;1320.15627726084;1893.69723778747;0.415526828126823;0.678799934923774;19.4216000381857;"1";0;1444.74720380068;1891.83749505558;0.489540103693889;5.13751171113839;3.48231852344831;32.0933000184596;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;13.7513000518084;["1", "1"];[0, 0];0;0;0;0;62.9644999280572;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.589299896732;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.25550013035536
