;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14520024;HE_1_2_L;"1";1;2990870;2990870;2990870;2990870;2990870.0000;7656627.2;7656627.2;7656627.2;7656627.2;7656627.2000;-1.54395327830993;-1.54395327830993;-1.54395327830993;-1.5440;4.72600001376122;"1";0;1271.61262043904;1884.81287398121;0.270540256583711;4029.94516275236;1989.01855425467;1401.81652343733;1886.27276186578;0.136060252990133;5089.84933225741;3436.48581326183;1336.71457193818;1885.5428179235;-1.55958447616356;-208.326244797263;-2.33582061531415;208.339339370355;0.134480003593578;69.487200002186;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.64444236520184, 0.637391275103096, 0.640063413468185, 0.607431504945871, 0.606180453194578, 0.626681480953784, 0.675975147031968, 0.657545529322157, 0.670271992759888];0.606180453194578;0.675975147031968;0.6407;[30.4, 28.8, 30.4, 28.8, 28.8, 29.6, 28.8, 29.6, 28.8];28.8;30.4;29.3333;[64, 64, 64, 60.8, 60.8, 64, 64, 62.4, 62.4];60.8;64;62.9333;2.31489998986945;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.59429997438565;"1";1;33805;33805;33805;33805;33805.0000;86540.8;86540.8;86540.8;86540.8;86540.8000;-5.7605706696781;-5.7605706696781;-5.7605706696781;-5.7606;5.6;5.6;5.6;5.6000;2896.840727703;-2188.65119361041;-330.056386959406;5.9387999936007;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;145.934899977874;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.0765000097454
HRH14520024;HE_1_1_L;"1";1;2995249;2995249;2995249;2995249;2995249.0000;7667837.44;7667837.44;7667837.44;7667837.44;7667837.4400;-1.15668616502898;-1.15668616502898;-1.15668616502898;-1.1567;5.61960000777617;"1";0;1267.70793269037;1897.54713372262;0.617520599115147;4030.68398919066;1988.3432402868;1400.4031732651;1901.49701192979;0.542312347594843;5090.66849461759;3437.89198517046;1334.05555297774;1899.5220728262;-1.54103857348439;-212.312384919572;-6.31980513146191;212.406423460158;0.0752082515203033;71.7081000329927;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.601379210300105, 0.629996155170064, 0.627268298142551, 0.646544923905659, 0.682766200672986, 0.655620795298428, 0.676263173267649, 0.70408264088772, 0.711018583786564];0.601379210300105;0.711018583786564;0.6594;[30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 31.2, 31.2, 31.2];30.4;31.2;30.6667;[64, 65.6, 65.6, 65.6, 64, 65.6, 65.6, 64, 65.6];64;65.6;65.0667;2.32390000019222;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.75130000570789;"1";1;32563;32563;32563;32563;32563.0000;83361.28;83361.28;83361.28;83361.28;83361.2800;-4.69128077700182;-4.69128077700182;-4.69128077700182;-4.6913;5.6;5.6;5.6;5.6000;2854.76345545558;-2162.50468322943;-268.790589033058;5.31340000452474;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;64.4254999933764;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;46.1463000392541
HRH14520024;HE_2_1_L;"1";1;2993920;2993920;2993920;2993920;2993920.0000;7664435.2;7664435.2;7664435.2;7664435.2;7664435.2000;-1.1777948228213;-1.1777948228213;-1.1777948228213;-1.1778;4.43440000526607;"1";0;1283.27178530345;1888.78668468109;0.595330330899879;4030.38251125702;1988.27263179823;1418.11827827561;1889.65684729584;0.463279588685963;5088.95268075537;3439.13508907566;1350.69503178953;1889.22176598847;-1.56434342974354;-215.754388755453;-1.39226018358786;215.758880826857;0.132050742213916;39.1657000291161;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.619869638205925, 0.629769689180975, 0.625076345454708, 0.614548837080975, 0.610609859030749, 0.628246304060291, 0.655021113886343, 0.675554286410593, 0.661865851854799];0.610609859030749;0.675554286410593;0.6356;[30.4, 29.6, 28.8, 30.4, 28.8, 30.4, 29.6, 30.4, 30.4];28.8;30.4;29.8667;[62.4, 64, 64, 65.6, 64, 62.4, 64, 64, 62.4];62.4;65.6;63.6444;1.4031000318937;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.51809997623786;"1";1;33455;33455;33455;33455;33455.0000;85644.8;85644.8;85644.8;85644.8;85644.8000;-4.57824470887426;-4.57824470887426;-4.57824470887426;-4.5782;5.6;5.6;5.6;5.6000;2883.18086982514;-2194.91553429981;-262.314099396596;6.17250002687797;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;105.920200003311;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.9333999557421
HRH14520024;HE_2_2_L;"1";1;2993196;2993196;2993196;2993196;2993196.0000;7662581.76;7662581.76;7662581.76;7662581.76;7662581.7600;-1.41788917033058;-1.41788917033058;-1.41788917033058;-1.4179;7.2535999934189;"1";0;1287.58960043474;1873.88965720427;0.365649645530899;4030.60309477655;1988.09786475694;1418.97662763775;1875.12050995689;0.231260656975661;5084.21987775311;3436.22680336559;1353.28311403624;1874.50508358058;-1.56142845560328;-210.219243524819;-1.96936440418722;210.228467968312;0.134388988555238;33.2599999965169;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.638472163591893, 0.559331779268664, 0.592035522290909, 0.623032779663194, 0.638973955004151, 0.713968049402011, 0.73969425827583, 0.675595865327449, 0.682141925226112];0.559331779268664;0.73969425827583;0.6515;[30.4, 26.4, 25.6, 28.8, 28, 30.4, 31.2, 30.4, 25.6];25.6;31.2;28.5333;[64, 62.4, 64, 64, 64, 64, 67.2, 65.6, 65.6];62.4;67.2;64.5333;1.94440002087504;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.22919998830184;"1";1;33239;33239;33239;33239;33239.0000;85091.84;85091.84;85091.84;85091.84;85091.8400;-5.14564357684032;-5.14564357684032;-5.14564357684032;-5.1456;5.6;5.6;5.6;5.6000;2864.75275429465;-2197.55309124823;-294.823659831552;16.5938999853097;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;95.159699965734;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.9417000296526
HRH14520024;HE_4_2_L;"1";1;2993209;2993209;2993209;2993209;2993209.0000;7662615.04;7662615.04;7662615.04;7662615.04;7662615.0400;-1.2206764615948;-1.2206764615948;-1.2206764615948;-1.2207;4.10019996343181;"1";0;1274.64569005774;1871.00185702035;0.565012810160201;4029.83369147157;1987.87295687635;1407.1832783457;1874.00880535874;0.379786202676784;5088.96499930546;3435.40398316198;1340.91448420172;1872.50533118954;-1.54811270457818;-212.06014126074;-4.81111734143342;212.11471038473;0.185226607483417;39.2158000031486;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.551164935914781, 0.587050132272641, 0.57305183806904, 0.59938870951725, 0.619355523329741, 0.556433195883635, 0.584377805867487, 0.602323658672931, 0.643961711960413];0.551164935914781;0.643961711960413;0.5908;[30.4, 30.4, 29.6, 29.6, 30.4, 24.8, 25.6, 28.8, 29.6];24.8;30.4;28.8000;[62.4, 60.8, 62.4, 59.2, 62.4, 62.4, 64, 62.4, 62.4];59.2;64;62.0444;14.7457999992184;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;10.2993000182323;"1";1;34233;34233;34233;34233;34233.0000;87636.48;87636.48;87636.48;87636.48;87636.4800;-5.05310495442048;-5.05310495442048;-5.05310495442048;-5.0531;5.6;5.6;5.6;5.6000;2873.2221657465;-2200.65088072912;-289.521587324939;16.5121000027284;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;33.0019000102766;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;24.2442000308074
HRH14520024;HE_3_1_L;"1";1;2995465;2995465;2995465;2995465;2995465.0000;7668390.4;7668390.4;7668390.4;7668390.4;7668390.4000;-1.22165693392985;-1.22165693392985;-1.22165693392985;-1.2217;3.35939996875823;"1";0;1263.84313152281;1899.79145400876;0.561831595610889;4030.12595895549;1988.32237455153;1397.37414102041;1900.12493470775;0.411271249428004;5086.24039371974;3436.25028089635;1330.60863627161;1899.95819435826;-1.5682989293219;-213.649615196172;-0.533569118386367;213.650281463602;0.150560346182886;38.6926999781281;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.579997649896473, 0.610297742334836, 0.581437440056609, 0.597422989707127, 0.625380547679795, 0.607214373415582, 0.646657323747563, 0.653021966675976, 0.658546377733795];0.579997649896473;0.658546377733795;0.6178;[29.6, 31.2, 29.6, 29.6, 29.6, 28.8, 29.6, 29.6, 29.6];28.8;31.2;29.6889;[62.4, 65.6, 62.4, 62.4, 64, 62.4, 62.4, 62.4, 60.8];60.8;65.6;62.7556;2.47279996983707;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.56170001719147;"1";1;33080;33080;33080;33080;33080.0000;84684.8;84684.8;84684.8;84684.8;84684.8000;-4.39639705249345;-4.39639705249345;-4.39639705249345;-4.3964;5.6;5.6;5.6;5.6000;2893.676904474;-2153.9192261185;-251.89499617163;5.8819999685511;"72";1;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;51.2;51.2;51.2;51.2000;51.2;90.4562000068836;"1";1;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;51.2;51.2;51.2;51.2000;51.2;22.8254999965429
HRH14520024;HE_4_1_L;"1";1;2996379;2996379;2996379;2996379;2996379.0000;7670730.24;7670730.24;7670730.24;7670730.24;7670730.2400;-1.36071680522355;-1.36071680522355;-1.36071680522355;-1.3607;4.74260002374649;"1";0;1280.47970139187;1886.14650151449;0.4204264705233;4030.00656755184;1988.37888715618;1415.63981755452;1887.40592620185;0.281932513745075;5088.54602030471;3434.87120724787;1348.05975947319;1886.77621385817;-1.56147857630047;-216.256185860235;-2.01507949977822;216.265573932161;0.138493956778224;49.8606000328436;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.568158382460425, 0.559542906469271, 0.579718212541683, 0.559797082157592, 0.642419580044309, 0.608410831950281, 0.610592483171138, 0.614879089281393, 0.609093640631661];0.559542906469271;0.642419580044309;0.5947;[29.6, 28.8, 29.6, 29.6, 29.6, 29.6, 29.6, 28.8, 28.8];28.8;29.6;29.3333;[60.8, 62.4, 62.4, 62.4, 62.4, 60.8, 62.4, 62.4, 60.8];60.8;62.4;61.8667;3.2276000129059;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.98980000661686;"1";1;33054;33054;33054;33054;33054.0000;84618.24;84618.24;84618.24;84618.24;84618.2400;-4.74150869883216;-4.74150869883216;-4.74150869883216;-4.7415;5.6;5.6;5.6;5.6000;2877.86971622194;-2179.00279542567;-271.668436967649;7.08569999551401;"72";1;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;61.44;61.44;61.44;61.4400;61.44;58.8618000037968;"1";1;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;61.44;61.44;61.44;61.4400;61.44;16.1408000276424
HRH14520024;HE_3_2_L;"1";1;2992207;2992207;2992207;2992207;2992207.0000;7660049.92;7660049.92;7660049.92;7660049.92;7660049.9200;-1.36188114292219;-1.36188114292219;-1.36188114292219;-1.3619;6.12589996308088;"1";0;1267.34954871243;1880.54357822387;0.427474240464486;4029.52541469808;1987.72372556103;1399.5310071201;1884.00790404468;0.28721705199882;5088.5318471661;3436.7134636211;1333.44027791627;1882.27574113428;-1.544593461666;-211.490333452282;-5.54292131329421;211.56295781739;0.140257188465666;36.6836000466719;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.608756745931686, 0.619054986027245, 0.607817236687404, 0.560532878770454, 0.599895589729388, 0.596329225107962, 0.655146599224147, 0.591325305475591, 0.624399845369564];0.560532878770454;0.655146599224147;0.6070;[28.8, 30.4, 28.8, 26.4, 27.2, 25.6, 29.6, 27.2, 26.4];25.6;30.4;27.8222;[60.8, 62.4, 60.8, 60.8, 67.2, 62.4, 62.4, 62.4, 64];60.8;67.2;62.5778;2.91320000542328;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.57979998039082;"1";1;32930;32930;32930;32930;32930.0000;84300.8;84300.8;84300.8;84300.8;84300.8000;-4.90551351057155;-4.90551351057155;-4.90551351057155;-4.9055;5.6;5.6;5.6;5.6000;2868.56284239296;-2156.91481324021;-281.065220500154;22.5693000247702;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;104.342599981464;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;9.59980004699901
HRH14520024;HE_5_1_L;"1";1;2997218;2997218;2997218;2997218;2997218.0000;7672878.08;7672878.08;7672878.08;7672878.08;7672878.0800;-1.40370337465099;-1.40370337465099;-1.40370337465099;-1.4037;16.4707000367343;"1";0;1264.42707653576;1896.3232586447;0.376484107475019;4030.18174293594;1988.29659159985;1398.52683023897;1897.49980292298;0.174026404728947;5080.70329763498;3432.25741510494;1331.47695338736;1896.91153078384;-1.56202290209972;-214.559605925139;-1.88247084525538;214.567863836209;0.202457702746071;78.1905999756418;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.608415760498685, 0.570742503071952, 0.591000163211829, 0.60895658082657, 0.624681806389249, 0.617995461698104, 0.62303999684981, 0.667831405088093, 0.653790417908632];0.570742503071952;0.667831405088093;0.6185;[30.4, 30.4, 29.6, 30.4, 30.4, 31.2, 30.4, 29.6, 29.6];29.6;31.2;30.2222;[64, 60.8, 62.4, 65.6, 62.4, 64, 60.8, 62.4, 62.4];60.8;65.6;62.7556;3.52149998070672;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.33959999261424;"1";1;32894;32894;32894;32894;32894.0000;84208.64;84208.64;84208.64;84208.64;84208.6400;-4.45009223970368;-4.45009223970368;-4.45009223970368;-4.4501;5.6;5.6;5.6;5.6000;2881.14175229525;-2149.07151456193;-254.971503778941;11.4906000089832;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;78.3786000101827;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.1355999941006
