;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14520024;HE_1_1_O;1;1309.16915027029;1897.655204393;0.365020225713687;0.985437720378258;18.5464999522083;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.47459999425337;"1";0;0;"Wire Sweep";[1700, 1663, 1636, 1658, 1686, 1748, 1736, 1759, 1704];1636;1759;1698.8889;[0.839537779591853, 0.797754667684818, 0.869907973534743, 0.768777595392492, 0.787706983608461, 0.750902529466066, 0.796918530347299, 0.754788854240679, 0.762300490310218];0.750902529466066;0.869907973534743;0.7921;[178, 162, 161, 137, 123, 130, 132, 150];123;178;146.6250;[2937, 2989, 3132, 2937, 2973, 2996, 3024, 2890, 3855];2890;3855;3081.4444;[124, 123, 123, 122, 120, 122, 121, 118, 127];118;127;122.2222;[43, 45, 49, 46, 45, 45, 45, 58, 89];43;89;51.6667;[43, 45, 49, 46, 45, 45, 45, 58, 89];43;89;51.6667;0;0;0;0.0000;0;0;0;0.0000;6.86820002738386;"1";0;0;0.231400015763938;"1";0;0;0.337400007992983;"1";0;0;0.317800033371896;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.419899995904416;"1";0;0;0.310899980831891;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[27.2, 30.4, 30.4, 30.4, 28.8, 30.4, 30.4, 27.2, 32];27.2;32;29.6889;1.23970001004636
HRH14520024;HE_2_2_O;1;1310.40797601487;1874.22517247522;0.122949674663889;0.987212937837924;14.0088999760337;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.35660002706572;"1";0;0;"Wire Sweep";[1707, 1669, 1670, 1731, 1714, 1683, 1719, 1739, 1717];1669;1739;1705.4444;[0.767735067173603, 0.820558257516043, 0.831959174654818, 0.726120886768131, 0.786233112065626, 0.798142264212621, 0.748022450080935, 0.681508858542306, 0.756622748508595];0.681508858542306;0.831959174654818;0.7685;[160, 190, 181, 195, 200, 187, 176, 148, 183];148;200;180.0000;[4137, 4231, 4112, 4079, 3963, 4216, 4306, 3999, 3980];3963;4306;4113.6667;[124, 124, 123, 123, 121, 121, 122, 119, 118];118;124;121.6667;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;7.74309999542311;"1";0;0;0.245200004428625;"1";0;0;0.332200026605278;"1";0;0;0.350499991327524;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.251299992669374;"1";0;0;0.278299965430051;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 32, 30.4, 30.4];30.4;32;30.5778;2.51640001079068
HRH14520024;HE_2_1_O;1;1324.54030664124;1889.54983647347;0.335645446665146;0.98888641914175;25.6885999697261;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.13709996407852;"1";0;0;"Wire Sweep";[1766, 1666, 1686, 1693, 1726, 1750, 1775, 1788, 1780];1666;1788;1736.6667;[0.815096063740853, 0.83264878755133, 0.803606559286971, 0.777070652952742, 0.812371715980953, 0.742771534868041, 0.785463016023095, 0.772414300155309, 0.75577628281518];0.742771534868041;0.83264878755133;0.7886;[161, 132, 158, 156, 134, 152, 139, 153, 109];109;161;143.7778;[4111, 3899, 3634, 3939, 3929, 3904, 3904, 4013, 4002];3634;4111;3926.1111;[124, 123, 122, 122, 120, 121, 121, 120, 117];117;124;121.1111;[131, 131, 93, 131, 131, 131, 131, 131, 131];93;131;126.7778;[131, 131, 93, 131, 131, 131, 131, 131, 131];93;131;126.7778;0;0;0;0.0000;0;0;0;0.0000;7.42130004800856;"1";0;0;0.304699991829693;"1";0;0;0.299800012726337;"1";0;0;0.302800035569817;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.295499979984015;"1";0;0;0.29340002220124;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 30.4, 32, 32, 30.4, 30.4, 30.4, 32];30.4;32;30.9333;7.32289999723434
HRH14520024;HE_1_2_O;1;1294.97528507902;1885.58713276581;0.00457888449668898;0.992885513123667;64.5152000361122;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.46359995799139;"1";0;0;"Wire Sweep";[1704, 1718, 1813, 1781, 1752, 1679, 1761, 1758, 1808];1679;1813;1752.6667;[0.784489965726406, 0.791284276743495, 0.735323642291064, 0.782907614725783, 0.818452888473199, 0.815817900694866, 0.736006942727086, 0.794001407926702, 0.721561775034188];0.721561775034188;0.818452888473199;0.7755;[167, 160, 173, 171, 175, 178, 157, 150, 163];150;178;166.0000;[4152, 3375, 3752, 3761, 3651, 3977, 3794, 3759, 4904];3375;4904;3902.7778;[124, 124, 123, 122, 121, 122, 122, 118, 127];118;127;122.5556;[131, 89, 131, 131, 98, 131, 131, 131, 131];89;131;122.6667;[131, 89, 131, 131, 98, 131, 131, 131, 131];89;131;122.6667;0;0;0;0.0000;0;0;0;0.0000;8.21090000681579;"1";0;0;0.309399969410151;"1";0;0;0.354799965862185;"1";0;0;0.263999972958118;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.443299999460578;"1";0;0;0.351299997419119;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 28.8, 28.8, 30.4, 30.4, 32, 28.8, 28.8, 30.4];28.8;32;30.0444;1.85180001426488
HRH14520024;HE_4_1_O;1;1323.26250608068;1882.86753752363;0.169544688929766;0.986037218329997;72.5543000153266;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.50200003292412;"1";0;0;"Wire Sweep";[1673, 1633, 1647, 1628, 1752, 1660, 1693, 1692, 1705];1628;1752;1675.8889;[0.724395320009517, 0.777884362792253, 0.758678079174212, 0.782356603600945, 0.702898897273597, 0.787698049042592, 0.767072273226239, 0.728149499255678, 0.743576231714237];0.702898897273597;0.787698049042592;0.7525;[186, 201, 207, 180, 185, 166, 186, 180, 154];154;207;182.7778;[3780, 3926, 3951, 4169, 4081, 4022, 3990, 4013, 3867];3780;4169;3977.6667;[124, 125, 125, 122, 121, 122, 122, 119, 118];118;125;122.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;8.5694000008516;"1";0;0;0.209100020583719;"1";0;0;0.221900001633912;"1";0;0;0.284100009594113;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.26240000827238;"1";0;0;0.276000006124377;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 32, 30.4, 28.8, 28.8, 30.4, 30.4];28.8;32;30.0444;3.44080000650138
HRH14520024;HE_4_2_O;1;1299.34696556931;1868.07864667121;0.31781545187396;0.991846248215509;68.537599989213;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.88320002052933;"1";0;0;"Wire Sweep";[1646, 1645, 1687, 1650, 1714, 1739, 1700, 1734, 1748];1645;1748;1695.8889;[0.749191265268293, 0.749145282780578, 0.774319086932952, 0.77183091150288, 0.772922455731697, 0.696896639802635, 0.728675823622332, 0.669256660654987, 0.682562428195513];0.669256660654987;0.774319086932952;0.7328;[200, 210, 199, 210, 201, 179, 180, 175, 176];175;210;192.2222;[3182, 3114, 2921, 3177, 3131, 2848, 2971, 2859, 3308];2848;3308;3056.7778;[124, 123, 122, 122, 120, 121, 122, 119, 118];118;124;121.2222;[81, 48, 46, 52, 45, 60, 62, 44, 72];44;81;56.6667;[81, 48, 46, 52, 45, 60, 62, 44, 72];44;81;56.6667;0;0;0;0.0000;0;0;0;0.0000;9.79570002527907;"1";0;0;0.644200015813112;"1";0;0;0.236299994867295;"1";0;0;0.307099951896816;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.332799972966313;"1";0;0;0.543600006494671;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 30.4, 33.6, 32, 30.4, 46.4, 49.6, 32];30.4;49.6;35.0222;1.83920003473759
HRH14520024;HE_3_2_O;1;1291.81263380469;1877.08964504246;0.167270722650739;0.992270846284939;46.1988999741152;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.05119996564463;"1";0;0;"Wire Sweep";[1681, 1666, 1665, 1765, 1654, 1705, 1670, 1730, 1713];1654;1765;1694.3333;[0.749217212546644, 0.807316195304553, 0.788688265583877, 0.741077700650936, 0.791021158747325, 0.703379352025519, 0.752734305937349, 0.720496913022948, 0.701387088943148];0.701387088943148;0.807316195304553;0.7506;[220, 197, 219, 220, 233, 204, 206, 214, 209];197;233;213.5556;[3052, 3044, 2955, 3037, 3060, 2974, 3022, 2924, 3971];2924;3971;3115.4444;[126, 124, 123, 123, 122, 121, 121, 119, 127];119;127;122.8889;[52, 51, 44, 45, 47, 46, 55, 45, 89];44;89;52.6667;[52, 51, 44, 45, 47, 46, 55, 45, 89];44;89;52.6667;0;0;0;0.0000;0;0;0;0.0000;8.56059999205172;"1";0;0;0.409199972636998;"1";0;0;0.344600004609674;"1";0;0;0.304699991829693;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.933200004510581;"1";0;0;0.765500008128583;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 27.2, 28.8, 28.8, 28.8, 27.2, 28.8, 28.8];27.2;28.8;28.4444;3.55890003265813
HRH14520024;HE_3_1_O;1;1306.72285064705;1896.34524326337;0.300873143826872;0.987958305560667;83.8305999641307;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.41409999923781;"1";0;0;"Wire Sweep";[1620, 1656, 1671, 1645, 1709, 1775, 1664, 1785, 1690];1620;1785;1690.5556;[0.760388488818766, 0.736980269292706, 0.73624635058216, 0.815259815914812, 0.781902806854764, 0.679172224079891, 0.759278787292212, 0.760296598730453, 0.753884288008079];0.679172224079891;0.815259815914812;0.7537;[181, 184, 203, 176, 186, 191, 192, 193, 168];168;203;186.0000;[3581, 3539, 3472, 3446, 3409, 3865, 3518, 3992, 3888];3409;3992;3634.4444;[123, 123, 125, 121, 121, 122, 121, 119, 119];119;125;121.5556;[93, 91, 88, 90, 88, 131, 92, 131, 131];88;131;103.8889;[93, 91, 88, 90, 88, 131, 92, 131, 131];88;131;103.8889;0;0;0;0.0000;0;0;0;0.0000;11.2056999932975;"1";0;0;0.599900027737021;"1";0;0;0.799399975221604;"1";0;0;0.241000030655414;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.772900006268173;"1";0;0;0.281099986750633;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 30.4, 30.4, 30.4, 28.8, 28.8, 28.8, 32];28.8;32;29.6889;2.96369998250157
HRH14520024;HE_5_2_O;1;1287.054228494;1879.6652615304;0.00480707695774908;0.995062248406612;12.9595000180416;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.69439999526367;"1";0;0;"Wire Sweep";[1641, 1637, 1693, 1643, 1624, 1703, 1696, 1631, 1666];1624;1703;1659.3333;[0.736570996501311, 0.78939835357273, 0.767116891761499, 0.753543839615594, 0.790242517717009, 0.740462881757094, 0.744022344383634, 0.776547709597098, 0.747055198729588];0.736570996501311;0.790242517717009;0.7606;[212, 199, 208, 211, 233, 194, 217, 174, 187];174;233;203.8889;[3997, 4037, 3946, 3733, 3858, 3867, 3845, 3873, 4854];3733;4854;4001.1111;[123, 124, 121, 122, 122, 121, 122, 119, 127];119;127;122.3333;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;8.23550001950935;"1";0;0;0.472000043373555;"1";0;0;0.890099967364222;"1";0;0;0.797700020484626;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.272099976427853;"1";0;0;0.634299998637289;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[27.2, 28.8, 28.8, 27.2, 28.8, 30.4, 27.2, 28.8, 28.8];27.2;30.4;28.4444;2.77929997537285
