;;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time
HRH14520024;HE_2_1_L1;"1";1;6860245;6860245;6860245;6860245;6860245.0000;17.5622272;17.5622272;17.5622272;17.5622272;17.5622;0.445196423275213;0.445196423275213;0.445196423275213;0.4452;3.02188616948812;-2.32818161054015;25.5078761079895;"1";0;579.561301345512;2297.92435645768;0.464642350149141;1.84069583936753;0.0984841252098415;3.67667897033229;-0.927298082152819;26.6220456465856;30.3141999756917;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.884105146196851, 0.771403287830891, 0.792670600595245, 0.812237701556775, 0.827091507347584, 0.889660358998073, 0.836998147618347, 0.804579089545467, 0.871994537890992];0.771403287830891;0.889660358998073;0.8323;[24, 23.2, 20.8, 23.2, 22.4, 25.6, 22.4, 25.6, 24.8];20.8;25.6;23.5556;3.55919997673482;"1";16;4515;[360, 189, 327, 211, 374, 211, 365, 220, 388, 236, 348, 171, 349, 197, 352, 217];171;388;282.1875;11558.4;[921.6, 483.84, 837.12, 540.16, 957.44, 540.16, 934.4, 563.2, 993.28, 604.16, 890.88, 437.76, 893.44, 504.32, 901.12, 555.52];437.76;993.28;722.4000;[-12.1096510555809, -83.3377251554446, -15.7361260851977, -78.432266003977, -5.9745740783248, -74.5289808625628, 10.7113800646353, -79.1958273225597, 7.48126165652478, -70.8443717647378, 6.49751942961874, -88.1437298791152, 0.760956621904919, -66.6835510718486, 22.5076518160247, -72.5911545213936];-88.1437298791152;22.5076518160247;-37.4762;2.1102000027895;"1";9;11298;[1288, 1275, 1213, 1258, 1222, 1241, 1232, 1279, 1290];1213;1290;1255.3333;0.02892288;[0.00329728, 0.003264, 0.00310528, 0.00322048, 0.00312832, 0.00317696, 0.00315392, 0.00327424, 0.0033024];0.00310528;0.0033024;0.0032;[38.6478478510438, 50.3251101424285, 46.1561457344362, 44.0397363744459, 16.9674176319757, 3.77756981743357, 36.3687340925156, 39.9246520092069, -29.2442855584069];-29.2442855584069;50.3251101424285;27.4403;2.94989999383688;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.39980000676587
HRH14520024;HE_1_1_L1;"1";1;6867377;6867377;6867377;6867377;6867377.0000;17.58048512;17.58048512;17.58048512;17.58048512;17.5805;0.543729023177329;0.543729023177329;0.543729023177329;0.5437;3.04104382048634;-2.29927309550648;31.1533782268319;"1";0;558.726456867482;2308.30143299817;0.538513545699308;1.84336974887269;0.0994058947703532;3.69328229279708;-0.893962330987971;30.8545533791958;26.3966000056826;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.775415213718076, 0.742664717748963, 0.740036011721605, 0.709225915695493, 0.736411429153021, 0.767658601585853, 0.821179475079766, 0.890997407441161, 0.808295227051229];0.709225915695493;0.890997407441161;0.7769;[23.2, 21.6, 20.8, 20.8, 21.6, 21.6, 22.4, 28, 24];20.8;28;22.6667;20.624199998565;"1";16;4185;[322, 195, 288, 201, 340, 205, 345, 213, 330, 211, 345, 185, 316, 187, 305, 197];185;345;261.5625;10713.6;[824.32, 499.2, 737.28, 514.56, 870.4, 524.8, 883.2, 545.28, 844.8, 540.16, 883.2, 473.6, 808.96, 478.72, 780.8, 504.32];473.6;883.2;669.6000;[-21.0709591303434, -82.4011023353961, -58.8829052659671, -84.9907450398489, 12.2234430140559, 86.8052212193118, 1.83693858563502, 86.1669116587741, 19.2297237755229, -79.6724055843781, 8.44274633371637, -88.6876847576851, -2.61141143456669, -75.4245166061639, 32.453882522876, -81.6287070618289];-88.6876847576851;86.8052212193118;-20.5132;1.84819998685271;"1";9;11735;[1365, 1304, 1287, 1285, 1307, 1267, 1286, 1276, 1358];1267;1365;1303.8889;0.0300416;[0.0034944, 0.00333824, 0.00329472, 0.0032896, 0.00334592, 0.00324352, 0.00329216, 0.00326656, 0.00347648];0.00324352;0.0034944;0.0033;[-13.109132859949, 45.877682996079, -29.9125154379, 40.5289477199968, -86.7684375943397, -48.7507809328477, 51.8932583921226, -6.48962901816154, 34.3404740226747];-86.7684375943397;51.8932583921226;-1.3767;36.6922999965027;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.04510003095493
HRH14520024;HE_1_2_L1;"1";1;6856782;6856782;6856782;6856782;6856782.0000;17.55336192;17.55336192;17.55336192;17.55336192;17.5534;0.113249111392191;0.113249111392191;0.113249111392191;0.1132;3.01633092958184;-2.27372864016969;6.48869611637946;"1";0;553.118665719717;2298.23769924112;0.155650842567245;1.84363198381355;0.100123102099472;3.67718031878579;-0.884989865151547;8.91813635675836;19.1618000390008;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.872747969077893, 0.904534481442371, 0.845519255136217, 0.823515174423393, 0.868290386795506, 0.879447972327697, 0.868057383842949, 0.850752304447734, 0.866926164708744];0.823515174423393;0.904534481442371;0.8644;[25.6, 27.2, 27.2, 26.4, 26.4, 27.2, 27.2, 27.2, 28];25.6;28;26.9333;4.72059997264296;"1";16;3512;[297, 161, 277, 161, 313, 168, 306, 185, 292, 175, 278, 111, 262, 129, 265, 132];111;313;219.5000;8990.72;[760.32, 412.16, 709.12, 412.16, 801.28, 430.08, 783.36, 473.6, 747.52, 448, 711.68, 284.16, 670.72, 330.24, 678.4, 337.92];284.16;801.28;561.9200;[-32.4377253836491, -83.931967081545, -82.2535969903757, -84.0791694685109, 14.3080326473229, -85.4308111125409, 22.2715088631444, -82.4127103829298, 39.6798737999942, -75.5168476766728, 58.7337507617799, -83.1925047171224, 73.6055681934906, -83.8325327882613, 55.3455808830534, -77.9310569387438];-85.4308111125409;73.6055681934906;-31.6922;2.12399999145418;"1";9;11777;[1322, 1278, 1318, 1310, 1302, 1308, 1270, 1327, 1342];1270;1342;1308.5556;0.03014912;[0.00338432, 0.00327168, 0.00337408, 0.0033536, 0.00333312, 0.00334848, 0.0032512, 0.00339712, 0.00343552];0.0032512;0.00343552;0.0033;[15.2647879362722, 57.8344241797559, 72.2275061309269, 52.1286953921546, -70.8581930855754, 64.1594287731504, 72.0814392997284, 88.7592066598328, 44.7315331720301];-70.8581930855754;88.7592066598328;44.0365;13.1449999753386;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.47710000257939
HRH14520024;HE_4_1_L1;"1";1;6856191;6856191;6856191;6856191;6856191.0000;17.55184896;17.55184896;17.55184896;17.55184896;17.5518;0.270103763182327;0.270103763182327;0.270103763182327;0.2701;3.01293221965374;-2.32445306310749;15.4758056609484;"1";0;578.198867499117;2294.05047334626;0.270368372581944;1.84488798064701;0.0997334240064374;3.67048075735401;-0.925118187998587;15.490966662766;18.4555000159889;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.82259314175843, 0.825239732643704, 0.883227457233172, 0.791359031690055, 0.856688793147243, 0.743655390910025, 0.757998865319508, 0.738973918593597, 0.831533437597778];0.738973918593597;0.883227457233172;0.8057;[24.8, 25.6, 25.6, 22.4, 23.2, 21.6, 22.4, 22.4, 24.8];21.6;25.6;23.6444;2.209700003732;"1";16;4481;[349, 203, 308, 212, 377, 222, 376, 221, 352, 192, 365, 189, 348, 201, 355, 211];189;377;280.0625;11471.36;[893.44, 519.68, 788.48, 542.72, 965.12, 568.32, 962.56, 565.76, 901.12, 491.52, 934.4, 483.84, 890.88, 514.56, 908.8, 540.16];483.84;965.12;716.9600;[-17.5951527806885, -83.9920284282157, -26.5538226453725, -79.5401282573201, -6.06910200993393, -73.9065946665329, -10.4837573006419, -79.0544623002076, 3.50888599937881, -82.7872739155452, 10.0329931395233, -79.2856967082616, -6.12188293333281, -76.9930931467948, 8.30018847295551, -87.6907050967504];-87.6907050967504;10.0329931395233;-43.0145;1.19350000750273;"1";9;11465;[1325, 1292, 1285, 1271, 1263, 1241, 1221, 1249, 1318];1221;1325;1273.8889;0.0293504;[0.003392, 0.00330752, 0.0032896, 0.00325376, 0.00323328, 0.00317696, 0.00312576, 0.00319744, 0.00337408];0.00312576;0.003392;0.0033;[-3.03878021227181, 14.2169708272004, 29.8952335319395, -24.1562162524793, 80.0104341708379, 38.3146278784204, 48.9930900399167, -29.2820012341503, 5.84320117339316];-29.2820012341503;80.0104341708379;17.8663;0.99570001475513;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.70379998255521
HRH14520024;HE_2_2_L1;"1";1;6848083;6848083;6848083;6848083;6848083.0000;17.53109248;17.53109248;17.53109248;17.53109248;17.5311;0.229992202820329;0.229992202820329;0.229992202820329;0.2300;2.99994369367311;-2.30093167947877;13.1775825425217;"1";0;571.807247706182;2286.68839431509;0.215550344859337;1.83996362427898;0.0992976743024296;3.65870143090414;-0.914891596329891;12.3501250330294;16.4607000187971;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.820263313787292, 0.741128668393429, 0.805197254391322, 0.802188001234774, 0.797171106747501, 0.838665941749018, 0.820249306119453, 0.833656782337804, 0.825842196159813];0.741128668393429;0.838665941749018;0.8094;[25.6, 23.2, 24.8, 24, 25.6, 24.8, 24.8, 24, 28];23.2;28;24.9778;4.21149999601766;"1";16;3905;[324, 145, 322, 172, 310, 208, 306, 193, 327, 196, 304, 136, 297, 175, 302, 188];136;327;244.0625;9996.8;[829.44, 371.2, 824.32, 440.32, 793.6, 532.48, 783.36, 494.08, 837.12, 501.76, 778.24, 348.16, 760.32, 448, 773.12, 481.28];348.16;837.12;624.8000;[-14.5200623164188, -76.6726279692087, -4.54277235403005, -84.4035158200653, -28.1429951249174, -74.7446113868152, -6.66221582147887, -69.559236379666, 12.1700341972512, -76.8271434617222, 29.219599109382, -84.6194178194486, -26.8378132742283, -71.3432199789278, 34.0761093924071, -86.8247393358426];-86.8247393358426;34.0761093924071;-39.3897;2.58300005225465;"1";9;11479;[1297, 1285, 1277, 1275, 1250, 1234, 1263, 1265, 1333];1234;1333;1275.4444;0.02938624;[0.00332032, 0.0032896, 0.00326912, 0.003264, 0.0032, 0.00315904, 0.00323328, 0.0032384, 0.00341248];0.00315904;0.00341248;0.0033;[-1.45524071532793, 18.1989095713438, 30.4806176793155, -74.0934558770628, 46.2369098536538, 73.9975528846725, 47.3693337897818, 68.5364711598153, 9.47387339221045];-74.0934558770628;73.9975528846725;24.3050;1.85920001240447;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.03919999673963
HRH14520024;HE_3_1_L1;"1";1;6855854;6855854;6855854;6855854;6855854.0000;17.55098624;17.55098624;17.55098624;17.55098624;17.5510;0.392112676398354;0.392112676398354;0.392112676398354;0.3921;3.03359184276678;-2.29555496345167;22.4664014512047;"1";0;559.49780492532;2305.02154532065;0.416928842722811;1.84422830228534;0.0996110725733373;3.68803447251304;-0.895196487880512;23.8882630452908;21.9150999910198;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.814799782718186, 0.819774159132074, 0.80771475111945, 0.789214233254536, 0.89669399032562, 0.804027320579531, 0.76880765718278, 0.882396690318913, 0.832506546339393];0.76880765718278;0.89669399032562;0.8240;[23.2, 22.4, 23.2, 22.4, 25.6, 24, 24.8, 26.4, 27.2];22.4;27.2;24.3556;3.33959999261424;"1";16;4243;[311, 205, 275, 199, 343, 223, 346, 222, 326, 206, 336, 165, 323, 214, 315, 234];165;346;265.1875;10862.08;[796.16, 524.8, 704, 509.44, 878.08, 570.88, 885.76, 568.32, 834.56, 527.36, 860.16, 422.4, 826.88, 547.84, 806.4, 599.04];422.4;885.76;678.8800;[-23.3359083819087, -87.6086637051819, -73.3369651762646, -84.5404103062381, 18.2641627200052, -81.9488262340201, 11.3895563928422, -82.226364583379, -6.40838449749922, -83.3869220535284, 15.9221144425439, -89.4582191353432, 20.8288304100885, -82.1970180372075, 26.9263274232363, -72.8000662491797];-89.4582191353432;26.9263274232363;-42.1198;1.61209999350831;"1";9;11832;[1359, 1302, 1306, 1302, 1315, 1300, 1312, 1291, 1345];1291;1359;1314.6667;0.03028992;[0.00347904, 0.00333312, 0.00334336, 0.00333312, 0.0033664, 0.003328, 0.00335872, 0.00330496, 0.0034432];0.00330496;0.00347904;0.0034;[25.6480868177659, -86.4088734702298, 59.2347462681417, 62.7140387732868, 72.0584933969234, 58.5707787442345, 64.0609229201704, 80.4546624061365, 39.8210858095506];-86.4088734702298;80.4546624061365;41.7949;1.19310000445694;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.16359995445237
HRH14520024;HE_4_2_L1;"1";1;6852516;6852516;6852516;6852516;6852516.0000;17.54244096;17.54244096;17.54244096;17.54244096;17.5424;0.375948918133009;0.375948918133009;0.375948918133009;0.3759;2.99257029914268;-2.28268556191624;21.5402863215307;"1";0;559.097359040429;2277.35394667829;0.336806219409428;1.84510521528624;0.0994647825669397;3.64376631468526;-0.894555774464686;19.2975748859174;16.6787999914959;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.723604457340124, 0.829742657399738, 0.849376224620285, 0.800149826763563, 0.835348476706434, 0.930940563917373, 0.837345588134319, 0.897920350351154, 0.920006702874029];0.723604457340124;0.930940563917373;0.8472;[24.8, 24, 25.6, 23.2, 24, 27.2, 25.6, 25.6, 25.6];23.2;27.2;25.0667;4.80310001876205;"1";16;4015;[336, 177, 311, 182, 345, 184, 326, 206, 338, 181, 323, 145, 308, 163, 323, 167];145;345;250.9375;10278.4;[860.16, 453.12, 796.16, 465.92, 883.2, 471.04, 834.56, 527.36, 865.28, 463.36, 826.88, 371.2, 788.48, 417.28, 826.88, 427.52];371.2;883.2;642.4000;[-12.2270332838689, -81.1507666153684, -25.4770912564483, -81.6176879171646, -4.60216177326919, -76.2142956368053, 3.62967064541489, -78.7104821497039, 6.05979188704846, -76.1749416364882, 20.0246029287476, -78.7392974863473, 5.78422363008221, -80.1820814337715, 23.9170082851328, -78.6359896813948];-81.6176879171646;23.9170082851328;-38.3948;1.29499996546656;"1";9;11604;[1352, 1283, 1266, 1290, 1252, 1257, 1267, 1293, 1344];1252;1352;1289.3333;0.02970624;[0.00346112, 0.00328448, 0.00324096, 0.0033024, 0.00320512, 0.00321792, 0.00324352, 0.00331008, 0.00344064];0.00320512;0.00346112;0.0033;[27.707566078279, 5.5710298472536, 45.62424308864, -88.2214766962853, -73.072357895689, 60.5832526856615, 72.0251919714434, -88.3302306055785, 56.3896723572381];-88.3302306055785;72.0251919714434;2.0308;1.39990000752732;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.35989999398589
HRH14520024;HE_6_1_L1;"1";1;6854904;6854904;6854904;6854904;6854904.0000;17.54855424;17.54855424;17.54855424;17.54855424;17.5486;0.287234150623369;0.287234150623369;0.287234150623369;0.2872;3.01933230236339;-2.32186496347724;16.457304562744;"1";0;577.417642470565;2298.08167409543;0.293501579176395;1.84359136161675;0.099546867751539;3.67693067855269;-0.923868227952904;16.8164017672322;27.9412000090815;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.697226851944254, 0.688599318179667, 0.738841946510038, 0.788261944118096, 0.823271324874694, 0.849348994217082, 0.837525115697523, 0.85021243456217, 0.788707996915196];0.688599318179667;0.85021243456217;0.7847;[19.2, 20, 19.2, 22.4, 22.4, 24, 20.8, 20.8, 23.2];19.2;24;21.3333;4.05940000200644;"1";16;4648;[384, 183, 359, 214, 393, 226, 371, 219, 385, 242, 361, 201, 334, 219, 353, 204];183;393;290.5000;11898.88;[983.04, 468.48, 919.04, 547.84, 1006.08, 578.56, 949.76, 560.64, 985.6, 619.52, 924.16, 514.56, 855.04, 560.64, 903.68, 522.24];468.48;1006.08;743.6800;[-9.72436557388824, -88.9654968149746, -10.6708635237711, -80.5035759053905, -6.67965810934258, -81.9091569973794, -11.2965585307609, -80.8385757144658, 1.67102222373085, -63.1703960147851, 11.8158799242154, -78.2945689958891, -11.6896379382749, -68.7243854736802, 17.9116702973108, -83.3404485729866];-88.9654968149746;17.9116702973108;-40.2756;1.69000000460073;"1";9;11364;[1299, 1280, 1281, 1272, 1244, 1254, 1229, 1227, 1278];1227;1299;1262.6667;0.02909184;[0.00332544, 0.0032768, 0.00327936, 0.00325632, 0.00318464, 0.00321024, 0.00314624, 0.00314112, 0.00327168];0.00314112;0.00332544;0.0032;[24.6909177584368, -58.3565391608556, 79.4613600497551, -32.9489221647078, 48.0139331722773, 82.708834992825, -19.106148543936, -88.8672894146801, 39.6668076450838];-88.8672894146801;82.708834992825;8.3626;1.53989996761084;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.33839999418706
HRH14520024;HE_3_2_L1;"1";1;6850288;6850288;6850288;6850288;6850288.0000;17.53673728;17.53673728;17.53673728;17.53673728;17.5367;0.273406289045156;0.273406289045156;0.273406289045156;0.2734;3.00758407120985;-2.26990677483925;15.6650264546213;"1";0;551.730773479796;2287.99119750485;0.256676179100528;1.84356722147095;0.0995796254384978;3.66078591600776;-0.882769237567673;14.7064617640043;13.6001000064425;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.919600618274061, 0.930018191632438, 0.856898749394606, 0.898212883326557, 0.889605061967275, 0.896476236011148, 0.896116170229641, 0.883679335133022, 0.914419177952656];0.856898749394606;0.930018191632438;0.8983;[28, 25.6, 25.6, 27.2, 27.2, 26.4, 28, 27.2, 27.2];25.6;28;26.9333;3.18119995063171;"1";16;3841;[322, 187, 292, 196, 305, 192, 314, 189, 311, 173, 309, 139, 273, 161, 277, 201];139;322;240.0625;9832.96;[824.32, 478.72, 747.52, 501.76, 780.8, 491.52, 803.84, 483.84, 796.16, 442.88, 791.04, 355.84, 698.88, 412.16, 709.12, 514.56];355.84;824.32;614.5600;[-11.7548497135552, -87.3995036249926, 41.9038857310408, -83.2582061933963, 10.3639622011236, -82.8440078251288, 17.7368635544099, -81.6659521310733, 12.1123675572827, -80.6055830282178, 23.1483197381775, -84.6560551302928, 57.2563766369111, -80.9693972286452, 52.3214507803079, -85.7342383030133];-87.3995036249926;57.2563766369111;-29.0028;1.33880000794306;"1";9;11807;[1385, 1307, 1283, 1315, 1298, 1297, 1291, 1285, 1346];1283;1385;1311.8889;0.03022592;[0.0035456, 0.00334592, 0.00328448, 0.0033664, 0.00332288, 0.00332032, 0.00330496, 0.0032896, 0.00344576];0.00328448;0.0035456;0.0034;[87.28849382928, 85.6005434332486, 10.7529517906052, 78.6195269155541, -69.636990122238, 79.2737569825164, 42.3245081224146, -59.8858062816127, 72.5415932451812];-69.636990122238;87.28849382928;36.3198;1.01290002930909;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.33379999594763
