;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14520030;HE_9_1_C_78;1;0;0;0;0;23.9959000027739;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.7873999513686;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.0777999875136;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.3406000249088;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.48510001599789
HRH14520030;HE_18_1_C_77;1;1340.35062287974;1850.81081400574;0.615319450891537;0.995495624938428;23.0321999988519;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;39.2224000534043;"77";4;0;0;0;0.0000;0;0;0;0.0000;[30.7766144986741, 22.740272645683, 8.15843122174846, 13.7637204272682];8.15843122174846;30.7766144986741;18.8598;[634.88, 174.08, 51.2, 112.64];51.2;634.88;243.2000;972.8;105.256999959238;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;88.3546000113711;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.65819999529049
HRH14520030;HE_18_2_C_77;1;1319.33392951787;1836.27800758177;0.643266056290454;0.996973263252755;29.0491000050679;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.1715000271797;"77";8;54.3529208046817;54.3529208046817;54.3529208046817;54.3529;0;0;0;0.0000;[12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 18.2428068015862, 54.3529208046817, 15.1789327688082, 9.32952303175248];9.32952303175248;54.3529208046817;17.1597;[92.16, 51.2, 51.2, 61.44, 184.32, 1187.84, 163.84, 61.44];51.2;1187.84;231.6800;1853.44;45.1502000214532;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;32.5248999870382;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.23109998134896
HRH14520030;HE_10_3_C_77;1;1315.97908806318;1883.66158779905;0.247122981133867;0.995797797926457;22.9054999654181;"77";1;41.9980951949014;41.9980951949014;41.9980951949014;41.9981;41.9980951949014;41.9980951949014;41.9980951949014;41.9981;783.36;783.36;783.36;783.3600;783.36;28.7290000123903;"77";2;0;0;0;0.0000;41.9980951949014;41.9980951949014;41.9980951949014;41.9981;[41.9980951949014, 9.32952303175248];9.32952303175248;41.9980951949014;25.6638;[783.36, 61.44];61.44;783.36;422.4000;844.8;85.0102999829687;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;30.3923999890685;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.08140002703294
HRH14520030;HE_3_3_C;1;1290.37350947722;1897.07107783501;0.528991632210786;0.994557119635147;18.1044999626465;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.3990000039339;"77";5;40.7921561087423;40.7921561087423;40.7921561087423;40.7922;0;0;0;0.0000;[9.32952303175248, 24.8901586977665, 40.7921561087423, 15.1789327688082, 9.32952303175248];9.32952303175248;40.7921561087423;19.9041;[71.68, 245.76, 481.28, 122.88, 51.2];51.2;481.28;194.5600;972.8;65.2025999734178;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;83.6130000534467;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.12830003490672
HRH14520030;HE_1_4_C;1;1296.09957247519;1884.513758043;0.398023305565946;0.994606992212994;9.19710000744089;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;14.6308999974281;"77";9;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 9.32952303175248, 19.3328735577513, 18.2428068015862, 20.8614476966485, 11.3137084989848, 15.8391918985787, 15.1789327688082, 12.1852369693823];9.32952303175248;20.8614476966485;14.6237;[51.2, 61.44, 225.28, 204.8, 102.4, 81.92, 112.64, 112.64, 102.4];51.2;225.28;117.1911;1054.72;50.0106000108644;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;76.9237999920733;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.989700027275831
HRH14520030;HE_2_6_C_77;1;1299.50382671067;1884.00531592084;0.655877839667657;0.980822446697744;15.9059999859892;"77";1;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;780.8;780.8;780.8;780.8000;780.8;41.8435999890789;"77";3;0;0;0;0.0000;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;[36.5206790736426, 9.32952303175248, 15.1789327688082];9.32952303175248;36.5206790736426;20.3430;[780.8, 51.2, 102.4];51.2;780.8;311.4667;934.4;53.4544999827631;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;78.6991000059061;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.990300031844527
HRH14520030;HE_16_6_C;1;1317.93834149905;1871.71853766163;0.530958853146635;0.996085674979213;18.5108999721706;"1";1;0;0;0;0.0000;34.2040933222911;34.2040933222911;34.2040933222911;34.2041;576;576;576;576.0000;576;36.9295999989845;"77";7;0;0;0;0.0000;0;0;0;0.0000;[34.2040933222911, 9.32952303175248, 9.32952303175248, 15.8391918985787, 9.32952303175248, 9.32952303175248, 24.4752936652454];9.32952303175248;34.2040933222911;15.9767;[576, 61.44, 61.44, 81.92, 51.2, 61.44, 225.28];51.2;576;159.8171;1118.72;54.4800999923609;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;73.8144000060856;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.54259998816997
HRH14520030;HE_17_7_C_77;1;1323.17199936157;1892.32118641909;0.511172506330098;0.991387730368615;13.4596999851055;"77";1;187.206837481968;187.206837481968;187.206837481968;187.2068;187.206837481968;187.206837481968;187.206837481968;187.2068;1072.64;1072.64;1072.64;1072.6400;1072.64;52.6070999912918;"77";6;0;0;0;0.0000;187.206837481968;187.206837481968;187.206837481968;187.2068;[14.4886162210199, 18.2428068015862, 18.2428068015862, 15.1789327688082, 187.206837481968, 15.1789327688082];14.4886162210199;187.206837481968;44.7565;[71.68, 92.16, 112.64, 92.16, 1072.64, 102.4];71.68;1072.64;257.2800;1543.68;54.5440999558195;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;112.115300027654;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.13230000715703
