;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14520030;HE_1_2_C;1;1287.68162720063;1872.31599121003;0.340187236457056;0.996331512843312;23.9108999958262;"1";2;0;0;0;0.0000;[24.2123935206745, 8.61626369141521];8.61626369141521;24.2123935206745;16.4143;[268.8, 58.88];58.88;268.8;163.8400;327.68;15.7060999772511;"1";3;0;0;0;0.0000;0;0;0;0.0000;[24.2123935206745, 8.61626369141521, 13.7637204272682];8.61626369141521;24.2123935206745;15.5308;[268.8, 58.88, 122.88];58.88;268.8;150.1867;450.56;85.4930999921635;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;34.4818999874406;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.34769995929673
HRH14520030;HE_2_2_C;1;1301.71764570088;1864.78310598024;0.389186129280408;0.996891077944497;17.5469999667257;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.4891999922693;"1";1;0;0;0;0.0000;0;0;0;0.0000;18.2428068015862;18.2428068015862;18.2428068015862;18.2428;225.28;225.28;225.28;225.2800;225.28;37.5501000089571;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;85.0466000265442;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.04899995494634
HRH14520030;HE_2_1_C;1;1315.8944381789;1876.16838885029;0.336106296104045;0.996346004613315;16.4745000074618;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.0313000148162;"1";3;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 9.32952303175248, 13.7637204272682];9.32952303175248;13.7637204272682;10.8076;[61.44, 61.44, 133.12];61.44;133.12;85.3333;256;34.180800023023;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;31.3441000180319;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.20679999236017
HRH14520030;HE_1_1_C;1;1299.46448312975;1887.32772587145;0.265145155571399;0.997208134371988;11.7867000517435;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.5973999965936;"1";5;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 9.32952303175248, 19.3328735577513, 9.32952303175248, 9.32952303175248];9.32952303175248;19.3328735577513;11.3302;[71.68, 51.2, 133.12, 51.2, 71.68];51.2;133.12;75.7760;378.88;60.7466999790631;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;52.759199985303;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.48520001675934
HRH14520030;HE_4_2_C;1;1294.70749250588;1859.59095337766;0.399969101552883;0.997415066403107;23.6943000345491;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.8255000072531;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;32.9580000252463;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;43.5173000441864;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.20710003143176
HRH14520030;HE_3_1_C;1;1299.10971399856;1884.44139498857;0.467069826315014;0.996548106054433;14.3699999898672;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.9778999667615;"1";4;0;0;0;0.0000;0;0;0;0.0000;[16.4730082255792, 15.1789327688082, 11.3137084989848, 12.1852369693823];11.3137084989848;16.4730082255792;13.7877;[174.08, 163.84, 81.92, 102.4];81.92;174.08;130.5600;522.24;115.680299990345;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;84.9477000301704;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.85290002264082
HRH14520030;HE_3_2_C;1;1285.57123090101;1869.04656514122;0.553933194219467;0.995723511285632;44.1869999631308;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.4685000185855;"1";4;0;0;0;0.0000;0;0;0;0.0000;[13.7637204272682, 9.32952303175248, 9.32952303175248, 13.7637204272682];9.32952303175248;13.7637204272682;11.5466;[102.4, 71.68, 61.44, 122.88];61.44;122.88;89.6000;358.4;55.3584999870509;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;86.6292000282556;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.04640003014356
HRH14520030;HE_4_1_C;1;1316.77848407612;1872.89619728181;0.407960342215675;0.997268843138215;18.775700009428;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.0122000118718;"1";3;0;0;0;0.0000;0;0;0;0.0000;[15.1789327688082, 21.3466625026021, 9.32952303175248];9.32952303175248;21.3466625026021;15.2850;[133.12, 184.32, 61.44];61.44;184.32;126.2933;378.88;39.4725000369363;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;179.880000010598;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.3343000318855
HRH14520030;HE_5_1_C;1;1294.091169514;1889.99621929575;0.360121169739316;0.995842252410114;21.4829000178725;"1";1;0;0;0;0.0000;11.6481758228488;11.6481758228488;11.6481758228488;11.6482;92.16;92.16;92.16;92.1600;92.16;17.9089000448585;"1";7;0;0;0;0.0000;0;0;0;0.0000;[11.6481758228488, 12.1852369693823, 11.3137084989848, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248];9.32952303175248;12.1852369693823;10.3522;[92.16, 71.68, 61.44, 71.68, 71.68, 51.2, 61.44];51.2;92.16;68.7543;481.28;33.5805999930017;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;36.4533000392839;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.33550003031269
