;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14520030;HE_1_1_C1;1;1302.31902117299;1887.26767794108;0.0924133742654738;0.698630925133784;32.0409000269137;"1";0;1430.56664869692;1890.03341897175;0.232763044246561;5.14210828926345;3.48114606414967;39.2572999699041;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.71939996350557;["1", "1"];[0, 0];0;0;0;0;59.2979000066407;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;22.0544000039808;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.92830000398681
HRH14520030;HE_1_2_C1;1;1289.99219872572;1869.070155541;-0.0435731091754006;0.635400991934432;83.5947000305168;"1";0;1420.14453869157;1875.01066619236;0.238242325137857;5.14000000876232;3.47828691482926;58.6015000008047;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.05789995845407;["1", "1"];[0, 0];0;0;0;0;61.1836999887601;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;25.5140999797732;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.60109996795654
HRH14520030;HE_2_1_C1;1;1319.05095924824;1874.29311329077;0.0727854892981629;0.680231445093284;31.7193999653682;"1";0;1451.71979898333;1877.59246519195;0.236628772346941;5.14385684643057;3.48011755739928;43.3153000194579;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.52250002510846;["1", "1"];[0, 0];0;0;0;0;49.7853999841027;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;37.6906999736093;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.05559999449179
HRH14520030;HE_2_2_C1;1;1303.93937680183;1863.17697711142;0.0138814635415538;0.713488074025605;57.8077000100166;"1";0;1436.83684658347;1863.93474290449;0.265508187798848;5.13768744750747;3.47830540133411;45.5044000409544;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.1559000168927;["1", "1"];[0, 0];0;0;0;0;82.1801000274718;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;27.5117999990471;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.48049998097122
HRH14520030;HE_3_1_C1;1;1299.97702534692;1886.99744980146;0.278005794607651;0.674106449295948;45.649699983187;"1";0;1432.3729304554;1890.61002708802;0.335979867937618;5.14371798501451;3.47991222105356;48.2622000272386;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.27689998084679;["1", "1"];[0, 0];0;0;0;0;49.5771000278182;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.7477999976836;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.49120000423864
HRH14520030;HE_4_1_C1;1;1320.14105993992;1876.57322829594;-0.0754120573669797;0.721097691056428;47.2619000356644;"1";0;1447.37495377865;1878.21616682993;0.282868282235909;5.14071018143215;3.48015116155472;22.9613000410609;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.11850004456937;["1", "1"];[0, 0];0;0;0;0;67.5904999952763;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.0229999702424;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.7443000106141
HRH14520030;HE_3_2_C1;1;1284.30988898504;1874.05267261988;0.156851031460886;0.678335884369716;17.5725999870338;"1";0;1416.47648254205;1876.37536973203;0.410434379713712;5.14859540555076;3.47834971609238;60.7656000065617;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.31610000366345;["1", "1"];[0, 0];0;0;0;0;45.5705999629572;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;19.6476000128314;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.74569996306673
HRH14520030;HE_4_2_C1;1;1294.66333248232;1862.08100072695;0.0837929453981813;0.69138568536556;23.1183000141755;"1";0;1424.06790576259;1866.53959832055;0.278474062752018;5.14365425984317;3.47918781231365;23.2770000002347;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.37029998283833;["1", "1"];[0, 0];0;0;0;0;37.0704000233673;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.3024999783374;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.11299997661263
HRH14520030;HE_5_2_C1;1;1281.30695380927;1868.91606292574;0.0417648589286123;0.713250023819;18.8288000063039;"1";0;1410.76294433119;1868.40535758501;0.182401825246276;5.1422661834575;3.47868552705763;62.4926000018604;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.20460000168532;["1", "1"];[0, 0];0;0;0;0;33.3348999847658;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;11.4340999862179;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.1798000195995
