;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_2_1_C;1;1301.01520130525;1879.6136854835;0.239935676314361;0.996483806984827;17.1640000007756;"FM";"1";0;0;0;0;0;35.0652999986778;"FM";"1";2;0;0;[9.32952303175248, 9.32952303175248];[51.2, 51.2];102.4;120.669199997792;"Scratch_PD";"1";0;0;0;0;0;0;141.093800000817
HE_1_1_C;1;1292.03133439231;1893.54983834368;0.20724285124381;0.997006294043842;20.587399998476;"FM";"1";0;0;0;0;0;25.7721999987552;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;117.249799997808;"Scratch_PD";"1";0;0;0;0;0;0;72.2650000025169
HE_3_1_C;1;1282.45512797481;1886.52184003795;0.118145986557774;0.994974900391981;21.5329000020574;"FM";"1";0;0;0;0;0;17.9045999975642;"FM";"1";1;0;0;9.32952303175248;61.44;61.44;131.676600001811;"Scratch_PD";"1";0;0;0;0;0;0;160.522700000001
HE_4_1_C;1;1298.70695734109;1875.66523884712;0.120849292514195;0.996067658184074;34.9808999999368;"FM";"1";0;0;0;0;0;34.7872999991523;"FM";"1";1;0;0;9.32952303175248;71.68;71.68;62.37770000007;"Scratch_PD";"1";0;0;0;0;0;0;289.1320000017
HE_5_1_C;1;1282.78222799663;1888.2265932672;0.0828682245325228;0.995948721224863;25.6198999995831;"FM";"1";0;0;0;0;0;29.6479999997246;"FM";"1";0;0;0;0;0;0;99.2336999988765;"Scratch_PD";"1";0;0;0;0;0;0;79.5932000000903
HE_6_1_C;1;1296.39533903196;1874.94402803153;0.147810909539134;0.996322961393446;63.0936999987171;"FM";"1";0;0;0;0;0;21.2715999987267;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;93.4300999979314;"Scratch_PD";"1";0;0;0;0;0;0;123.656899999332
HE_6_2_C;1;1275.84639667926;1864.43894376019;0.159046149357688;0.995787745076996;15.9803000024112;"FM";"1";0;0;0;0;0;29.4291999998677;"FM";"1";0;0;0;0;0;0;114.930199997616;"Scratch_PD";"1";0;0;0;0;0;0;151.948599999741
HE_5_2_C;1;1266.25086500226;1874.55169692796;0.184697035465932;0.995392681148815;39.0317000019422;"FM";"1";0;0;0;0;0;23.5160999982327;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;106.96359999929;"Scratch_PD";"1";0;0;0;0;0;0;150.010600002133
HE_8_2_C;1;1281.62141755194;1871.63502283311;0.121413122744358;0.996058976177721;18.784500000038;"FM";"1";0;0;0;0;0;48.3887999980652;"FM";"1";1;0;0;11.3137084989848;81.92;81.92;119.574700001976;"Scratch_PD";"1";0;0;0;0;0;0;128.334900000482
HE_7_2_C;1;1269.16017352236;1881.50817433598;0.0926849268571336;0.995256771846357;34.8085000005085;"FM";"1";0;0;0;0;0;29.9630999979854;"FM";"1";0;0;0;0;0;0;92.2359000032884;"Scratch_PD";"1";0;0;0;0;0;0;142.256000002817
HE_7_1_C;1;1286.12173533637;1888.63052941906;0.154664761429053;0.996950285311129;36.2010999997437;"FM";"1";0;0;0;0;0;19.7278999985429;"FM";"1";2;0;0;[9.32952303175248, 9.32952303175248];[51.2, 51.2];102.4;74.0452999998524;"Scratch_PD";"1";0;0;0;0;0;0;144.265499999165
HE_8_1_C;1;1299.37096488874;1883.88387615623;0.163102668774247;0.996153237960982;22.1727000025567;"FM";"1";0;0;0;0;0;32.166100001632;"FM";"1";0;0;0;0;0;0;167.589900000166;"Scratch_PD";"1";0;0;0;0;0;0;114.200600000913
HE_9_2_C;1;1264.25126246683;1870.91775919224;0.0678759248723761;0.996048205267584;26.0990999995556;"FM";"1";0;0;0;0;0;21.6175999994448;"FM";"1";1;0;0;9.32952303175248;61.44;61.44;105.101199998899;"Scratch_PD";"1";0;0;0;0;0;0;119.619900000544
HE_10_1_C;1;1299.17712334815;1870.41339568896;0.114401376525159;0.996626896894043;30.5996999995841;"FM";"1";0;0;0;0;0;19.6880999974383;"FM";"1";2;0;0;[12.1852369693823, 20.8614476966485];[92.16, 163.84];256;96.5818999975454;"Scratch_PD";"1";0;0;0;0;0;0;76.1506999988342
HE_10_2_C;1;1279.192558011;1864.08620712811;0.136525810781276;0.996485961166854;30.9708999993745;"FM";"1";0;0;0;0;0;48.0110000025888;"FM";"1";0;0;0;0;0;0;159.494100000302;"Scratch_PD";"1";0;0;0;0;0;0;85.4155000015453
HE_11_2_C;1;1272.17428680342;1876.6039218916;0.207546148295107;0.995785395060238;25.7467000010365;"FM";"1";0;0;0;0;0;33.195899999555;"FM";"1";2;0;0;[9.32952303175248, 11.3137084989848];[61.44, 81.92];143.36;93.1074000000081;"Scratch_PD";"1";0;0;0;0;0;0;156.966300000931
HE_11_1_C;1;1287.06958917989;1885.71594174654;0.186219866834579;0.997354684028096;27.1336999976484;"FM";"1";0;0;0;0;0;15.5474999992293;"FM";"1";1;0;0;11.3137084989848;81.92;81.92;201.982300000964;"Scratch_PD";"1";0;0;0;0;0;0;153.416399996786
HE_12_1_C;1;1306.42037522721;1877.75749461918;0.123502296961152;0.994642438299081;47.0420000019658;"FM";"1";1;0;11.5377640814848;89.6;89.6;21.2023000021873;"FM";"1";4;0;0;[11.5377640814848, 12.1852369693823, 9.32952303175248, 9.32952303175248];[89.6, 102.4, 61.44, 61.44];314.88;74.90069999767;"Scratch_PD";"1";0;0;0;0;0;0;180.526799998916
HE_12_2_C;1;1287.45763056064;1865.9260376017;0.113173591162856;0.99382084632947;23.7830000005488;"FM";"1";0;0;0;0;0;18.1765999986965;"FM";"1";1;0;0;12.1852369693823;102.4;102.4;141.177900000912;"Scratch_PD";"1";0;0;0;0;0;0;170.644300000276
HE_14_1_C;1;1310.18712161838;1873.06285417957;0.141283531764844;0.99676842012542;22.8863999982423;"FM";"1";0;0;0;0;0;31.8186000004061;"FM";"1";1;0;0;9.32952303175248;61.44;61.44;138.676099999429;"Scratch_PD";"1";0;0;0;0;0;0;97.615599999699
HE_13_2_C;1;1282.3350874008;1875.41382431717;0.141515808455938;0.995531723806948;51.931499998318;"FM";"1";0;0;0;0;0;33.8130000018282;"FM";"1";2;0;0;[12.1852369693823, 15.8391918985787];[102.4, 133.12];235.52;71.6974999995728;"Scratch_PD";"1";0;0;0;0;0;0;102.588999998261
