;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;6. circularity pad;7. area lead;8. area wire;9. height wire;10. width wire-const;11. width wire;12. area bond tail;13. outer_radius bond tail;14. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;5. Area Bond Tail;6. Row Bond Tail;7. Column Bond Tail;7. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *width (um);9. Inspection Time
HE_2_2_O;1;1288.19347123433;1865.85272979812;-0.0911642783798357;0.992855502265357;85.6225999996241;"1";0;0;0;0;0;0;0;0;0;4.14090000049328;"1";0;0;"Wire Sweep";[1672, 1624, 1714, 1683, 1675, 1663, 1722, 1658, 1730];[0.745348658909179, 0.786562942514186, 0.737284163663024, 0.738779681057857, 0.773574650224319, 0.758159982744326, 0.799872470792586, 0.815509871403558, 0.780376872426952];[190, 222, 192, 213, 167, 202, 208, 199, 208];[2947, 2790, 3271, 3538, 3440, 2777, 3106, 2787, 3085];[122, 120, 121, 120, 120, 119, 119, 117, 117];[53, 45, 102, 143, 143, 47, 93, 52, 90];[53, 45, 102, 143, 143, 47, 93, 52, 90];0;0;23.5396000025503;"1";0;0;0.636700002360158;"1";0;0;1.27389999761363;"1";0;0;0.560399999812944;"1";0;0;0;0;0;0.824300001113443;"1";0;0;0.725399997463683;"1";0;0;0;0;0;0;[33.6, 32, 33.6, 30.4, 32, 30.4, 33.6, 32, 33.6];6.04839999869
HE_1_1_O;1;1294.25528973147;1893.67926446512;-0.0172788860890757;0.964742520173161;47.5494999991497;"1";0;0;0;0;0;0;0;0;0;9.60669999767561;"1";0;0;"Wire Sweep";[1674, 1697, 1750, 1724, 1688, 1687, 1722, 1689, 1629];[0.753538482468015, 0.759106290858919, 0.752120457219372, 0.740402232003403, 0.795578019300007, 0.780612314820046, 0.791181800839199, 0.776828928172217, 0.749969473689631];[193, 184, 194, 184, 192, 210, 195, 178, 180];[2591, 2847, 2672, 2764, 2755, 2711, 2657, 2595, 2560];[120, 121, 120, 121, 120, 120, 122, 118, 118];[42, 47, 46, 43, 45, 43, 42, 43, 44];[42, 47, 46, 43, 45, 43, 42, 43, 44];0;0;38.8595000003988;"1";0;0;0.790400001278613;"1";0;0;2.92249999984051;"1";0;0;2.69870000192896;"1";0;0;0;0;0;1.35690000024624;"1";0;0;0.873500001034699;"1";0;0;0;0;0;0;[30.4, 30.4, 30.4, 27.2, 32, 27.2, 28.8, 30.4, 28.8];4.37679999959073
HE_2_1_O;1;1303.48423539582;1880.70437658507;0.0297665048127756;0.960942452449842;30.0138000020524;"1";0;0;0;0;0;0;0;0;0;2.46379999953206;"1";0;0;"Good/OthersDefect";[1680, 1656, 1700, 1672, 1645, 1634, 1695, 1688, 1729];[0.782424338394697, 0.75390736418829, 0.747435469385377, 0.772153919821715, 0.781649870600079, 0.797995787383868, 0.772720524506106, 0.796169499977649, 0.781139681664371];[210, 180, 182, 197, 193, 200, 189, 184, 185];[3001, 2967, 2927, 3041, 3070, 2944, 2822, 2778, 2801];[121, 121, 121, 120, 119, 120, 120, 117, 118];[45, 43, 43, 43, 44, 41, 43, 44, 45];[45, 43, 43, 43, 44, 41, 43, 44, 45];0;0;24.3655999984185;"1";0;0;0.290100000711391;"1";0;0;0.397200001316378;"1";0;0;0.353600000380538;"1";0;0;0;0;0;0.38459999996121;"1";0;0;0.484100000903709;"1";0;0;0;0;0;0;[28.8, 28.8, 30.4, 30.4, 30.4, 28.8, 28.8, 28.8, 32];5.54770000235294
HE_1_2_O;1;1274.21072238474;1879.76075996685;-0.0611769024423283;0.989469309777562;29.7781000008399;"1";0;0;0;0;0;0;0;0;0;3.28680000166059;"1";0;0;"Wire Sweep";[1670, 1668, 1746, 1681, 1681, 1627, 1717, 1667, 1724];[0.752917133472098, 0.808381430219839, 0.722511222295846, 0.795387953744701, 0.759092104627346, 0.811050199910735, 0.766163575871717, 0.76631602420562, 0.816173045517932];[219, 224, 199, 196, 199, 199, 218, 194, 170];[2818, 2808, 3055, 2800, 2795, 2937, 2840, 3206, 2748];[120, 121, 119, 119, 118, 120, 121, 118, 117];[45, 46, 54, 44, 45, 47, 45, 98, 44];[45, 46, 54, 44, 45, 47, 45, 98, 44];0;0;23.1321999999636;"1";0;0;0.316199999360833;"1";0;0;0.361499998689396;"1";0;0;0.289200001134304;"1";0;0;0;0;0;0.302799999190029;"1";0;0;0.323399999615503;"1";0;0;0;0;0;0;[38.4, 35.2, 35.2, 32, 33.6, 32, 33.6, 32, 40];3.2368000029237
HE_4_1_O;1;1304.20469594223;1876.1521180881;-0.103054146546957;0.972035158742599;35.7729999996081;"1";0;0;0;0;0;0;0;0;0;2.79310000041733;"1";0;0;"Good/OthersDefect";[1674, 1622, 1687, 1655, 1709, 1655, 1665, 1628, 1668];[0.74115172844452, 0.739895249570372, 0.742358241219594, 0.766284511563758, 0.793318684506931, 0.7944330749145, 0.817133612033424, 0.796442162790978, 0.756414931267352];[206, 198, 193, 191, 180, 199, 205, 188, 173];[3115, 2831, 2777, 2615, 2694, 2820, 2778, 2808, 2608];[122, 120, 120, 120, 120, 119, 121, 118, 118];[45, 45, 43, 43, 42, 43, 42, 43, 42];[45, 45, 43, 43, 42, 43, 42, 43, 42];0;0;27.1313000012015;"1";0;0;0.691599998390302;"1";0;0;0.478199999633944;"1";0;0;0.574999998207204;"1";0;0;0;0;0;0.386499999876833;"1";0;0;0.372800001059659;"1";0;0;0;0;0;0;[32, 28.8, 28.8, 28.8, 28.8, 28.8, 30.4, 30.4, 30.4];7.930399999168
HE_3_1_O;1;1287.86939817836;1886.58383727402;-0.117718186019176;0.963792045560396;32.0341999977245;"1";0;0;0;0;0;0;0;0;0;6.15529999777209;"1";0;0;"Good/OthersDefect";[1716, 1655, 1713, 1668, 1664, 1661, 1673, 1622, 1596];[0.775146125209711, 0.773137669858831, 0.695483868822748, 0.722316123977616, 0.771840524956493, 0.744943881173798, 0.728471661650372, 0.771765881368493, 0.771205176430716];[204, 196, 196, 215, 200, 200, 210, 200, 218];[2791, 2692, 2657, 2604, 2680, 2684, 2564, 2679, 2642];[123, 121, 120, 120, 119, 121, 120, 118, 118];[42, 41, 41, 42, 43, 43, 41, 44, 43];[42, 41, 41, 42, 43, 43, 41, 44, 43];0;0;18.8809999999648;"1";0;0;0.603799999225885;"1";0;0;0.49139999828185;"1";0;0;0.535299997864058;"1";0;0;0;0;0;0.460999999631895;"1";0;0;0.366799999028444;"1";0;0;0;0;0;0;[30.4, 30.4, 30.4, 28.8, 27.2, 28.8, 27.2, 28.8, 30.4];12.5616999976046
HE_4_2_O;1;1285.85128249792;1864.23452149007;-0.0237607980294006;0.986535960872899;52.693099998578;"1";0;0;0;0;0;0;0;0;0;6.72110000232351;"1";0;0;"Wire Sweep";[1717, 1668, 1746, 1688, 1686, 1682, 1657, 1649, 1668];[0.823825669870804, 0.798218672542315, 0.713288105330368, 0.767798721027515, 0.710188821885658, 0.773188688025771, 0.777439134838661, 0.798472422539039, 0.728424324652726];[205, 222, 221, 210, 204, 212, 223, 201, 201];[2957, 2832, 3194, 2854, 2823, 2772, 3192, 3101, 2743];[121, 119, 121, 121, 120, 119, 120, 116, 118];[49, 44, 98, 42, 43, 44, 93, 91, 47];[49, 44, 98, 42, 43, 44, 93, 91, 47];0;0;24.9508999986574;"1";0;0;0.421799999458017;"1";0;0;0.671199999487726;"1";0;0;0.452199998107972;"1";0;0;0;0;0;0.579199997446267;"1";0;0;0.284699999610893;"1";0;0;0;0;0;0;[33.6, 32, 35.2, 32, 30.4, 30.4, 30.4, 32, 36.8];6.87639999887324
HE_3_2_O;1;1270.51967482782;1871.64532334747;-0.0644020474896984;0.989397584480031;36.601799998607;"1";0;0;0;0;0;0;0;0;0;5.67299999966053;"1";0;0;"Wire Sweep";[1711, 1664, 1701, 1671, 1700, 1650, 1647, 1637, 1659];[0.788932006963626, 0.752210524112275, 0.738200321827599, 0.768136275669829, 0.66936962045471, 0.75232592165597, 0.803228958509672, 0.803260199831466, 0.73650094477279];[237, 261, 233, 235, 226, 226, 236, 205, 222];[2958, 2796, 2943, 2921, 2854, 2896, 2861, 2813, 2859];[122, 120, 121, 120, 120, 119, 120, 117, 118];[51, 44, 46, 50, 53, 46, 47, 49, 44];[51, 44, 46, 50, 53, 46, 47, 49, 44];0;0;35.9807000022556;"1";0;0;0.422199998865835;"1";0;0;0.686300001689233;"1";0;0;0.454400000307942;"1";0;0;0;0;0;0.60490000032587;"1";0;0;0.399500000639819;"1";0;0;0;0;0;0;[36.8, 32, 32, 32, 30.4, 32, 32, 28.8, 33.6];5.24629999927129
HE_5_2_O;1;1271.86117606419;1870.42302625144;-0.0552410798757326;0.985750709438676;95.2494000011939;"1";0;0;0;0;0;0;0;0;0;8.21409999844036;"1";0;0;"Good/OthersDefect";[1654, 1667, 1705, 1675, 1644, 1666, 1645, 1772, 1667];[0.721523726791129, 0.777141118351214, 0.695298745435429, 0.75254927097521, 0.766993704505911, 0.826434253924206, 0.797912033581909, 0.719941990619486, 0.792856423915216];[228, 226, 221, 221, 215, 229, 221, 230, 207];[2563, 2656, 2704, 2535, 2458, 2584, 2455, 2538, 2511];[121, 121, 121, 119, 119, 119, 120, 117, 116];[45, 44, 44, 43, 42, 45, 42, 42, 46];[45, 44, 44, 43, 42, 45, 42, 42, 46];0;0;20.9974999997939;"1";0;0;0.303100001474377;"1";0;0;0.353700001141988;"1";0;0;0.774899999669287;"1";0;0;0;0;0;0.351300001057098;"1";0;0;0.420500000473112;"1";0;0;0;0;0;0;[36.8, 30.4, 32, 33.6, 33.6, 30.4, 32, 30.4, 36.8];1.57609999951092
