;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius;10. *width;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_9_1_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.1535000005388;"1";0;0;0;0;0;0;0;0;0;1.30780000108643;"1";0;0;0;0;0;0;0;0;0;2.27180000001681;"74";2;3297;[1752, 1545];8440.32;[4485.12, 3955.2];[0, 89.7218651480497];[4.8, 4];232.8;-1015.2;0;6.54539999959525;"-";"78";0;0;0;0;0;15.2116000026581;"-";"78";0;0;0;0;0;0;0;9.09519999913755
HE_18_1_L_77;"1";1;2991745;2991745;7658867.2;7658867.2;-1.75059944876351;"1";0;1282.13724278216;1864.70365075371;0.0540176473504087;4028.57729326181;1987.53694680048;1414.13120411477;1873.8765229631;-0.12890522930438;5080.52582163325;3429.45735391198;1348.13422344846;1869.29008685841;-1.50141324327372;-211.190338132166;-14.6765955350154;211.699696213474;0.182922876654789;175.285499997699;"1";0;0;0;0;0;0;[0.70843480985809, 0.689878472782415, 0.639331564343032, 0.599812543963537, 0.674346967546615, 0.665944143437414, 0.664902449526175, 0.663714086166789, 0.601220601558058];[28.8, 29.6, 28.8, 26.4, 28.8, 28.8, 28.8, 28, 24.8];[62.4, 62.4, 60.8, 59.2, 60.8, 62.4, 59.2, 59.2, 60.8];3.81980000020121;"1";0;0;0;0;0;0;0;0;0;1.31189999956405;"1";1;32797;32797;83960.32;83960.32;-5.70840907286365;5.6;2863.39911577278;-2173.70374119584;-327.067747609274;6.69070000003558;"FM";"72";1;29.4156420973604;29.4156420973604;460.8;460.8;204.533100000845;"FM";"77";1;29.4156420973604;0;0;29.4156420973604;460.8;460.8;26.7607999994652
HE_8_4_L_77;"1";1;2993280;2993280;7662796.8;7662796.8;-1.32063002131662;"1";0;1270.47052795022;1878.47045507771;0.465913921835729;4029.39750111888;1987.80989693062;1402.90589075474;1878.87461441965;0.325325694032914;5076.19182160101;3430.76290788414;1336.68820935248;1878.67253474868;-1.56774458835645;-211.896580487235;-0.646654947104253;211.89756719888;0.140588227802815;173.373100002209;"1";0;0;0;0;0;0;[0.723914190786351, 0.66811060136291, 0.664787982356163, 0.683574065574612, 0.699478734760219, 0.684535682462839, 0.685100752877809, 0.676459402289716, 0.703112061123941];[25.6, 25.6, 25.6, 24.8, 25.6, 24.8, 25.6, 26.4, 24.8];[62.4, 64, 65.6, 67.2, 65.6, 62.4, 65.6, 65.6, 64];3.80940000104601;"1";0;0;0;0;0;0;0;0;0;4.94539999999688;"1";1;31209;31209;79895.04;79895.04;-5.01456860904305;5.6;2826.55336601621;-2128.81735396841;-287.313617376955;21.7878000003111;"FM";"1";0;0;0;0;0;107.159300001513;"FM";"77";1;0;83.4764637487717;1710.08;83.4764637487717;1710.08;1710.08;23.7783999982639
HE_18_6_L_77;"1";1;2991565;2991565;7658406.4;7658406.4;-1.44769612364251;"1";0;1297.69726129662;1867.4467833971;0.325746739103509;4029.37939513151;1987.0372976874;1429.40442653258;1875.14109210392;0.128716408391418;5079.9331777755;3427.98094521438;1363.5508439146;1871.29393775051;-1.5124428322434;-210.731464377551;-12.3108939309197;211.090758177816;0.197030330712091;199.465699999564;"1";0;0;0;0;0;0;[0.683873227070597, 0.660563132269022, 0.706837384614893, 0.652295987157207, 0.662688693485888, 0.646442704747977, 0.681469731771541, 0.702534372727772, 0.669547788116611];[24, 24, 24, 24, 24, 23.2, 29.6, 24, 24];[65.6, 65.6, 64, 62.4, 64, 64, 65.6, 64, 64];3.57599999915692;"1";0;0;0;0;0;0;0;0;0;2.87529999695835;"1";1;33765;33765;86438.4;86438.4;-5.48080710014965;5.6;2852.6062372279;-2232.67942544054;-314.027115163911;16.4632000014535;"FM";"72";1;22.740272645683;22.740272645683;153.6;153.6;169.246700002986;"FM";"77";1;22.740272645683;0;0;22.740272645683;153.6;153.6;30.1977000017359
HE_18_8_L_95;"1";1;2978809;2978809;7625751.04;7625751.04;-1.68367017883131;"1";0;1300.47701631495;1882.29223678457;0.0690969614942332;4029.11443025133;1982.35160491884;1432.17634287503;1889.55365815889;-0.0900225905419385;5077.25683610801;3432.26169367923;1366.32667959499;1885.92294747173;-1.51571573775801;-210.718922496122;-11.6182741989185;211.038974109732;0.159119552036172;200.758099999803;"1";0;0;0;0;0;0;[0.684526549284981, 0.683625206555163, 0.665690309765127, 0.651159468350513, 0.60328475080887, 0.661157178416328, 0.644444642548614, 0.648220115617615, 0.654803547524586];[21.6, 24.8, 23.2, 23.2, 20, 23.2, 24, 23.2, 26.4];[62.4, 62.4, 62.4, 64, 64, 62.4, 62.4, 60.8, 60.8];2.78880000041681;"95";1;1483;1483;3796.48;3796.48;-45.2450978711567;234.568542494924;16.8;1.96373168524179;1.97249999837368;"1";1;35918;35918;91950.08;91950.08;-5.39298434152775;5.6;2875.87665237485;-2286.00826326633;-308.995241749679;7.72860000142828;"FM";"1";0;0;0;0;0;102.777599997353;"FM";"1";0;0;0;0;0;0;0;17.9153999997652
HE_10_7_L_77;"1";1;2992769;2992769;7661488.64;7661488.64;-1.58644237935445;"1";0;1273.54386601527;1911.34075077924;0.201828614690068;4028.35811692553;1988.08066768113;1406.63473052734;1911.74676288633;0.0461273277240369;5081.28897518738;3429.45642693032;1340.0892982713;1911.54375683279;-1.56774569781987;-212.945383219314;-0.649619371339941;212.946374093921;0.155701286966031;156.77290000167;"1";0;0;0;0;0;0;[0.704004715419008, 0.67221057141885, 0.715760429785479, 0.720072424134223, 0.644392884892145, 0.710645038915921, 0.702250193729843, 0.65721987822984, 0.623734064522213];[28.8, 28.8, 29.6, 28.8, 28, 29.6, 29.6, 28, 26.4];[60.8, 60.8, 60.8, 60.8, 59.2, 60.8, 62.4, 59.2, 62.4];2.95120000009774;"1";0;0;0;0;0;0;0;0;0;3.9214999997057;"1";1;32269;32269;82608.64;82608.64;-4.90165764457442;5.6;2914.49423285506;-2145.76258328427;-280.84429565215;7.11290000253939;"FM";"72";1;88.7098641640263;88.7098641640263;3328;3328;75.7221999992908;"FM";"77";1;88.7098641640263;0;0;88.7098641640263;3328;3328;34.1657999997551
HE_1_9_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106.281700002;"1";0;0;0;0;0;0;0;0;0;5.99169999986771;"1";0;0;0;0;0;0;0;0;0;1.47750000178348;"74";2;3546;[2010, 1536];9077.76;[5145.6, 3932.16];[0, 89.7188399889115];[4.8, 4];267.2;-1015.2;0;9.882700000162;"-";"78";0;0;0;0;0;10.7348000019556;"-";"78";0;0;0;0;0;0;0;7.36029999825405
HE_5_9_L_77;"1";1;2988793;2988793;7651310.08;7651310.08;-1.24174906142488;"1";0;1255.82996943318;1916.28258103625;0.543155047500642;4028.6289215634;1987.62351548292;1388.56440503282;1916.59947336953;0.419691116425055;5075.33802532753;3429.38436348635;1322.197187233;1916.44102720289;-1.56840891519536;-212.375096959424;-0.507027733241193;212.375702201657;0.123463931075586;227.800399999978;"1";0;0;0;0;0;0;[0.711877836058911, 0.714973911367863, 0.66338085988449, 0.660338446230413, 0.706738804821849, 0.679016666050161, 0.660379993922182, 0.669985394181139, 0.668598525397505];[28.8, 29.6, 28.8, 28.8, 28.8, 28, 27.2, 28.8, 28.8];[62.4, 62.4, 62.4, 60.8, 62.4, 64, 59.2, 60.8, 60.8];5.23720000273897;"1";0;0;0;0;0;0;0;0;0;7.51089999903343;"1";1;34688;34688;88801.28;88801.28;-5.00769932704386;5.6;2944.24317343173;-2181.50424354244;-286.920036510116;9.28510000085225;"FM";"72";1;27.9885690952574;27.9885690952574;532.48;532.48;143.079700003;"FM";"77";1;27.9885690952574;0;0;27.9885690952574;532.48;532.48;17.8782999973919
HE_18_9_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.198799998645;"1";0;0;0;0;0;0;0;0;0;7.683799998631;"1";0;0;0;0;0;0;0;0;0;2.15390000084881;"74";2;3665;[1920, 1745];9382.4;[4915.2, 4467.2];[0, 89.753914719415];[4.8, 4];255.2;-1015.2;0;15.6817999995837;"-";"78";0;0;0;0;0;6.00769999800832;"-";"78";0;0;0;0;0;0;0;4.83000000167522
