;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_1_1_C;1;1294.70405455342;1879.00021437177;0.352920647439297;0.995231639722704;18.716200000199;"FM";"1";0;0;0;0;0;14.6456000002217;"FM";"1";10;0;0;[13.7637204272682, 11.3137084989848, 16.4730082255792, 12.1852369693823, 9.32952303175248, 9.32952303175248, 13.7637204272682, 19.3328735577513, 16.4730082255792, 11.3137084989848];[112.64, 81.92, 102.4, 92.16, 51.2, 71.68, 102.4, 163.84, 184.32, 81.92];1044.48;56.5281000017421;"Scratch_PD";"1";0;0;0;0;0;0;80.69500000056
HE_2_2_C;1;1289.7213594388;1865.69653966985;0.287669686006912;0.995398425634221;24.7195999982068;"FM";"1";0;0;0;0;0;17.0601999998325;"FM";"1";17;0;0;[15.1789327688082, 15.1789327688082, 12.1852369693823, 9.32952303175248, 9.32952303175248, 13.7637204272682, 15.1789327688082, 11.3137084989848, 9.32952303175248, 11.3137084989848, 11.3137084989848, 9.32952303175248, 18.2428068015862, 13.7637204272682, 9.32952303175248, 12.1852369693823, 15.1789327688082];[122.88, 122.88, 112.64, 51.2, 71.68, 112.64, 163.84, 61.44, 71.68, 81.92, 81.92, 61.44, 153.6, 122.88, 51.2, 92.16, 81.92];1617.92;63.2488999981433;"Scratch_PD";"1";0;0;0;0;0;0;68.9077999995789
HE_4_1_C;1;1304.1666322856;1874.83438139204;0.303159841846431;0.995723184894416;34.5696000003954;"FM";"1";0;0;0;0;0;19.71450000201;"FM";"1";14;0;0;[9.32952303175248, 13.7637204272682, 12.1852369693823, 9.32952303175248, 16.4730082255792, 9.32952303175248, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 13.7637204272682, 9.32952303175248];[51.2, 112.64, 61.44, 61.44, 153.6, 71.68, 61.44, 61.44, 92.16, 71.68, 51.2, 61.44, 102.4, 51.2];1064.96;117.183099999238;"Scratch_PD";"1";0;0;0;0;0;0;185.430199999246
HE_5_2_C;1;1274.9322555358;1871.38178369857;0.444321309701728;0.992031243290626;48.4987999989244;"FM";"1";0;0;0;0;0;15.2605999974185;"FM";"1";13;0;0;[15.1789327688082, 21.3466625026021, 25.298221281347, 12.1852369693823, 15.1789327688082, 12.1852369693823, 9.32952303175248, 9.32952303175248, 15.1789327688082, 12.1852369693823, 9.32952303175248, 12.1852369693823, 9.32952303175248];[133.12, 225.28, 184.32, 81.92, 112.64, 61.44, 51.2, 51.2, 112.64, 71.68, 51.2, 71.68, 51.2];1259.52;104.397600000084;"Scratch_PD";"1";0;0;0;0;0;0;125.219099998503
HE_6_1_C;1;1300.49544775872;1873.25242870378;0.408531123114464;0.993644595072681;27.9263000011269;"FM";"1";0;0;0;0;0;20.9663999994518;"FM";"1";12;0;0;[15.1789327688082, 23.6237168963734, 12.1852369693823, 18.2428068015862, 15.1789327688082, 24.4752936652454, 12.1852369693823, 9.32952303175248, 12.1852369693823, 12.1852369693823, 11.3137084989848, 17.6725776274996];[122.88, 133.12, 81.92, 102.4, 81.92, 143.36, 81.92, 61.44, 81.92, 61.44, 61.44, 122.88];1136.64;89.5590999971319;"Scratch_PD";"1";0;0;0;0;0;0;115.484099998866
HE_7_2_C;1;1275.56605354451;1874.98180347532;0.340701930903499;0.993411355909529;39.4177000016498;"FM";"1";0;0;0;0;0;46.3422000029823;"FM";"1";13;0;0;[11.3137084989848, 13.7637204272682, 9.32952303175248, 11.3137084989848, 9.32952303175248, 9.32952303175248, 33.9411254969543, 11.3137084989848, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 11.3137084989848];[92.16, 112.64, 51.2, 81.92, 61.44, 51.2, 245.76, 71.68, 92.16, 71.68, 61.44, 51.2, 71.68];1116.16;73.2247999985702;"Scratch_PD";"1";0;0;0;0;0;0;108.765900000435
HE_8_2_C;1;1288.62221740912;1865.39910936056;0.423531654041472;0.995412134065305;59.3819999994594;"FM";"1";0;0;0;0;0;21.2065000014263;"FM";"1";13;0;0;[9.32952303175248, 14.4886162210199, 9.32952303175248, 11.3137084989848, 9.32952303175248, 15.1789327688082, 15.1789327688082, 9.32952303175248, 9.32952303175248, 13.7637204272682, 8.15843122174846, 9.32952303175248, 8.15843122174846];[51.2, 112.64, 61.44, 81.92, 51.2, 122.88, 112.64, 61.44, 61.44, 102.4, 51.2, 51.2, 51.2];972.8;138.552399999753;"Scratch_PD";"1";0;0;0;0;0;0;141.397399998823
HE_9_1_C;1;0;0;0;0;36.9057999996585;"-";"78";0;0;0;0;0;11.686899997585;"-";"78";0;0;0;0;0;0;30.5496000000858;"-";"78";0;0;0;0;0;0;38.1261000002269
HE_10_1_C;1;1302.0879968231;1876.26696634883;0.263242819803737;0.994898067899669;16.7368999973405;"FM";"1";0;0;0;0;0;43.0271000004723;"FM";"1";16;0;0;[11.3137084989848, 9.32952303175248, 9.32952303175248, 20.8614476966485, 9.32952303175248, 11.3137084989848, 9.32952303175248, 12.1852369693823, 9.32952303175248, 29.4156420973604, 9.32952303175248, 12.1852369693823, 11.3137084989848, 9.32952303175248, 12.1852369693823, 19.3328735577513];[61.44, 61.44, 71.68, 225.28, 51.2, 81.92, 51.2, 102.4, 61.44, 317.44, 61.44, 71.68, 61.44, 61.44, 102.4, 194.56];1638.4;137.371900000289;"Scratch_PD";"1";0;0;0;0;0;0;112.699799999973
