;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copperarea(um);8. *Coppermax_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_1_2_C1_81;1;1286.97067319369;1876.85613034792;-0.227839471639117;0.745574032946024;118.914299997414;"1";0;1411.51344287749;1878.08085679292;0.233348242317128;5.1275552236654;3.46332986947098;108.215700001892;"1";0;[];[];[];[];5.42219999988447;["1", "1"];[0, 0];0;0;0;0;55.9511999999813;"81";2;[2100.17062937063, 2395.24953445065];[1222.6013986014, 1171.5270018622];[1144, 859.2];[110.77, 69.981];[];[];26.1236000005738;"1";0;[];[];[];[];[];3.17910000012489
HE_2_2_C1_81;1;1291.7532179181;1865.17402754313;0;0.692457533434748;62.9864000002271;"1";0;1423.15162011225;1866.22317495723;0.140846749297021;5.12532605051456;3.46381006165504;94.4180999977107;"1";0;[];[];[];[];10.199600001215;["1", "1"];[0, 0];0;0;0;0;316.06119999924;"81";3;[2069.15250965251, 2239.33271787297, 2413.13056379822];[600.187258687259, 568.878138847858, 536.474035608309];[828.8, 4332.8, 2156.8];[76.416, 358.661, 187.821];[];[];46.2091000008513;"1";0;[];[];[];[];[];1.75790000139386
HE_4_1_C1_81;1;1312.79771648525;1876.62158426785;0;0.750035100366631;72.322100000747;"1";0;1440.86511136731;1877.48050576727;0.198990179877887;5.12699788090253;3.46770951547627;129.444400001375;"1";0;[];[];[];[];4.33219999831636;["1", "1"];[0, 0];0;0;0;0;64.8340000007011;"81";1;2232.81218274112;1596.29949238579;630.4;62.482;[];[];44.1422000003513;"1";0;[];[];[];[];[];3.27730000208248
HE_5_1_C1_81;1;1297.1303182234;1879.86935937546;-0.125277520786367;0.783935217972981;86.5864000006695;"1";0;1421.92047867184;1881.60374267495;0.164105312792656;5.12531792808496;3.46766080503659;109.026200003427;"1";0;[];[];[];[];4.94780000008177;["1", "1"];[0, 0];0;0;0;1.131;60.800899998867;"81";2;[2189.73050345508, 2364.66353383459];[978.086870681145, 950.748120300752];[6483.2, 1702.4];[413.41, 120.861];[];[];39.6198999987973;"1";0;[];[];[];[];[];2.98360000306275
HE_9_1_C1_78;1;1870.45547524711;1542.68782889064;-0.190831637448204;0.604976014414319;136.584100000618;"78";1;0;0;0;0;0;54.1687000004458;"1";0;[];[];[];[];5.05839999823365;["68", "1"];[1, 0];100;0;0;0;55.2709999974468;"78";0;[];[];[];[];[];[];16.8322999998054;"78";0;[];[];[];[];[];1.8456999969203
HE_18_1_C1_81;1;1330.15243672567;1874.24135263493;-0.392053703623961;0.789545999128705;59.8852999974042;"1";0;1454.00413236791;1879.88335602763;-0.118896684296483;5.13058784546642;3.46909694598143;127.011000000493;"1";0;[];[];[];[];6.10619999861228;["1", "1"];[0, 0];0;0;5.6;0;60.9815999996499;"81";1;464.85625;1067.578125;2560;162.737;[];[];42.0880999990914;"1";0;[];[];[];[];[];3.99069999912172
HE_5_3_C1_81;1;1298.3821574753;1899.25559195852;0;0.823825556321594;54.2643999979191;"1";0;1422.86177906296;1900.9780065805;0.322979446338883;5.12514549349274;3.47106086835085;69.6433000011893;"1";0;[];[];[];[];4.77589999718475;["1", "1"];[0, 0];0;0;0;0;93.5934000008274;"81";2;[2218.85987261147, 2437.52905464007];[805.477707006369, 765.506504770165];[753.6, 1844.8];[76.966, 124.605];[];[];33.8866999991296;"1";0;[];[];[];[];[];2.03479999981937
HE_5_4_C1_81;1;1281.89566451491;1892.9426417024;-0.252327597802227;0.757666721488079;67.290499999217;"1";0;1405.82522281604;1892.93249505528;0.106984249161424;5.12333157382045;3.46738881059258;79.5623000012711;"1";0;[];[];[];[];4.49909999952069;["1", "1"];[0, 0];0;2.4;2.4;0;51.7939999990631;"81";1;468.447279354335;3375.86539963551;6145.6;363.225;[];[];21.1845000012545;"1";0;[];[];[];[];[];5.62759999957052
HE_6_3_C1_81;1;1311.03156976288;1889.12702189457;-0.467332973378249;0.780417837891349;52.6234999997541;"1";0;1435.9964316002;1888.40702863416;-0.0901956852028635;5.12587115317944;3.47070924353573;72.5851999995939;"1";0;[];[];[];[];4.79860000268673;["1", "1"];[0, 0];0;0;0;0;74.0143000002718;"81";1;1104.08530183727;379.018372703412;2438.4;206.177;[];[];27.8413999985787;"1";0;[];[];[];[];[];4.76319999870611
HE_10_8_C1_81;1;1307.74114408239;1898.32781455483;0;0.770033609814192;53.337699999247;"1";0;1430.6592240759;1899.04726509125;0.370554205902397;5.12744893932754;3.46632702214133;93.0045999994036;"1";0;[];[];[];[];4.51310000062222;["1", "1"];[0, 0];0;0;4;0;74.7966999988421;"81";1;1127.82021466905;373.724508050089;1788.8;86.163;[];[];24.8855999998341;"1";0;[];[];[];[];[];1.84159999844269
HE_3_7_C1_81;1;1307.93005199161;1911.1560926026;0;0.793000248426523;47.6120999992418;"1";0;1430.81959569614;1913.70383920126;0.438021332640484;5.12646532193104;3.46842007445547;120.182499998919;"1";0;[];[];[];[];3.04759999926318;["1", "1"];[0, 0];5.6;0;4;0;96.2780000008934;"81";1;575.767521367521;1042.62051282051;936;74.12;[];[];29.0499000002455;"1";0;[];[];[];[];[];2.10929999957443
HE_1_9_C1_78;1;1903.26337917709;2266.67875750784;-0.2971547174126;0.624489778984497;107.74450000099;"78";1;0;0;0;0;0;167.833499999688;"1";0;[];[];[];[];7.37680000020191;["68", "1"];[1, 0];128.8;0;0;0;142.15139999942;"78";0;[];[];[];[];[];[];12.7861000000848;"78";0;[];[];[];[];[];2.91119999747025
HE_9_9_C1_81;1;1304.24277175553;1918.44440077393;-0.161816158300238;0.850686722509323;84.87310000055;"1";0;1429.29873366977;1918.35986415526;0.224737975955636;5.12388663193507;3.46874897952387;67.5075999970431;"1";0;[];[];[];[];3.08900000163703;["1", "1"];[0, 0];0;0;4;0;124.459000002389;"81";1;460.042647058824;3097.54779411765;2176;135.046;[];[];37.474700002349;"1";0;[];[];[];[];[];5.64319999830332
HE_18_12_C1_81;1;1316.44832608692;1902.93960713595;0;0.775569406792044;28.4954999988258;"1";0;1443.97300934002;1909.72584393184;0.204068187570456;5.12567955052567;3.47049513980262;163.795000000391;"1";0;[];[];[];[];10.233100001642;["1", "1"];[0, 0];0;0;2.4;0;155.81729999758;"81";2;[2223.69264069264, 2231.44718309859];[1934.5, 1951.28169014085];[739.2, 454.4];[94.738, 65.6];[];[];18.7999000008858;"1";0;[];[];[];[];[];5.40370000089752
HE_16_12_C1_81;1;1296.31544930087;1906.82451147176;0;0.761794780572899;25.4093000003195;"1";0;1424.76585440139;1909.68420012847;0.344940786488702;5.12277547971874;3.46623871923192;109.140200002003;"1";0;[];[];[];[];6.78709999920102;["1", "1"];[0, 0];0;4;4;0;225.909000000684;"81";1;2438.91463414634;1622.62601626016;787.2;63.296;[];[];33.0957000005583;"1";0;[];[];[];[];[];29.7657000010076
HE_18_9_C1_78;1;1922.74088126745;2244.58766801568;-0.660539895679146;0.603009988210061;256.989999998041;"78";1;0;0;0;0;0;67.4803000001702;"1";0;[];[];[];[];4.91770000007818;["68", "1"];[1, 0];132;0;0;0;197.416500002873;"78";0;[];[];[];[];[];[];18.5299000004306;"78";0;[];[];[];[];[];5.50610000209417
HE_17_10_C1_81;1;1304.23464895904;1899.69514184183;-0.0905674154689343;0.833373694443395;30.4131999982928;"1";0;1429.18352792939;1905.69755304298;0.0893845826457626;5.12491713375544;3.46971458617532;191.166299999168;"1";0;[];[];[];[];4.14519999685581;["1", "1"];[0, 0];0;0;4;0;288.273400001344;"81";1;858.297830374753;434.047337278107;811.2;69.706;[];[];27.1963000013784;"1";0;[];[];[];[];[];1.99050000082934
HE_7_14_C1_81;1;1277.01809529608;1922.95151252241;-0.324780660969193;0.823581350208684;44.0785999999207;"1";0;1401.43692394497;1924.3136479064;-0.0203053646187466;5.12574789186733;3.46602647708261;46.1316999972041;"1";0;[];[];[];[];9.13339999897289;["1", "1"];[0, 0];0;88.8;0;0;51.6596000015852;"81";12;[2021.85822592873, 2016.44195519348, 2036.958986731, 2097.35821371611, 2052.03209876543, 2071.44036697248, 2079.18917018284, 2082.41, 2103.88859649123, 2092.98109243697, 2123.78990081154, 2163.62055335968];[2123.86959818044, 2226.55397148676, 2181.66344993969, 2295.87799043062, 2374.64197530864, 2517.5745412844, 2208.55977496484, 2371.79857142857, 2428.55964912281, 2495.16596638655, 2249.43192064923, 2510.98023715415];[2110.4, 785.6, 1326.4, 10032, 648, 1395.2, 2275.2, 1120, 1824, 761.6, 1774.4, 809.6];[103.84, 74.12, 80.574, 247.726, 65.97, 117.194, 137.414, 121.695, 171.14, 71.644, 98.592, 87.299];[];[];36.4020000015444;"1";0;[];[];[];[];[];1.26150000141934
HE_9_16_C1_78;1;1868.96577168331;2285.9050753375;0;0.555781809545181;54.8632999998517;"78";1;0;0;0;0;0;52.6954999986629;"1";0;[];[];[];[];6.13339999836171;["68", "1"];[1, 0];116;0;0;0;66.1209999998391;"78";0;[];[];[];[];[];[];22.3544000000402;"78";0;[];[];[];[];[];2.86039999991772
