;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_1_1_L;"1";1;2994488;2994488;7665889.28;7665889.28;-1.40768314343045;"1";0;1258.28398502481;1879.26558347064;0.369025835875853;4029.66790908941;1987.63637128337;1391.29280786287;1882.72954098935;0.172584769848951;5081.61578449203;3429.66910269349;1324.78839644384;1880.99756223;-1.54475914647587;-212.814116540897;-5.54233202992764;212.886273966671;0.196441066026902;106.949400000303;"1";0;0;0;0;0;0;[0.701117578572182, 0.711807636186973, 0.688242160005166, 0.714389012238256, 0.740053807362018, 0.650686241530477, 0.684436991618384, 0.69375097467052, 0.668685442844709];[26.4, 28, 28, 27.2, 30.4, 25.6, 30.4, 27.2, 28.8];[65.6, 65.6, 64, 65.6, 65.6, 64, 62.4, 64, 65.6];5.51479999921867;"1";0;0;0;0;0;0;0;0;0;2.25479999789968;"1";1;31453;31453;80519.68;80519.68;-5.04874204344941;5.6;2809.18225924395;-2123.30682605793;-289.271610939906;9.33660000009695;"FM";"1";0;0;0;0;0;62.2856999980286;"FM";"1";0;0;0;0;0;0;0;19.6878999995533
HE_1_2_L;"1";1;2992003;2992003;7659527.68;7659527.68;-1.40753735253631;"1";0;1260.39596646452;1874.77200304836;0.378487317713519;4029.43613798204;1987.31142828901;1393.19992897096;1874.84901286524;0.263011158593303;5078.5301055321;3427.6888205833;1326.79794771774;1874.8105079568;-1.57021645096294;-212.486340010312;-0.123215707003328;212.486375735218;0.115476159120217;105.135300000256;"1";0;0;0;0;0;0;[0.774504160105493, 0.768721746553293, 0.686856003215235, 0.728798455096108, 0.733841220409641, 0.712696694036689, 0.738760481356418, 0.673790309076062, 0.742918913653382];[30.4, 30.4, 25.6, 25.6, 30.4, 30.4, 30.4, 25.6, 30.4];[67.2, 65.6, 65.6, 64, 65.6, 64, 65.6, 65.6, 65.6];2.64439999955357;"1";0;0;0;0;0;0;0;0;0;1.43699999898672;"1";1;31124;31124;79677.44;79677.44;-5.27071433456122;4.8;2799.71741421411;-2122.41125819303;-301.989686389462;7.70959999863408;"FM";"1";0;0;0;0;0;93.2001000001037;"FM";"1";0;0;0;0;0;0;0;20.6800000014482
HE_2_2_L;"1";1;2990763;2990763;7656353.28;7656353.28;-1.47358130481386;"1";0;1271.31851213302;1865.96107258035;0.30076804933136;4029.50189509716;1987.04640756219;1404.5741964465;1865.86550377241;0.153826310011367;5082.55407377609;3428.77395735548;1337.94635428976;1865.91328817638;1.57007914319371;-213.209094901572;0.15291009270295;213.20914973388;0.146941739319994;89.550099997723;"1";0;0;0;0;0;0;[0.798769263691891, 0.678258071689127, 0.683412726736872, 0.785453375113648, 0.708825147096196, 0.759763754723437, 0.696856551860378, 0.723998758034837, 0.711488806944479];[30.4, 24.8, 25.6, 30.4, 25.6, 30.4, 24.8, 26.4, 25.6];[62.4, 67.2, 67.2, 65.6, 62.4, 64, 64, 64, 67.2];3.43119999888586;"1";0;0;0;0;0;0;0;0;0;4.94919999982812;"1";1;31589;31589;80867.84;80867.84;-5.13572708619277;5.6;2801.09724271107;-2144.74056158789;-294.255486769866;6.50189999942086;"FM";"1";0;0;0;0;0;52.3002000009001;"FM";"1";0;0;0;0;0;0;0;13.6004999985744
HE_2_1_L;"1";1;2994759;2994759;7666583.04;7666583.04;-1.42014256530743;"1";0;1269.61368618608;1877.3146582772;0.351724965443202;4029.49734345269;1987.50437225559;1401.67765878334;1875.02284648184;0.197942320750065;5083.41914378145;3432.21457397056;1335.64567248471;1876.16875237952;1.55344426832807;-211.302356155609;3.66689887257962;211.334171075701;0.153782644693138;94.8399000008067;"1";0;0;0;0;0;0;[0.722117894097843, 0.685641379993143, 0.718030381507595, 0.696563954518587, 0.696345380628277, 0.75316789372497, 0.681665714553045, 0.658885964620499, 0.68757580583269];[27.2, 28.8, 28, 28.8, 30.4, 30.4, 28.8, 27.2, 25.6];[62.4, 64, 64, 65.6, 65.6, 65.6, 64, 65.6, 64];3.29600000259234;"1";0;0;0;0;0;0;0;0;0;2.46030000198516;"1";1;31892;31892;81643.52;81643.52;-5.07096663262103;5.6;2824.1842217484;-2146.50791421046;-290.544986100852;7.80479999957606;"FM";"1";0;0;0;0;0;48.6636000023282;"FM";"1";0;0;0;0;0;0;0;10.5958999993163
HE_3_2_L;"1";1;2991930;2991930;7659340.8;7659340.8;-1.45780034791886;"1";0;1256.98651712765;1873.38132574387;0.326837353594062;4029.15983923353;1987.08026286837;1391.33202122177;1874.54915457171;0.152215714260329;5077.7255884651;3427.54524608581;1324.15926917471;1873.96524015779;-1.56210381845995;-214.952806550581;-1.86852612455732;214.960927691173;0.174621639333733;132.865999999922;"1";0;0;0;0;0;0;[0.731968947101647, 0.720361293469945, 0.656815352269891, 0.685491547101239, 0.710154020901924, 0.662560560802918, 0.73408954464906, 0.685241859773659, 0.688532782980628];[30.4, 26.4, 26.4, 25.6, 24.8, 25.6, 24.8, 24, 28.8];[65.6, 62.4, 62.4, 62.4, 62.4, 64, 64, 64, 65.6];3.955499996664;"1";0;0;0;0;0;0;0;0;0;3.82170000011683;"1";1;30832;30832;78929.92;78929.92;-5.17605675937301;5.6;2786.71712506487;-2113.87306694344;-296.566206832236;16.7828000012378;"FM";"1";0;0;0;0;0;92.8131000000576;"FM";"1";0;0;0;0;0;0;0;15.0135999974736
HE_4_2_L;"1";1;2990924;2990924;7656765.44;7656765.44;-1.32366312579211;"1";0;1264.9598305699;1859.50244346632;0.446690524250625;4029.08363735227;1986.96896392079;1398.12168177715;1860.34580557602;0.285573562700181;5084.9095381165;3428.83439037558;1331.54075617353;1859.92412452117;-1.56446305021333;-213.058961931596;-1.34937937552058;213.063234942278;0.161116961550445;128.336300000228;"1";0;0;0;0;0;0;[0.755674063410691, 0.728406542955313, 0.804820355205956, 0.69689430450094, 0.713966076365097, 0.732573165119406, 0.72405536676103, 0.738685160267979, 0.684018097511229];[24.8, 25.6, 29.6, 26.4, 25.6, 26.4, 29.6, 26.4, 24.8];[65.6, 62.4, 65.6, 65.6, 65.6, 65.6, 62.4, 65.6, 65.6];5.16710000010789;"1";0;0;0;0;0;0;0;0;0;8.18500000241329;"1";1;31412;31412;80414.72;80414.72;-5.01415742302155;5.6;2793.6924487457;-2126.99600152808;-287.290058153328;18.0247999996936;"FM";"1";0;0;0;0;0;138.463699997374;"FM";"1";0;0;0;0;0;0;0;11.5052000001015
HE_4_1_L;"1";1;2994018;2994018;7664686.08;7664686.08;-1.45222513776165;"1";0;1268.30663029159;1875.85089725335;0.317888595276431;4029.57224380231;1987.31913167731;1402.21269308348;1874.94722345878;0.210985624395123;5081.74674000882;3431.8123955287;1335.25966168753;1875.39906035606;1.56404786404878;-214.24970046702;1.44587807130811;214.254579212686;0.106902970881309;131.734900001902;"1";0;0;0;0;0;0;[0.69191944326838, 0.726942610236076, 0.687172089386205, 0.710010368453523, 0.717866812753868, 0.730988891600072, 0.692593664162827, 0.688420668058521, 0.689029820394555];[24.8, 29.6, 30.4, 29.6, 30.4, 30.4, 26.4, 26.4, 30.4];[67.2, 65.6, 60.8, 65.6, 62.4, 64, 64, 64, 64];5.15369999993709;"1";0;0;0;0;0;0;0;0;0;1.83480000123382;"1";1;31631;31631;80975.36;80975.36;-5.0029945742372;5.6;2818.99124276817;-2136.61671145395;-286.650474030642;9.54030000139028;"FM";"1";0;0;0;0;0;173.922699999821;"FM";"1";0;0;0;0;0;0;0;15.4593999977806
HE_3_1_L;"1";1;2994159;2994159;7665047.04;7665047.04;-1.36548355803002;"1";0;1252.72285399981;1883.15931844436;0.413963108400322;4029.56247407087;1987.56971224134;1385.87209553861;1882.80274406601;0.240734318740228;5081.81086960288;3431.15731524352;1319.29747476921;1882.98103125518;1.56811832786814;-213.038786462076;0.570519005363167;213.039550387174;0.173228789660094;124.839700001758;"1";0;0;0;0;0;0;[0.715093446649784, 0.699108676885203, 0.712801209320716, 0.710906902641027, 0.688248239815814, 0.647249508173299, 0.684312357611055, 0.64622830015425, 0.688541747405607];[27.2, 26.4, 26.4, 25.6, 25.6, 26.4, 26.4, 26.4, 30.4];[64, 65.6, 64, 64, 64, 60.8, 64, 64, 65.6];4.04100000014296;"1";0;0;0;0;0;0;0;0;0;1.88490000073216;"1";1;31788;31788;81377.28;81377.28;-5.00618892785741;4.8;2832.77508493771;-2119.65974581603;-286.833497011352;6.72539999868604;"FM";"1";0;0;0;0;0;158.5699999996;"FM";"1";0;0;0;0;0;0;0;13.6055000002671
HE_6_2_L;"1";1;2988575;2988575;7650752;7650752;-1.25568657096311;"1";0;1269.67440458903;1862.15784650478;0.520898322328525;4028.55934179245;1987.12000680446;1402.16230987553;1864.01252223199;0.370499583254383;5085.9073915029;3428.51277638467;1335.91835723228;1863.08518436839;-1.5567984106414;-211.980648458394;-2.96748116354065;212.001418073788;0.150398739074142;149.106900000334;"1";0;0;0;0;0;0;[0.653338191764874, 0.71974973657137, 0.674067041018505, 0.635010759572834, 0.63559508508719, 0.596789330517958, 0.598971412550633, 0.616203293105968, 0.594879175926543];[26.4, 28.8, 27.2, 26.4, 26.4, 26.4, 24.8, 24.8, 24.8];[60.8, 62.4, 60.8, 60.8, 59.2, 56, 62.4, 59.2, 59.2];4.38120000035269;"1";0;0;0;0;0;0;0;0;0;3.4866999994847;"1";1;32050;32050;82048;82048;-4.6646963497834;5.6;2839.25216848674;-2134.32521684867;-267.267413552669;7.15059999856749;"FM";"1";0;0;0;0;0;133.95230000242;"FM";"1";0;0;0;0;0;0;0;11.6211999993538
