;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;6. circularity pad;7. area lead;8. area wire;9. height wire;10. width wire-const;11. width wire;12. area bond tail;13. outer_radius bond tail;14. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;5. Area Bond Tail;6. Row Bond Tail;7. Column Bond Tail;7. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *width (um);9. Inspection Time
HE_4_1_O_86;1;1289.19203308317;1908.38564410564;0.0541421630901059;0.949286078162544;22.7109999977984;"1";0;0;0;0;0;0;0;0;0;4.67549999666517;"1";0;0;"Wire Sweep";[1526, 1473, 1493, 1476, 1513, 1530, 1516, 1487, 1475];[0.660145869907579, 0.687989847293119, 0.684485137207126, 0.67216856634086, 0.710660135046313, 0.683195213153418, 0.684852314613209, 0.694191291244956, 0.721112902021716];[201, 212, 199, 189, 194, 196, 190, 212, 209];[2364, 2633, 2437, 2837, 2473, 2444, 2774, 2521, 2504];[121, 121, 120, 121, 120, 121, 121, 119, 117];[60, 42, 39, 59, 43, 59, 64, 38, 39];[60, 42, 39, 59, 43, 59, 64, 38, 39];0;0;68.7131000013324;"1";0;0;0.332999999955064;"1";0;0;0.393399997847155;"1";0;0;0.528399999893736;"1";0;0;0;0;0;0.480499998957384;"1";0;0;0.319200000376441;"86";5;6326;[1357, 1204, 1211, 1296, 1258];16194.56;[3473.92, 3082.24, 3100.16, 3317.76, 3220.48];[-85.4853804536864, -88.1469546514181, -89.387633894675, -87.3145515358583, -88.5039939036524];[51.2, 62.4, 64, 97.6, 88, 97.6, 97.6, 94.4, 32];12.4015000001236
HE_3_2_O_86;1;1265.46780184364;1903.93618266763;0.0239284263300776;0.979184935165179;59.058399998321;"1";0;0;0;0;0;0;0;0;0;2.84009999813861;"1";0;0;"Good/OthersDefect";[1549, 1498, 1504, 1484, 1499, 1482, 1526, 1455, 1496];[0.66909634676517, 0.665541453081549, 0.648341659424698, 0.679691145407933, 0.683566470584128, 0.686693160391288, 0.662953536734508, 0.678485515786506, 0.700214694947186];[204, 219, 232, 255, 229, 208, 248, 225, 211];[2594, 2358, 2305, 2324, 2216, 2267, 2230, 2289, 2168];[120, 121, 120, 119, 119, 120, 121, 117, 116];[44, 38, 39, 38, 39, 41, 38, 43, 40];[44, 38, 39, 38, 39, 41, 38, 43, 40];0;0;64.8338999999396;"1";0;0;0.631099999736762;"1";0;0;0.296800000796793;"1";0;0;0.817300002381671;"1";0;0;0;0;0;0.647000000753906;"1";0;0;0.473299998702714;"86";1;1100;1100;2816;2816;89.1307784520457;[49.6, 43.2, 30.4, 78.4, 44.8, 46.4, 56, 44.8, 33.6];6.95749999795225
HE_7_1_O_86;1;1280.88864389169;1907.82862786861;0.0730461334813852;0.97888803035562;50.2487999983714;"1";0;0;0;0;0;0;0;0;0;4.15900000007241;"1";0;0;"Wire Sweep";[1480, 1528, 1546, 1480, 1521, 1481, 1522, 1496, 1497];[0.650457601972858, 0.656478733590041, 0.653262987928071, 0.682597362979503, 0.71574584176346, 0.711157604811935, 0.663004948322231, 0.71998789221391, 0.713198537585147];[205, 209, 191, 211, 192, 192, 197, 218, 209];[2576, 2665, 2355, 2570, 2269, 2485, 2442, 2312, 2417];[121, 122, 121, 120, 119, 121, 121, 118, 118];[55, 40, 38, 42, 39, 39, 45, 38, 41];[55, 40, 38, 42, 39, 39, 45, 38, 41];0;0;82.8769999970973;"1";0;0;0.269000000116648;"1";0;0;0.362499999027932;"1";0;0;0.24949999715318;"1";0;0;0;0;0;0.301499996567145;"1";0;0;0.384300001314841;"86";1;1138;1138;2913.28;2913.28;89.0373239796322;[46.4, 67.2, 30.4, 49.6, 46.4, 38.4, 59.2, 81.6, 30.4];3.47730000066804
HE_9_1_O_78;1;1866.26860343601;2248.4941846671;-0.0026938717168591;0.446927161450837;69.7115000002668;"78";1;1159667;1159667;2968747.52;2968747.52;0.288017963323211;3051.01987656801;-2059.06182378217;16.5022137223737;2.99799999993411;"1";0;0;"Bond Tail";[3131, 3131, 3131, 3131, 3131, 3131];[0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239];[2793, 2793, 2793];[18161, 18161, 18161, 18161, 18161, 16624, 0, 0, 0];[127, 127, 127, 127, 127, 127, 0, 0, 0];[143, 143, 143, 143, 143, 131, 0, 0, 0];[143, 143, 143, 143, 143, 131, 0, 0, 0];120451;357.825995171367;74.3398000013258;"1";0;0;0.339000001986278;"1";0;0;0.352099999872735;"88";9;[1, 2, 3, 4, 5, 6, 7, 8, 9];0.740600000426639;"97";1;1;120451;1313.01032785116;2468.63645797876;0.55669999710517;"89";3;[7, 8, 9];0.399600001401268;"86";1;56390;56390;144358.4;144358.4;0.191522535785012;1113.6;9.04099999752361
HE_12_1_O_86;1;1295.44101025573;1894.94468530827;0.0747783111840904;0.948561633042544;34.7767999992357;"1";0;0;0;0;0;0;0;0;0;3.64210000043386;"1";0;0;"Wire Sweep";[1461, 1489, 1483, 1469, 1475, 1496, 1509, 1449, 1495];[0.654035293331943, 0.698389550032143, 0.678415763056184, 0.675460742002246, 0.704969913075812, 0.651741116428612, 0.696839357021911, 0.72584721745483, 0.713190875894446];[224, 232, 224, 194, 212, 214, 206, 195, 206];[3050, 2782, 2312, 2489, 2458, 2469, 2715, 2634, 2697];[122, 121, 121, 119, 120, 121, 121, 119, 117];[95, 44, 39, 38, 40, 39, 44, 40, 42];[95, 44, 39, 38, 40, 39, 44, 40, 42];0;0;43.9743999995699;"1";0;0;0.269899999693735;"1";0;0;0.354300002072705;"1";0;0;0.306699999782722;"1";0;0;0;0;0;0.411599998187739;"1";0;0;0.327900001138914;"86";3;3654;[1161, 1273, 1220];9354.24;[2972.16, 3258.88, 3123.2];[-85.475974568088, -87.813322148516, -88.5371530523398];[52.8, 52.8, 27.2, 78.4, 52.8, 48, 94.4, 84.8, 30.4];5.51489999998012
HE_16_4_O_86;1;1289.73161182308;1898.54205452358;-0.0244196500508343;0.986479600611759;56.8783000016992;"1";0;0;0;0;0;0;0;0;0;8.0658000006224;"1";0;0;"Wire Sweep";[1484, 1460, 1515, 1505, 1519, 1496, 1491, 1474, 1469];[0.622995439822709, 0.698789173897172, 0.637524938509239, 0.672822735242932, 0.682320180170861, 0.688820474684471, 0.67460708013182, 0.682205569502954, 0.695957810877919];[208, 221, 212, 217, 216, 225, 216, 210, 221];[2890, 2549, 2428, 2554, 2502, 2591, 2600, 2321, 2640];[121, 120, 121, 120, 120, 121, 121, 119, 117];[92, 63, 49, 53, 44, 54, 55, 37, 40];[92, 63, 49, 53, 44, 54, 55, 37, 40];0;0;47.4376999991364;"1";0;0;0.330099999700906;"1";0;0;0.30960000003688;"1";0;0;0.460200000816258;"1";0;0;0;0;0;0.582099997700425;"1";0;0;0.419100000726758;"86";4;4699;[1155, 1170, 1179, 1195];12029.44;[2956.8, 2995.2, 3018.24, 3059.2];[-86.9833208362325, -87.8020527473708, -86.2747379816922, -86.2322524078982];[49.6, 91.2, 54.4, 52.8, 89.6, 91.2, 94.4, 59.2, 35.2];6.64300000062212
HE_15_4_O_86;1;1280.14893254913;1906.08933529956;0.0778438238862272;0.991181432513329;50.6419999983336;"1";0;0;0;0;0;0;0;0;0;5.16100000095321;"1";0;0;"Wire Sweep";[1469, 1505, 1521, 1472, 1490, 1455, 1483, 1484, 1456];[0.670294060104503, 0.702275122566506, 0.65110896418755, 0.683626265955803, 0.693174905182801, 0.704318357241868, 0.695482746644792, 0.686806479683552, 0.70567781885339];[224, 225, 227, 228, 213, 227, 218, 244, 229];[2678, 2451, 2450, 2432, 2382, 2586, 2507, 2486, 2252];[120, 121, 121, 118, 120, 120, 120, 116, 116];[47, 39, 39, 40, 41, 44, 40, 41, 40];[47, 39, 39, 40, 41, 44, 40, 41, 40];0;0;28.1094999991183;"1";0;0;0.343299998348812;"1";0;0;0.308099999529077;"1";0;0;0.289899999188492;"1";0;0;0;0;0;0.476400000479771;"1";0;0;0.343599996995181;"86";1;1103;1103;2823.68;2823.68;-88.8565424099237;[48, 30.4, 32, 75.2, 28.8, 56, 30.4, 32, 43.2];2.78900000193971
HE_12_4_O_86;1;1291.12492350704;1894.13112003939;0.10538089181404;0.984146338107038;46.0124999990512;"1";0;0;0;0;0;0;0;0;0;6.27130000066245;"1";0;0;"Good/OthersDefect";[1458, 1436, 1456, 1481, 1458, 1435, 1470, 1479, 1452];[0.644799440810916, 0.660237445559708, 0.653516839330097, 0.649741084035898, 0.681106247136187, 0.676670646816286, 0.653259336746083, 0.701355624344915, 0.703097549197126];[263, 241, 222, 233, 236, 268, 235, 255, 223];[2804, 2880, 2926, 2701, 2435, 2342, 2784, 2407, 2153];[120, 120, 120, 119, 119, 119, 121, 117, 116];[45, 43, 43, 44, 38, 39, 39, 37, 39];[45, 43, 43, 44, 38, 39, 39, 37, 39];0;0;33.2935000005818;"1";0;0;0.311800002236851;"1";0;0;0.678999997035135;"1";0;0;0.323200001730584;"1";0;0;0;0;0;0.45239999963087;"1";0;0;0.481600000057369;"86";1;1160;1160;2969.6;2969.6;88.5548524717219;[30.4, 30.4, 40, 56, 44.8, 30.4, 81.6, 52.8, 28.8];4.88330000007409
HE_3_3_O_86;1;1276.74636827055;1924.4479544984;-0.00690941696695887;0.985709714213925;39.4056000004639;"1";0;0;0;0;0;0;0;0;0;2.43659999978263;"1";0;0;"Wire Sweep";[1499, 1490, 1503, 1468, 1456, 1468, 1485, 1451, 1456];[0.64470884423666, 0.69224396928029, 0.65887258446919, 0.663190123320073, 0.663905632201572, 0.686908779077931, 0.657836133334593, 0.694470932684031, 0.686215245799862];[225, 228, 215, 211, 209, 213, 208, 182, 202];[2447, 2507, 2376, 2353, 2193, 2318, 2560, 2305, 2290];[121, 120, 120, 119, 118, 121, 122, 117, 117];[99, 59, 48, 39, 42, 39, 56, 40, 39];[99, 59, 48, 39, 42, 39, 56, 40, 39];0;0;30.516799997713;"1";0;0;0.334100001055049;"1";0;0;0.262000001384877;"1";0;0;0.761699997383403;"1";0;0;0;0;0;0.464900000224588;"1";0;0;0.448299997515278;"86";2;2245;[1036, 1209];5747.2;[2652.16, 3095.04];[-89.6367306945028, -85.9465822191361];[52.8, 65.6, 65.6, 88, 28.8, 48, 88, 62.4, 35.2];2.4690999998711
HE_5_6_O_86;1;1270.40032326549;1908.29880807633;0.0682807589402336;0.987511673375224;49.6767999975418;"1";0;0;0;0;0;0;0;0;0;5.00430000101915;"1";0;0;"Good/OthersDefect";[1498, 1474, 1514, 1471, 1481, 1528, 1494, 1485, 1469];[0.655906247465871, 0.710767463896188, 0.660532488177441, 0.663583856328898, 0.688180337503374, 0.657120916705949, 0.676313358641659, 0.713201395597171, 0.701496364710254];[240, 223, 211, 248, 254, 245, 197, 217, 229];[2312, 2394, 2476, 2380, 2618, 2392, 2495, 2260, 2235];[120, 121, 121, 119, 120, 120, 121, 119, 116];[43, 44, 40, 40, 39, 40, 40, 37, 39];[43, 44, 40, 40, 39, 40, 40, 37, 39];0;0;31.1486999999033;"1";0;0;0.253899997915141;"1";0;0;0.332700001308694;"1";0;0;0.284100002318155;"1";0;0;0;0;0;0.724099998478778;"1";0;0;0.640800000837771;"86";1;1213;1213;3105.28;3105.28;-87.026322103128;[44.8, 49.6, 43.2, 48, 84.8, 32, 59.2, 32, 24];7.39059999978053
HE_18_7_O_86;1;1329.89884850771;1910.28502383578;0.140272480909975;0.991949226650888;27.3316000020714;"1";0;0;0;0;0;0;0;0;0;6.56829999934416;"1";0;0;"Wire Sweep";[1532, 1491, 1518, 1510, 1495, 1531, 1521, 1515, 1485];[0.66045376647699, 0.673926450319835, 0.656731739878597, 0.677143702228866, 0.673883252516468, 0.635949166846409, 0.649163947988599, 0.668938200334858, 0.719209684292602];[208, 205, 190, 241, 216, 214, 184, 214, 218];[2785, 2757, 2787, 3257, 2636, 3235, 3473, 3114, 2441];[120, 122, 121, 120, 122, 121, 122, 119, 117];[41, 41, 48, 97, 39, 93, 92, 74, 40];[41, 41, 48, 97, 39, 93, 92, 74, 40];0;0;48.0110999997123;"1";0;0;0.42349999785074;"1";0;0;1.17660000250908;"1";0;0;0.3751000003831;"1";0;0;0;0;0;0.954999999521533;"1";0;0;0.498900000820868;"86";1;1145;1145;2931.2;2931.2;-89.5238800459728;[25.6, 35.2, 27.2, 36.8, 52.8, 27.2, 75.2, 62.4, 43.2];3.3036999993783
HE_7_7_O_86;1;1295.21924785943;1931.51312701823;0.0844295928852195;0.990198920165113;26.6080000001239;"1";0;0;0;0;0;0;0;0;0;4.03360000200337;"1";0;0;"Wire Sweep";[1539, 1527, 1553, 1513, 1517, 1498, 1491, 1494, 1471];[0.679473664449283, 0.660803121850892, 0.642922625138398, 0.645050358563292, 0.703820862987883, 0.661049747701231, 0.673023465015825, 0.656939952068266, 0.684496280369771];[241, 225, 213, 207, 197, 212, 191, 223, 211];[2554, 2545, 2474, 2509, 2495, 2393, 2408, 2553, 2422];[122, 121, 122, 120, 121, 120, 120, 118, 117];[42, 39, 47, 39, 39, 40, 40, 39, 40];[42, 39, 47, 39, 39, 40, 40, 39, 40];0;0;30.3829000004043;"1";0;0;0.356099997588899;"1";0;0;0.35320000097272;"1";0;0;0.281399999948917;"1";0;0;0;0;0;0.314900000375928;"1";0;0;0.298700000712415;"86";1;1151;1151;2946.56;2946.56;89.8860124792604;[46.4, 27.2, 32, 51.2, 62.4, 36.8, 54.4, 78.4, 28.8];3.96330000148737
HE_6_7_O_86;1;1307.11460230211;1923.84178501925;0.0908547540731526;0.969699150146269;54.5692000014242;"1";0;0;0;0;0;0;0;0;0;4.2436000003363;"1";0;0;"Wire Sweep";[1459, 1458, 1458, 1430, 1465, 1441, 1421, 1458, 1438];[0.630070747744287, 0.665932032306538, 0.616165244441719, 0.667558009616988, 0.690593795097257, 0.662691427166266, 0.621558782788873, 0.694632286992368, 0.684232884886137];[232, 226, 229, 240, 247, 242, 246, 213, 218];[2730, 2642, 2547, 2709, 2569, 2596, 2551, 2414, 2355];[120, 120, 120, 120, 120, 120, 120, 119, 117];[98, 51, 50, 48, 38, 44, 37, 38, 39];[98, 51, 50, 48, 38, 44, 37, 38, 39];0;0;23.8798999998835;"1";0;0;0.393599999370053;"1";0;0;0.374600000213832;"1";0;0;0.549699998373399;"1";0;0;0;0;0;0.666099997033598;"1";0;0;0.475400000141235;"86";5;5668;[1100, 1172, 1121, 1109, 1166];14510.08;[2816, 3000.32, 2869.76, 2839.04, 2984.96];[-87.880650081213, -89.0246894998757, -86.751755686252, -87.9168996994262, -88.176999121687];[49.6, 46.4, 78.4, 78.4, 68.8, 75.2, 78.4, 84.8, 27.2];6.37540000025183
