;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copper_area(um);8. *Copper_max_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_2_1_C1;1;1304.39048297825;1896.08864035634;-0.239419505772926;0.703916032650596;34.5292999991216;"1";0;1432.80238571414;1903.21341864743;0.255996311441967;5.13744348891377;3.47401259740924;126.469099999667;"1";0;[];[];[];[];9.61110000207555;["1", "1"];[0, 0];10.4;0;0;0;83.1885000006878;"1";0;[];[];[];[];[];[];37.3891000017466;"1";0;[];[];[];[];[];3.38669999837293
HE_2_2_C1;1;1285.47960997011;1889.16173195542;-0.0819725500389809;0.737507110662733;49.9661000030756;"1";0;1415.95539104083;1894.23812550585;0.228462726383104;5.13315115672388;3.47784774320988;112.581199999113;"1";0;[];[];[];[];10.8153000001039;["1", "1"];[0, 0];0;0;2.4;0;94.8002000004635;"1";0;[];[];[];[];[];[];37.6613999978872;"1";0;[];[];[];[];[];4.27879999915604
HE_1_2_C1;1;1276.26377736515;1898.10643359457;0;0.755860028475752;44.6600999966904;"1";0;1405.17426948892;1902.67556815905;0.22389177758677;5.14463764809056;3.47722177549045;119.85790000108;"1";0;[];[];[];[];9.26830000025802;["1", "1"];[0, 0];0;0;0;0;82.1362999995472;"1";0;[];[];[];[];[];[];36.4757999996073;"1";0;[];[];[];[];[];4.19809999948484
HE_1_1_C1;1;1291.98536825726;1909.91970106823;-0.0867748177531964;0.783070706067235;25.4930999981298;"1";0;1420.59020450261;1914.94170212215;0.343036495087901;5.13249737901005;3.47376613283873;99.7826999991958;"1";0;[];[];[];[];11.0605000008945;["1", "1"];[0, 0];12;0;4;4;84.8970000006375;"1";0;[];[];[];[];[];[];47.1168000003672;"1";0;[];[];[];[];[];7.18680000136374
HE_4_1_C1;1;1289.35249387139;1905.80439842485;-0.0878134223004105;0.625403407163958;47.9488999990281;"1";0;1425.90259972657;1906.07521228408;0.179781032480245;5.14330884779368;3.47725629030701;60.2508000010857;"1";0;[];[];[];[];6.69120000020484;["1", "1"];[0, 0];0;5.6;0;0;104.992199998378;"1";0;[];[];[];[];[];[];31.142899999395;"1";0;[];[];[];[];[];1.79579999894486
HE_3_1_C1;1;1285.17508169471;1911.8975871139;0;0.6861253324507;36.5517999998701;"1";0;1416.18418867949;1915.58359684334;0.234617604200671;5.13832398435659;3.47360795531782;74.1517999995267;"1";0;[];[];[];[];7.15529999797582;["1", "1"];[0, 0];0;7.2;5.6;0;81.3554000014847;"1";0;[];[];[];[];[];[];40.4640999986441;"1";0;[];[];[];[];[];2.082099999825
HE_4_2_C1;1;1287.04637363789;1888.04170689939;-0.101123098827067;0.692012605483256;37.7172000007704;"1";0;1415.56942525153;1891.72823370044;0.246088816404736;5.14341241189332;3.48644571251134;69.8335000015504;"1";0;[];[];[];[];14.1793000002508;["1", "1"];[0, 0];0;0;0;0;70.5831000013859;"1";0;[];[];[];[];[];[];24.2660000003525;"1";0;[];[];[];[];[];5.29830000232323
HE_3_2_C1;1;1270.02060961955;1903.27432206051;-0.235629142729344;0.751729611809793;23.9179999989574;"1";0;1399.97530718371;1903.37278294168;0.169658244807559;5.13726302776776;3.48427601004248;63.0287999993016;"1";0;[];[];[];[];7.33050000053481;["1", "1"];[0, 0];0;0;0;2.4;72.8871999999683;"1";0;[];[];[];[];29780.8;425.45;26.7543000009027;"1";0;[];[];[];[];[];1.77889999758918
HE_5_1_C1;1;1277.88182030222;1909.96728613024;0;0.741695746485135;42.250000002241;"1";0;1409.51143111841;1911.64219001;0.252567420273478;5.14313361903653;3.47447739807403;77.0550000015646;"1";0;[];[];[];[];4.66789999700268;["1", "1"];[0, 0];0;0;0;0;59.6092000014323;"1";0;[];[];[];[];31121.6;418.632;46.8411000001652;"1";0;[];[];[];[];[];7.68439999956172
HE_6_2_C1;1;1281.65722950402;1882.00432062332;-0.0889255707298561;0.731910736947299;53.8788999983808;"1";0;1412.11342500458;1886.5912636168;0.221454629193711;5.14268841132271;3.48626003239333;71.267600000283;"1";0;[];[];[];[];4.98279999737861;["1", "1"];[0, 0];0;0;0;0;58.2307000004221;"1";0;[];[];[];[];[];[];35.9728000003088;"1";0;[];[];[];[];[];5.42209999912302
