;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Inspection Time
HE_1_1_L1;"1";1;6832126;6832126;17.49024256;17.49024256;0.351165754004637;3.06365945335317;-2.26856798413847;20.120315613995;"1";0;545.239085961597;2322.14099426548;0.341898180090261;1.84039879334897;0.100651971299073;3.71542559082477;-0.872382537538556;19.5893227423757;27.8840999999375;"1";0;0;0;0;0;0;[0.655915933010263, 0.688025634565665, 0.657171208999251, 0.745984242163157, 0.688123252856377, 0.689052653337893, 0.651279984901872, 0.729598601774009, 0.690790701221893];[23.2, 23.2, 20, 22.4, 21.6, 22.4, 20.8, 22.4, 20.8];6.37559999813675;"1";16;4571;[328, 244, 266, 273, 335, 252, 302, 238, 314, 272, 302, 265, 300, 255, 296, 329];11701.76;[839.68, 624.64, 680.96, 698.88, 857.6, 645.12, 773.12, 609.28, 803.84, 696.32, 773.12, 678.4, 768, 652.8, 757.76, 842.24];[-7.73029938235812, -84.2942118333801, -63.0011179498681, -75.4915391032754, -16.0558966617405, -86.6751295555641, -31.5626014844573, 78.3940860548632, -19.3930642039851, 80.7705740290503, 7.94140599320722, -86.5300428892739, -24.2076162377907, -90, -35.2127420012406, 0.289179398901792];3.14870000147494;"1";9;11520;[1309, 1334, 1295, 1273, 1245, 1262, 1203, 1306, 1293];0.0294912;[0.00335104, 0.00341504, 0.0033152, 0.00325888, 0.0031872, 0.00323072, 0.00307968, 0.00334336, 0.00331008];[-89.4946636512498, 89.4726937938429, -86.1582613931486, 84.6090059340948, 89.8676626159662, -89.7889571944288, -84.0905914092224, 88.2266857661455, 89.812507457532];3.77330000264919
HE_2_2_L1;"1";1;6837255;6837255;17.5033728;17.5033728;0.228122441538373;3.03263398682659;-2.26183710181937;13.0704531123686;"1";0;541.339670050403;2303.56944659246;0.204790295762397;1.84447284641175;0.103300254152744;3.68571111454793;-0.866143472080645;11.7336196324212;12.7988000022015;"1";0;0;0;0;0;0;[0.744704488114758, 0.677942292154797, 0.654827800737978, 0.689236141776998, 0.616869943496854, 0.659176183222103, 0.61392853948472];[22.4, 20.8, 20.8, 20.8, 21.6, 20.8, 20];4.9271999996563;"1";16;4861;[362, 275, 282, 284, 391, 275, 348, 286, 323, 266, 341, 236, 304, 217, 333, 338];12444.16;[926.72, 704, 721.92, 727.04, 1000.96, 704, 890.88, 732.16, 826.88, 680.96, 872.96, 604.16, 778.24, 555.52, 852.48, 865.28];[-7.06024199886606, 87.6162486828043, -64.3330612815835, -37.6557390795348, 6.45218301131408, -87.324640010231, -4.13971657311584, 51.3965850511003, -12.351220536945, -60.8732497327977, 13.8060329336801, -73.600007582182, -8.24436406988329, -79.5965934587961, 6.34632781495953, -6.82808460950008];3.65059999967343;"1";9;11249;[1293, 1253, 1253, 1244, 1236, 1234, 1249, 1236, 1251];0.02879744;[0.00331008, 0.00320768, 0.00320768, 0.00318464, 0.00316416, 0.00315904, 0.00319744, 0.00316416, 0.00320256];[76.9155743126681, 87.8193895539976, -87.5405538211066, 84.2757628505254, 84.3408629626181, -80.226496128137, 84.8947042747303, -89.7859336910715, -68.9926896960324];4.16389999736566
HE_1_2_L1;"1";1;6852422;6852422;17.54220032;17.54220032;0.203841202322379;3.04514408505489;-2.24437738434673;11.6792405839446;"1";0;532.12187402862;2311.47485027205;0.411697685394234;1.84391905941378;0.10254884228429;3.69835976043528;-0.851394998445792;23.5885398083944;24.7830000007525;"1";0;0;0;0;0;0;[0.794865676480906, 0.836537582450182, 0.824431720695739, 0.736283419652815, 0.820515208972973, 0.844117502655727, 0.620558844612667, 0.618868815938221, 0.623647012506223];[23.2, 24, 23.2, 20, 24.8, 23.2, 20.8, 20, 20.8];4.3377000001783;"1";16;4538;[300, 255, 259, 283, 330, 263, 319, 270, 282, 282, 299, 252, 288, 237, 274, 345];11617.28;[768, 652.8, 663.04, 724.48, 844.8, 673.28, 816.64, 691.2, 721.92, 721.92, 765.44, 645.12, 737.28, 606.72, 701.44, 883.2];[-25.7542688609644, -90, 80.5218576276285, -24.0975240610176, -12.8926161075595, 72.9091764581061, -14.6169068954595, 81.5654824843724, -60.2071197324144, 75.1488821077176, -12.5883767034735, -83.8216490781211, -42.0591294949614, -88.3602610531539, 87.3160617655017, -5.67236391486193];9.78329999998095;"1";9;11715;[1440, 1321, 1340, 1237, 1305, 1215, 1302, 1318, 1237];0.0299904;[0.0036864, 0.00338176, 0.0034304, 0.00316672, 0.0033408, 0.0031104, 0.00333312, 0.00337408, 0.00316672];[86.0657816295572, -85.9323114979048, 70.9167811510239, 81.4330656260693, 76.9152398919905, -89.0613870646131, -87.0384868640191, 88.0009213580443, 79.3712580388024];12.7721000026213
HE_2_1_L1;"1";1;6835996;6835996;17.50014976;17.50014976;0.261255379573655;3.04611919421837;-2.28807243819335;14.9688306246588;"1";0;558.121714749578;2310.03556569137;0.244978960650537;1.84501984350561;0.103126784679379;3.6960569051062;-0.892994743599325;14.0362605147772;21.50790000087;"1";0;0;0;0;0;0;[0.647973370192662, 0.638054018893906, 0.618144843456329, 0.632781280585456, 0.749933838686927, 0.635968261637389];[20.8, 20.8, 20.8, 20.8, 21.6, 20.8];5.78590000077384;"1";16;4570;[371, 249, 292, 224, 358, 230, 345, 238, 331, 217, 345, 231, 323, 208, 314, 294];11699.2;[949.76, 637.44, 747.52, 573.44, 916.48, 588.8, 883.2, 609.28, 847.36, 555.52, 883.2, 591.36, 826.88, 532.48, 803.84, 752.64];[-2.01341796097968, -89.5914847758663, 23.8644155959976, -87.6336128451709, 5.62226963066537, 89.8160741198358, -10.3623112418791, -90, -8.40220604888327, -82.3256001314898, -6.39923023891123, -75.4470373951909, -9.76528540266018, 85.4767151035292, -19.5512157223513, -21.0509146269553];3.24440000258619;"1";9;11370;[1321, 1298, 1295, 1247, 1237, 1213, 1230, 1257, 1272];0.0291072;[0.00338176, 0.00332288, 0.0033152, 0.00319232, 0.00316672, 0.00310528, 0.0031488, 0.00321792, 0.00325632];[80.4772124258829, -88.5237806678099, 86.7830503032915, 86.3332950279635, -68.9717776336126, 83.0276685859325, -89.2032553775961, 84.4670314554807, -79.8532988087268];3.9727999974275
HE_4_1_L1;"1";1;6832018;6832018;17.48996608;17.48996608;0.222358050344825;3.05083698503136;-2.27701233035393;12.740177825516;"1";0;550.892297993199;2313.86638361813;0.223811791796777;1.84734590618754;0.103009953913692;3.70218621378901;-0.881427676789118;12.823471075216;20.7596000000194;"1";0;0;0;0;0;0;[0.74163670814294, 0.662553531418798, 0.623039127971206, 0.633220908349006, 0.695334020792157, 0.649238894093815, 0.622584311938635];[23.2, 20.8, 20.8, 20.8, 21.6, 20.8, 20];5.02050000068266;"1";16;4795;[368, 264, 303, 282, 331, 276, 301, 255, 319, 262, 357, 252, 328, 254, 315, 328];12275.2;[942.08, 675.84, 775.68, 721.92, 847.36, 706.56, 770.56, 652.8, 816.64, 670.72, 913.92, 645.12, 839.68, 650.24, 806.4, 839.68];[-5.6962454252368, 84.6140874399753, 23.7206313258223, 65.3749697646513, -4.45167815230644, 72.7699319134132, -30.8421253633628, -90, 2.08295161111003, -87.4212522218756, 2.66121800019926, 83.338968228674, -7.53614377479516, -87.6105104585258, -22.4202744778421, 11.5715455796581];7.10520000211545;"1";9;11185;[1277, 1250, 1239, 1234, 1267, 1204, 1222, 1256, 1236];0.0286336;[0.00326912, 0.0032, 0.00317184, 0.00315904, 0.00324352, 0.00308224, 0.00312832, 0.00321536, 0.00316416];[-76.5412660033175, -82.9239422278782, 82.7149472894205, -78.5485162149962, -80.8546138244346, -87.3322150570089, -89.1904873494471, -85.7839238402596, 83.0051869977962];12.6596000009158
HE_4_2_L1;"1";1;6837053;6837053;17.50285568;17.50285568;0.227447290418817;3.02816466872496;-2.26162805735161;13.0317698026845;"1";0;541.464312059509;2302.77452241282;0.223715245797445;1.84487485262319;0.102691961101693;3.68443923586051;-0.866342899295215;12.8179393969254;14.4273000005342;"1";0;0;0;0;0;0;[0.809083827128304, 0.849278913409772, 0.637239973481235, 0.700750303470658, 0.645988799421808, 0.655941004592873, 0.667315192440273, 0.671374665893075];[22.4, 24.8, 20.8, 20, 20.8, 19.2, 20, 21.6];7.26570000188076;"1";16;4681;[339, 269, 286, 278, 345, 271, 328, 267, 325, 269, 332, 234, 311, 223, 302, 302];11983.36;[867.84, 688.64, 732.16, 711.68, 883.2, 693.76, 839.68, 683.52, 832, 688.64, 849.92, 599.04, 796.16, 570.88, 773.12, 773.12];[-13.0172499653193, -85.5097959754157, -88.1860493383056, -50.8068975228434, -8.34959243983526, -85.3791437569857, -7.16413522008906, -83.4092252808141, 16.9372446308771, -90, -11.6979521876946, -80.049519385999, 7.90949776536041, -82.9445548788784, 24.9111947545343, 9.17687682619238];1.94800000099349;"1";9;11177;[1272, 1250, 1293, 1185, 1207, 1235, 1262, 1237, 1236];0.02861312;[0.00325632, 0.0032, 0.00331008, 0.0030336, 0.00308992, 0.0031616, 0.00323072, 0.00316672, 0.00316416];[-75.1700287936488, 89.0927718663273, -85.1199252359188, 75.9492087976474, 81.6759194439448, 89.7320798468083, -87.2733344879299, -85.7293283019573, -84.7405012596755];4.4718000026478
HE_3_1_L1;"1";1;6826350;6826350;17.475456;17.475456;0.249286077802544;3.06500120902093;-2.26000143045698;14.2830401494556;"1";0;540.314714682723;2321.74987280928;0.253770240639641;1.84518929254539;0.10309763499748;3.71479979649485;-0.864503543492356;14.5399637546707;19.4579999988491;"1";0;0;0;0;0;0;[0.624379512424583, 0.603551391196633, 0.706598829318299, 0.635553597785625, 0.609732422287372, 0.607283211373614, 0.798426523756997];[20.8, 21.6, 20.8, 20.8, 20, 20, 20.8];6.66370000180905;"1";16;4606;[342, 249, 277, 279, 326, 243, 310, 252, 307, 265, 328, 255, 308, 238, 296, 331];11791.36;[875.52, 637.44, 709.12, 714.24, 834.56, 622.08, 793.6, 645.12, 785.92, 678.4, 839.68, 652.8, 788.48, 609.28, 757.76, 847.36];[-5.53069852087057, 82.8521202164021, 72.9338433549278, 59.3501549776835, -11.8063210509328, 89.7363058663241, 8.90295267376435, 69.8171098196567, 4.68242310087953, -75.1472884508119, -6.50789653868001, -90, 1.24821161225345, -90, -35.1253131505559, 1.74804054964762];2.36899999799789;"1";9;11640;[1315, 1315, 1294, 1273, 1277, 1280, 1279, 1341, 1266];0.0297984;[0.0033664, 0.0033664, 0.00331264, 0.00325888, 0.00326912, 0.0032768, 0.00327424, 0.00343296, 0.00324096];[89.8229954499601, 88.6780368082189, 85.6078156550255, -87.7131759992921, 82.8028915947203, 84.4630510088166, -80.9372035881925, -85.6367338795826, 80.3537742346829];7.19480000043404
HE_3_2_L1;"1";1;6830546;6830546;17.48619776;17.48619776;0.209057271618902;3.0467011034257;-2.23718496249055;11.9780993402831;"1";0;526.321584834486;2314.55045566879;0.197709384464712;1.84467761818968;0.103922751453731;3.70328072907006;-0.842114535735178;11.3279132999574;12.9942000021401;"1";0;0;0;0;0;0;[0.788961860663633, 0.846943194598101, 0.652143012685152, 0.660967850095155, 0.744258061910161, 0.685900748180792, 0.856704391253075, 0.776240285453809];[23.2, 24.8, 20.8, 20, 22.4, 20.8, 24, 24];2.92039999840199;"1";16;4585;[321, 251, 248, 298, 328, 269, 302, 255, 291, 271, 313, 272, 282, 253, 291, 340];11737.6;[821.76, 642.56, 634.88, 762.88, 839.68, 688.64, 773.12, 652.8, 744.96, 693.76, 801.28, 696.32, 721.92, 647.68, 744.96, 870.4];[-9.98319918000259, -82.511994259244, 72.30276030676, -25.3394602576174, 6.29422780272698, -80.6591683955732, -14.8606360573822, -90, -53.0321457096965, -79.5433047079371, 12.8463204793855, -90, -82.3380838113469, 87.440143198555, 47.0822475820299, -3.13831022891683];2.06759999855421;"1";9;11517;[1385, 1312, 1278, 1173, 1274, 1270, 1274, 1272, 1279];0.02948352;[0.0035456, 0.00335872, 0.00327168, 0.00300288, 0.00326144, 0.0032512, 0.00326144, 0.00325632, 0.00327424];[-87.2976885996969, -87.7610587634452, -86.338383165717, -81.4840118791958, -83.197459116192, -88.2514342862962, -84.822625449563, -87.2488449958665, -75.6913373349293];2.42100000104983
HE_5_1_L1;"1";1;6825283;6825283;17.47272448;17.47272448;0.254149152262358;3.05815063363673;-2.25546747854997;14.5616737914609;"1";0;539.7592935106;2319.24843919301;0.210033903351385;1.8401699737823;0.101511099253183;3.71079750270882;-0.86361486961696;12.034056216693;21.120699999301;"1";0;0;0;0;0;0;[0.703777518350823, 0.80967636247581, 0.729299294572465, 0.772683112016976, 0.658210662148451, 0.784382861098463, 0.82007774581965];[20.8, 24, 22.4, 22.4, 20.8, 21.6, 22.4];6.23640000048908;"1";16;4675;[342, 272, 276, 289, 339, 255, 306, 252, 307, 272, 327, 272, 294, 238, 301, 333];11968;[875.52, 696.32, 706.56, 739.84, 867.84, 652.8, 783.36, 645.12, 785.92, 696.32, 837.12, 696.32, 752.64, 609.28, 770.56, 852.48];[-1.7993890468416, -90, 59.2175650008119, -51.3119188106025, -6.67005360740375, -90, 7.4625288559783, -83.8216490781211, -16.2188814335972, -90, 7.43479999160194, -90, 18.9640634122152, -90, -25.0704301083679, 3.63766667658778];1.77199999961886;"1";9;11404;[1311, 1282, 1283, 1246, 1239, 1236, 1243, 1285, 1279];0.02919424;[0.00335616, 0.00328192, 0.00328448, 0.00318976, 0.00317184, 0.00316416, 0.00318208, 0.0032896, 0.00327424];[-86.6132368371301, -82.3251096896132, -81.5522301985229, -82.2564725696823, -83.2517683093447, 89.88717760277, -79.8183843192526, -80.4715134716635, -81.9186587787902];4.01359999887063
