;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14450847;HE_9_1_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;5.45559998136014;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.6421000123955;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.67739999596961;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.69309999910183;"74";2;3311;[1763, 1548];1548;1763;1655.5000;8476.16;[4513.28, 3962.88];3962.88;4513.28;4238.0800;[-0.000993577055094996, 89.8686623532753];-0.000993577055094996;89.8686623532753;44.9338;[4.8, 4];4;4.8;4.4000;234.267044809983;-1015.20136131594;-0.0569277718779805;25.678500009235;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.8051999921445;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.0900999968871
HRH14450847;HE_18_2_L_74;"1";1;2989219;2989219;2989219;2989219;2989219.0000;7652400.64;7652400.64;7652400.64;7652400.64;7652400.6400;-1.21249066474462;-1.21249066474462;-1.21249066474462;-1.2125;8.76140000764281;"1";0;1299.97877630034;1862.79147834253;0.566365156382982;4029.75261529834;1987.25974612749;1428.39692668298;1862.11576444047;0.439367918159219;5082.90442256947;3430.11459388661;1364.18785149166;1862.4536213915;1.56553454982622;-205.469040612229;1.08114224329693;205.47188498347;0.126997238223763;55.892300006235;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.56951493862193, 0.564598667790195, 0.557234649407822, 0.577569780405106, 0.61575269084421, 0.593633487777232, 0.598437839235951, 0.578491940096248, 0.61905261787008];0.557234649407822;0.61905261787008;0.5860;[25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 24.8];24.8;25.6;25.5111;[62.4, 62.4, 62.4, 62.4, 65.6, 62.4, 62.4, 64, 64];62.4;65.6;63.1111;5.78080001287162;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;5.88740000966936;"74";2;31927;[12806, 19121];12806;19121;15963.5000;81733.12;[32783.36, 48949.76];32783.36;48949.76;40866.5600;[52.1166685634938, 21.8011842352993];21.8011842352993;52.1166685634938;36.9589;[5.6, 5.6];5.6;5.6;5.6000;1383.50110885522;-1577.19906293925;2986.06515097033;14.8848000098951;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;146.002199995564;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;16.6847000073176
HRH14450847;HE_13_3_L_74;"1";1;2991682;2991682;2991682;2991682;2991682.0000;7658705.92;7658705.92;7658705.92;7658705.92;7658705.9200;-1.16372938717546;-1.16372938717546;-1.16372938717546;-1.1637;18.221900012577;"1";0;1269.20885662707;1896.9548993133;0.619122642218035;4029.3614433061;1987.54532978643;1396.13302015488;1898.04036120684;0.478520923033821;5075.44780946117;3432.64098186938;1332.67093839098;1897.49763026007;-1.56224448448327;-203.078661644485;-1.73673902967494;203.086087848903;0.140601719184214;96.9444999936968;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.584090886887224, 0.568815833076073, 0.530258152445333, 0.550283017129117, 0.565988117373753, 0.565153913368719, 0.547317561684524, 0.562139841681116, 0.533136073409727];0.530258152445333;0.584090886887224;0.5564;[27.2, 27.2, 26.4, 26.4, 28, 27.2, 27.2, 26.4, 27.2];26.4;28;27.0222;[62.4, 62.4, 62.4, 62.4, 64, 60.8, 62.4, 59.2, 59.2];59.2;64;61.6889;4.22179998713546;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.6060999953188;"74";2;32406;[11195, 21211];11195;21211;16203.0000;82959.36;[28659.2, 54300.16];28659.2;54300.16;41479.6800;[35.4482525895671, 17.4526098769627];17.4526098769627;35.4482525895671;26.4504;[5.6, 5.6];5.6;5.6;5.6000;1499.93218401072;-1346.58887003126;2031.03526449589;10.8185000135563;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;123.775799991563;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.5099999913946
HRH14450847;HE_1_9_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;5.36710000596941;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.3824999842327;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.89650000538677;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.12910000886768;"74";2;3530;[1987, 1543];1543;1987;1765.0000;9036.8;[5086.72, 3950.08];3950.08;5086.72;4518.4000;[0.000785475715521035, 89.8705239122524];0.000785475715521035;89.8705239122524;44.9357;[4.8, 4];4;4.8;4.4000;264.133668847509;-1015.19879214897;0.0450044434093738;23.9103999920189;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;18.0416000075638;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;5.9324000030756
HRH14450847;HE_16_9_L_74;"1";1;2993255;2993255;2993255;2993255;2993255.0000;7662732.8;7662732.8;7662732.8;7662732.8;7662732.8000;-1.38560798688649;-1.38560798688649;-1.38560798688649;-1.3856;9.86180000472814;"1";0;1292.8029658884;1908.2667058718;0.411389682190859;4029.78035912132;1988.99840934814;1422.13096411954;1908.46842636691;0.261564656467718;5081.9744217112;3434.33218347487;1357.46696500397;1908.36756611935;-1.56923656916864;-206.924797169813;-0.322752792183019;206.925048877928;0.149825025723142;50.4446999984793;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.589763353785135, 0.560578821089269, 0.580859877268787, 0.572642645163353, 0.592239954748062, 0.567984293501403, 0.551080744931558, 0.613272076534667, 0.552726394828055];0.551080744931558;0.613272076534667;0.5757;[28.8, 28, 28.8, 28.8, 28.8, 28.8, 28, 28.8, 26.4];26.4;28.8;28.3556;[59.2, 56, 59.2, 59.2, 60.8, 59.2, 59.2, 59.2, 59.2];56;60.8;59.0222;3.53519999771379;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.03959998907521;"74";2;33889;[8577, 25312];8577;25312;16944.5000;86755.84;[21957.12, 64798.72];21957.12;64798.72;43377.9200;[9.94024774703773, 9.88054713903876];9.88054713903876;9.94024774703773;9.9104;[5.6, 5.6];5.6;5.6;5.6000;1673.82777194823;-1144.59993004547;569.534243219687;12.7140000113286;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;181.035800022073;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.8383000097238
HRH14450847;HE_18_9_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;12.9767000034917;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.4364999977406;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.24579999828711;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.46450001234189;"74";2;3510;[1695, 1815];1695;1815;1755.0000;8985.6;[4339.2, 4646.4];4339.2;4646.4;4492.8000;[-0.00107736578715278, 89.8169808446816];-0.00107736578715278;89.8169808446816;44.9080;[4.8, 4];4;4.8;4.4000;225.200707964602;-1015.2014159292;-0.061728512595644;8.34170001326129;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.3843999938108;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;5.66189998062328
HRH14450847;HE_9_16_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;11.5069999883417;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.7982999950182;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.92579999566078;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.01589999091811;"74";2;3589;[2009, 1580];1580;2009;1794.5000;9187.84;[5143.04, 4044.8];4044.8;5143.04;4593.9200;[0.00434868316838629, 89.8653101075849];0.00434868316838629;89.8653101075849;44.9348;[4.8, 4];4;4.8;4.4000;267.068591338975;-1015.19323046292;0.249161191988113;11.0716000199318;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.6079000106547;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;4.27340000169352
HRH14450847;HE_3_15_L_51;"1";1;2993889;2993889;2993889;2993889;2993889.0000;7664355.84;7664355.84;7664355.84;7664355.84;7664355.8400;-1.28370118507514;-1.28370118507514;-1.28370118507514;-1.2837;12.697099999059;"51";1;1;1957.31445684461;0.498587721741511;4029.81789056066;1987.93624576353;1386.21306801692;1959.35446798044;0.357244238651008;5074.66532574027;3428.52680590052;1323.15071360087;1958.33446241252;-1.55462318132152;-201.799534131374;-3.26401781733366;201.825929424223;0.141343483090503;55.1665999810211;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.501393028243675, 0.527923637897847, 0.541651840328808, 0.548553399766039, 0.550590868865313, 0.554032120783952, 0.552297315432126, 0.572609554901763, 0.547664733458547];0.501393028243675;0.572609554901763;0.5441;[27.2, 28, 27.2, 27.2, 28.8, 27.2, 27.2, 26.4, 25.6];25.6;28.8;27.2000;[59.2, 60.8, 60.8, 62.4, 59.2, 62.4, 60.8, 62.4, 60.8];59.2;62.4;60.9778;6.26670001656748;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.93310002214275;"1";1;33120;33120;33120;33120;33120.0000;84787.2;84787.2;84787.2;84787.2;84787.2000;-4.54339933938021;-4.54339933938021;-4.54339933938021;-4.5434;5.6;5.6;5.6;5.6000;2985.34806763285;-2149.69652173913;-260.317606789012;14.5230000198353;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;89.1660999914166;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.3690000129864
HRH14450847;HE_1_15_L_51;"1";1;2994667;2994667;2994667;2994667;2994667.0000;7666347.52;7666347.52;7666347.52;7666347.52;7666347.5200;-1.01416721084712;-1.01416721084712;-1.01416721084712;-1.0142;8.22619997779839;"51";1;1;1955.16680417258;0.786560938471512;4030.06368678275;1988.86256698169;1381.5522535761;1958.73129605039;0.567506369226727;5076.74666615332;3431.00828666959;1318.17887422641;1956.94905011148;-1.54268079436415;-202.794813919032;-5.7031870044957;202.874993270395;0.219054569244786;46.1917000066023;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.540901514483557, 0.577929415069132, 0.532473061212725, 0.571259765572932, 0.541457198241425, 0.563339908102605, 0.593126317979814, 0.572193604029177, 0.538903758338965];0.532473061212725;0.593126317979814;0.5591;[30.4, 30.4, 30.4, 30.4, 29.6, 29.6, 30.4, 28.8, 27.2];27.2;30.4;29.6889;[62.4, 64, 64, 64, 62.4, 62.4, 68.8, 62.4, 60.8];60.8;68.8;63.4667;6.6891000024043;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.92289999197237;"1";1;32939;32939;32939;32939;32939.0000;84323.84;84323.84;84323.84;84323.84;84323.8400;-4.87457348086779;-4.87457348086779;-4.87457348086779;-4.8746;5.6;5.6;5.6;5.6000;3001.11721667324;-2138.55624032302;-279.292487380119;12.2832999913953;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;111.733199999435;"1";1;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;15.1789327688082;15.1789327688082;15.1789327688082;15.1789;156.16;156.16;156.16;156.1600;156.16;13.3461999939755
