;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14450847;HE_8_2_C_77;1;1293.92885557788;1860.74335430797;0.254193897528122;0.996392286887783;34.4683000002988;"77";1;38.165953414005;38.165953414005;38.165953414005;38.1660;38.165953414005;38.165953414005;38.165953414005;38.1660;977.92;977.92;977.92;977.9200;977.92;31.0680000111461;"77";4;0;0;0;0.0000;38.165953414005;38.165953414005;38.165953414005;38.1660;[38.165953414005, 12.1852369693823, 12.1852369693823, 15.1789327688082];12.1852369693823;38.165953414005;19.4288;[977.92, 92.16, 92.16, 122.88];92.16;977.92;321.2800;1285.12;210.742700000992;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;117.143900017254;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.91000001016073
HRH14450847;HE_9_1_C_78;1;0;0;0;0;75.1516999735031;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;14.7810000053141;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.9660999933258;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.8973999957088;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.71680001262575
HRH14450847;HE_11_1_C;1;1288.84550197697;1891.29382316985;0.81325151174641;0.996617300992284;67.1461000165436;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;35.0646000006236;"77";11;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 12.1852369693823, 29.4156420973604, 12.1852369693823, 19.3328735577513, 12.1852369693823, 19.3328735577513, 11.3137084989848, 12.1852369693823, 16.4730082255792, 29.7617203803812];11.3137084989848;29.7617203803812;16.8804;[71.68, 81.92, 276.48, 92.16, 215.04, 102.4, 133.12, 71.68, 71.68, 143.36, 337.92];71.68;337.92;145.2218;1597.44;123.28869997873;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;156.786100007594;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.48530001146719
HRH14450847;HE_17_5_C;1;1320.99965869137;1900.57937469985;0.578547798993765;0.994663327336923;39.120900008129;"1";1;0;0;0;0.0000;28.8444102037119;28.8444102037119;28.8444102037119;28.8444;465.92;465.92;465.92;465.9200;465.92;15.7466999953613;"77";8;0;0;0;0.0000;0;0;0;0.0000;[28.8444102037119, 12.1852369693823, 12.1852369693823, 13.7637204272682, 9.32952303175248, 11.3137084989848, 12.1852369693823, 11.3137084989848];9.32952303175248;28.8444102037119;13.8901;[465.92, 92.16, 71.68, 102.4, 61.44, 61.44, 81.92, 81.92];61.44;465.92;127.3600;1018.88;134.165499999654;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;172.046799998498;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.73450001259334
HRH14450847;HE_1_9_C_78;1;0;0;0;0;21.1432999931276;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.1158999896143;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.734900017269;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;26.898500014795;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.87850001081824
HRH14450847;HE_1_10_C_77;1;1301.55303429626;1917.0660816408;0.405359296639706;0.994404303267686;29.3932000058703;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;29.1194000164978;"77";4;47.7325884485642;47.7325884485642;47.7325884485642;47.7326;0;0;0;0.0000;[9.32952303175248, 16.4730082255792, 11.3137084989848, 47.7325884485642];9.32952303175248;47.7325884485642;21.2122;[51.2, 143.36, 81.92, 1003.52];51.2;1003.52;320.0000;1280;174.731299979612;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;153.602599981241;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.48009997489862
HRH14450847;HE_3_10_C_77;1;1281.30653457907;1911.49141418153;0.597554172473646;0.991002523455165;25.3677000000607;"77";1;83.843664042073;83.843664042073;83.843664042073;83.8437;83.843664042073;83.843664042073;83.843664042073;83.8437;1041.92;1041.92;1041.92;1041.9200;1041.92;23.7878999905661;"77";1;0;0;0;0.0000;83.843664042073;83.843664042073;83.843664042073;83.8437;83.843664042073;83.843664042073;83.843664042073;83.8437;1041.92;1041.92;1041.92;1041.9200;1041.92;150.173900008667;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;61.1352999985684;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.05640000826679
HRH14450847;HE_18_9_C_78;1;0;0;0;0;43.8758000091184;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;14.5449999836273;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;16.396299994085;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;18.3659000031184;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.30520000332035
HRH14450847;HE_18_14_C_77;1;1328.69623666713;1907.95505285388;0.601970216748032;0.995382693577596;27.2152000106871;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.1832999959588;"77";3;42.2715034035933;42.2715034035933;42.2715034035933;42.2715;0;0;0;0.0000;[9.32952303175248, 9.32952303175248, 42.2715034035933];9.32952303175248;42.2715034035933;20.3102;[61.44, 51.2, 829.44];51.2;829.44;314.0267;942.08;151.088699989486;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;122.705699992366;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;8.68050000281073
HRH14450847;HE_9_16_C_78;1;0;0;0;0;25.2373000257649;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;11.1759999999776;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;19.0626000112388;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;8.69829999282956;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.24570000520907
