;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14450847;HE_2_1_L;"1";1;2983740;2983740;2983740;2983740;2983740.0000;7638374.4;7638374.4;7638374.4;7638374.4;7638374.4000;-1.3136479574844;-1.3136479574844;-1.3136479574844;-1.3136;15.5005999840796;"1";0;1273.29026495946;1876.37246595908;0.455086780393524;4030.12707088483;1987.85325814984;1402.96230911055;1878.29867755458;0.265659165975586;5081.85734592679;3439.19863653077;1338.126287035;1877.33557175683;-1.55594293298665;-207.47527064175;-3.08193855280697;207.498159686082;0.189427614417937;73.716399987461;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.599504800184019, 0.586809307142694, 0.538698761248893, 0.598653878808926, 0.567134133077594, 0.581087679608182, 0.514199078662052, 0.598886759964391, 0.632862085941171];0.514199078662052;0.632862085941171;0.5798;[27.2, 27.2, 27.2, 28.8, 28.8, 28, 24.8, 28, 27.2];24.8;28.8;27.4667;[59.2, 60.8, 59.2, 59.2, 60.8, 59.2, 60.8, 60.8, 62.4];59.2;62.4;60.2667;5.81299999612384;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;5.64700001268648;"1";1;33922;33922;33922;33922;33922.0000;86840.32;86840.32;86840.32;86840.32;86840.3200;-4.82396595095525;-4.82396595095525;-4.82396595095525;-4.8240;5.6;5.6;5.6;5.6000;2867.71860149755;-2190.22524615294;-276.392889504549;14.830100000836;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;75.8648999908473;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;23.035299993353
HRH14450847;HE_2_2_L;"1";1;2985657;2985657;2985657;2985657;2985657.0000;7643281.92;7643281.92;7643281.92;7643281.92;7643281.9200;-1.29462244842694;-1.29462244842694;-1.29462244842694;-1.2946;10.2659999975003;"1";0;1278.61870526458;1864.03286491645;0.481336778235598;4030.17374798372;1987.535200491;1407.66601419363;1868.33216651173;0.283743547893366;5082.79247790869;3434.39767720649;1343.14235972911;1866.18251571409;-1.53749294341083;-206.475694286483;-6.87888255244325;206.590249906077;0.197593230342232;47.7480000117794;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.623610378204032, 0.603010350737871, 0.599734468542687, 0.614558873948547, 0.625048016694643, 0.630956976984928, 0.60328200156025, 0.587767345403371, 0.643728333139041];0.587767345403371;0.643728333139041;0.6146;[28.8, 28.8, 28.8, 28.8, 30.4, 29.6, 28.8, 30.4, 28.8];28.8;30.4;29.2444;[62.4, 60.8, 60.8, 62.4, 64, 62.4, 64, 65.6, 62.4];60.8;65.6;62.7556;7.32639999478124;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.87000000430271;"1";1;35294;35294;35294;35294;35294.0000;90352.64;90352.64;90352.64;90352.64;90352.6400;-5.19729565728479;-5.19729565728479;-5.19729565728479;-5.1973;5.6;5.6;5.6;5.6000;2854.90002833343;-2237.74320847736;-297.783106044089;10.1329999743029;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;96.7637999856379;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.0934999983292
HRH14450847;HE_1_2_L;"1";1;2984687;2984687;2984687;2984687;2984687.0000;7640798.72;7640798.72;7640798.72;7640798.72;7640798.7200;-1.28869169919892;-1.28869169919892;-1.28869169919892;-1.2887;14.5870999840554;"1";0;1257.18602372358;1875.91020780756;0.515622260480098;4029.61422862204;1988.39256760141;1389.39738955687;1876.84521551745;0.298028459663694;5079.11274181991;3434.33759647498;1323.29170664022;1876.37771166251;-1.56372437714364;-211.538185333258;-1.49601233583708;211.543475217263;0.217593800816404;71.1233000038192;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.610423636177446, 0.624431683122148, 0.592527464247714, 0.586251089761262, 0.623135913167469, 0.608380042752646, 0.632470310174693, 0.58030525288336, 0.59927911306615];0.58030525288336;0.632470310174693;0.6064;[25.6, 28.8, 28.8, 29.6, 28, 29.6, 30.4, 27.2, 25.6];25.6;30.4;28.1778;[64, 60.8, 60.8, 59.2, 60.8, 64, 64, 62.4, 62.4];59.2;64;62.0444;10.7604000077117;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.68940000771545;"1";1;34183;34183;34183;34183;34183.0000;87508.48;87508.48;87508.48;87508.48;87508.4800;-5.63521915075101;-5.63521915075101;-5.63521915075101;-5.6352;5.6;5.6;5.6;5.6000;2870.68336892607;-2181.84543193985;-322.874273969329;11.5623000019696;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;124.989700008882;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.8920999995898
HRH14450847;HE_1_1_L;"1";1;2986422;2986422;2986422;2986422;2986422.0000;7645240.32;7645240.32;7645240.32;7645240.32;7645240.3200;-1.32529864109428;-1.32529864109428;-1.32529864109428;-1.3253;7.00549999601208;"1";0;1255.06926081134;1897.45799346386;0.450213028265246;4030.20530545729;1987.99630022584;1388.42893410901;1891.57875971702;0.225928313877063;5082.28249387486;3437.38034161868;1321.74909746018;1894.51837659044;1.52673931012412;-213.375477276261;9.40677399494634;213.582727999865;0.224284714388183;45.1351999945473;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.636646060867539, 0.623955100104573, 0.584631482102584, 0.598322209257889, 0.626007788087833, 0.591272492850492, 0.61018350382198, 0.589368299540596, 0.591066869416934];0.584631482102584;0.636646060867539;0.6057;[30.4, 28.8, 28.8, 29.6, 30.4, 27.2, 26.4, 27.2, 25.6];25.6;30.4;28.2667;[64, 64, 62.4, 64, 62.4, 64, 65.6, 62.4, 62.4];62.4;65.6;63.4667;6.55630000983365;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;4.11909999093041;"1";1;33313;33313;33313;33313;33313.0000;85281.28;85281.28;85281.28;85281.28;85281.2800;-5.32697923092072;-5.32697923092072;-5.32697923092072;-5.3270;4.8;4.8;4.8;4.8000;2890.52835829856;-2156.37321165911;-305.213427485603;13.0148999742232;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;81.8846999900416;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.3386999950744
HRH14450847;HE_3_2_L;"1";1;2980646;2980646;2980646;2980646;2980646.0000;7630453.76;7630453.76;7630453.76;7630453.76;7630453.7600;-1.01679904147764;-1.01679904147764;-1.01679904147764;-1.0168;12.8043000004254;"1";0;1257.71397406043;1871.76234219562;0.763407615018314;4029.61712392551;1987.36431195654;1387.03617044702;1877.37780679646;0.611012319017198;5083.07453128949;3435.81154130585;1322.37507225372;1874.57007449604;-1.52740130694538;-206.915514218534;-8.98474336135441;207.11049137499;0.152395296001116;92.8838000108954;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.601591820592317, 0.611164465816125, 0.578985043728536, 0.623527723399502, 0.656217106504415, 0.598358059696539, 0.605496375253023, 0.641347141807629, 0.650558247752549];0.578985043728536;0.656217106504415;0.6186;[28, 28.8, 28, 28, 28.8, 28, 28.8, 28.8, 28.8];28;28.8;28.4444;[59.2, 60.8, 60.8, 62.4, 62.4, 59.2, 59.2, 62.4, 64];59.2;64;61.1556;9.30269999662414;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.99130000732839;"1";1;34098;34098;34098;34098;34098.0000;87290.88;87290.88;87290.88;87290.88;87290.8800;-4.50625216944053;-4.50625216944053;-4.50625216944053;-4.5063;5.6;5.6;5.6;5.6000;2819.60480966626;-2185.38818699044;-258.189230730613;15.0055999984033;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;226.432100025704;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.7964000077918
HRH14450847;HE_4_2_L;"1";1;2984220;2984220;2984220;2984220;2984220.0000;7639603.2;7639603.2;7639603.2;7639603.2;7639603.2000;-0.975112045435415;-0.975112045435415;-0.975112045435415;-0.9751;10.7376000087243;"1";0;1264.7165234651;1865.99898066102;0.805310838365849;4030.14321974807;1987.45592701473;1397.02318355166;1868.34077146358;0.632931811078858;5082.72956709874;3435.69426556675;1330.86985350838;1867.1698760623;-1.55309845503607;-211.690656138497;-3.7468652841002;211.723812774578;0.172379027286991;92.6240000117105;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.58679291508423, 0.559973726339017, 0.558445681866206, 0.58020108158314, 0.611659349593699, 0.57749001540748, 0.596285846496788, 0.580269661418545, 0.614266230564469];0.558445681866206;0.614266230564469;0.5850;[25.6, 25.6, 26.4, 26.4, 26.4, 26.4, 25.6, 25.6, 25.6];25.6;26.4;25.9556;[64, 59.2, 60.8, 62.4, 62.4, 62.4, 60.8, 65.6, 60.8];59.2;65.6;62.0444;9.38990002032369;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.91519999154843;"1";1;33523;33523;33523;33523;33523.0000;85818.88;85818.88;85818.88;85818.88;85818.8800;-4.7391145279703;-4.7391145279703;-4.7391145279703;-4.7391;5.6;5.6;5.6;5.6000;2861.88061927632;-2166.72250096948;-271.531261081831;22.7175000181887;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;180.384599982062;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.3288000025786
HRH14450847;HE_3_1_L;"1";1;2982223;2982223;2982223;2982223;2982223.0000;7634490.88;7634490.88;7634490.88;7634490.88;7634490.8800;-1.30834900499182;-1.30834900499182;-1.30834900499182;-1.3083;31.0720999841578;"1";0;1256.44468450474;1887.45419578194;0.464575234139124;4030.46021231052;1987.98713026106;1384.71279301305;1890.75607244449;0.28118221271051;5084.45083898502;3439.77069520593;1320.5787387589;1889.10513411322;-1.54506001820603;-205.2289736133;-5.283002660083;205.29695985931;0.183393021428614;39.8139000171795;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.583137258974464, 0.611194437138412, 0.584026045741988, 0.585103284514989, 0.592282737119706, 0.626597849385133, 0.645072521065494, 0.585507977186405, 0.602307022462388];0.583137258974464;0.645072521065494;0.6017;[28, 28.8, 27.2, 28, 27.2, 28.8, 28, 28.8, 27.2];27.2;28.8;28.0000;[59.2, 62.4, 59.2, 59.2, 60.8, 60.8, 62.4, 62.4, 60.8];59.2;62.4;60.8000;15.618799981894;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.19649997982197;"1";1;33824;33824;33824;33824;33824.0000;86589.44;86589.44;86589.44;86589.44;86589.4400;-4.46789721337955;-4.46789721337955;-4.46789721337955;-4.4679;5.6;5.6;5.6;5.6000;2850.33694418165;-2168.31480605487;-255.99165362491;16.918799985433;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;195.818000007421;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;25.5824000050779
HRH14450847;HE_4_1_L;"1";1;2983105;2983105;2983105;2983105;2983105.0000;7636748.8;7636748.8;7636748.8;7636748.8;7636748.8000;-1.37803233633394;-1.37803233633394;-1.37803233633394;-1.3780;44.6548000036273;"1";0;1267.8929915025;1877.1766154817;0.392008615190077;4030.07924239022;1987.86377224357;1399.65344307174;1880.67638002724;0.22782119919353;5084.10119724613;3439.94295836055;1333.77321728712;1878.92649775447;-1.5442410000314;-210.816722510783;-5.59962327285612;210.891076793179;0.164187415996547;53.3460000006016;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.575263781813016, 0.57476667486143, 0.573281298055587, 0.592330048074783, 0.59611693802754, 0.634371004723028, 0.598300160377911, 0.634581959040358, 0.601564691926194];0.573281298055587;0.634581959040358;0.5978;[28, 28, 28, 28, 27.2, 28.8, 28, 28.8, 27.2];27.2;28.8;28.0000;[60.8, 60.8, 57.6, 60.8, 57.6, 60.8, 60.8, 60.8, 60.8];57.6;60.8;60.0889;14.0575999976136;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.86940001044422;"1";1;35311;35311;35311;35311;35311.0000;90396.16;90396.16;90396.16;90396.16;90396.1600;-5.61151192945972;-5.61151192945972;-5.61151192945972;-5.6115;5.6;5.6;5.6;5.6000;2900.28122681317;-2215.39599558211;-321.515950245355;11.2220000009984;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;200.781199993799;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;24.1227000078652
HRH14450847;HE_5_1_L;"1";1;2986257;2986257;2986257;2986257;2986257.0000;7644817.92;7644817.92;7644817.92;7644817.92;7644817.9200;-1.23349691117579;-1.23349691117579;-1.23349691117579;-1.2335;10.7995000144001;"1";0;1246.48399638455;1890.57352146668;0.541147407124737;4030.10329167953;1988.06913001225;1377.25965970744;1892.04612755613;0.349089815665374;5081.19140057912;3437.31808026489;1311.87182804599;1891.3098245114;-1.5595362512227;-209.241061316624;-2.35616974311342;209.254326781469;0.192057591459363;72.5162999879103;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.603004073014993, 0.602618391617605, 0.615550575588176, 0.627756700453709, 0.62644277844968, 0.618379466848816, 0.62101901986854, 0.594412060595698, 0.5817875852194];0.5817875852194;0.627756700453709;0.6101;[28.8, 28.8, 29.6, 30.4, 28.8, 28.8, 28.8, 28.8, 28.8];28.8;30.4;29.0667;[59.2, 60.8, 60.8, 60.8, 64, 60.8, 64, 59.2, 59.2];59.2;64;60.9778;10.6472999905236;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;10.3869999875315;"1";1;33230;33230;33230;33230;33230.0000;85068.8;85068.8;85068.8;85068.8;85068.8000;-4.249013541995;-4.249013541995;-4.249013541995;-4.2490;5.6;5.6;5.6;5.6000;2870.94235329522;-2130.38170328017;-243.450543050246;17.5245999998879;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;126.03549999767;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;46.0618000070099
