;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14450847;HE_2_2_O;1;1301.18787931708;1865.52831461788;0.232672196597171;0.990872039525257;44.0273999993224;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.13750002230518;"1";0;0;"Wire Sweep";[1662, 1621, 1623, 1676, 1612, 1658, 1639, 1633, 1617];1612;1676;1637.8889;[0.667861387889142, 0.735957688855136, 0.756305851473386, 0.763027700814395, 0.754744639765046, 0.696348200187331, 0.724559356673638, 0.703833153501963, 0.750297259039636];0.667861387889142;0.763027700814395;0.7281;[142, 155, 160, 140, 149, 134, 137, 105, 112];105;160;137.1111;[4522, 4534, 4286, 4405, 4328, 4446, 4094, 4384, 4290];4094;4534;4365.4444;[121, 122, 122, 121, 121, 121, 121, 119, 119];119;122;120.7778;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;48.9451999892481;"1";0;0;0.47120000817813;"1";0;0;0.973599991993979;"1";0;0;0.374300027033314;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.395400013076141;"1";0;0;0.647299981210381;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 32, 30.4, 32, 30.4, 28.8, 30.4, 30.4, 30.4];28.8;32;30.7556;6.35310000507161
HRH14450847;HE_1_1_O;1;1295.18552372715;1898.71637615508;0.191027709213424;0.982800949367487;37.0447000022978;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.96829999913462;"1";0;0;"Wire Sweep";[1649, 1613, 1644, 1654, 1657, 1690, 1675, 1650, 1672];1613;1690;1656.0000;[0.71302781077983, 0.779248305475179, 0.755758766794277, 0.73374744117865, 0.744766147657752, 0.670256380581831, 0.72024138795355, 0.743451316043235, 0.763699162153789];0.670256380581831;0.779248305475179;0.7360;[131, 136, 126, 113, 105, 135, 135, 111, 124];105;136;124.0000;[4405, 4247, 4307, 4275, 4096, 4186, 4223, 3985, 4199];3985;4405;4213.6667;[122, 122, 123, 121, 121, 121, 123, 120, 119];119;123;121.3333;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;74.9881999799982;"1";0;0;0.820300017949194;"1";0;0;0.365099986083806;"1";0;0;0.391799985663965;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.414399983128533;"1";0;0;0.482799980090931;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 33.6, 36.8, 33.6, 35.2, 33.6, 32, 32, 30.4];30.4;36.8;33.6000;8.54770001024008
HRH14450847;HE_2_1_O;1;1313.43943174104;1878.28498855468;0.21827655495041;0.990300133255886;43.8449000066612;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.26680000964552;"1";0;0;"Wire Sweep";[1655, 1702, 1671, 1730, 1691, 1766, 1679, 1674, 1680];1655;1766;1694.2222;[0.727427250977439, 0.718890776383302, 0.747887765586259, 0.73241028801728, 0.769852190980499, 0.69384979979134, 0.741862618357952, 0.756089124504583, 0.760082203931894];0.69384979979134;0.769852190980499;0.7387;0;0;0;0.0000;[4596, 4271, 4264, 4340, 4362, 4477, 3001, 3196, 3109];3001;4596;3957.3333;[122, 121, 124, 121, 121, 121, 122, 120, 118];118;124;121.1111;[131, 131, 131, 131, 131, 131, 43, 49, 46];43;131;102.6667;[131, 131, 131, 131, 131, 131, 43, 49, 46];43;131;102.6667;0;0;0;0.0000;0;0;0;0.0000;56.2661000003573;"1";0;0;0.213999999687076;"1";0;0;0.313299999106675;"1";0;0;0.205200019991025;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.353799987351522;"1";0;0;0.209500023629516;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 33.6, 33.6, 33.6, 32, 35.2, 32, 32, 30.4];30.4;35.2;33.0667;8.70220002252609
HRH14450847;HE_1_2_O;1;1280.06220551466;1877.1414107735;0.25113467269234;0.993321160942671;49.9045999895316;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.80679998570122;"1";0;0;"Wire Sweep";[1648, 1640, 1758, 1598, 1627, 1683, 1655, 1646, 1639];1598;1758;1654.8889;[0.745726969930939, 0.76995308957793, 0.739513329916848, 0.801222195252343, 0.767375989853272, 0.7295764597673, 0.737187066427848, 0.716301620243165, 0.777451038248341];0.716301620243165;0.801222195252343;0.7538;[115, 116, 137, 152, 135, 142, 126, 120];115;152;130.3750;[4180, 4436, 4362, 4414, 4218, 4666, 4196, 4068, 5453];4068;5453;4443.6667;[120, 121, 122, 122, 120, 122, 119, 118, 127];118;127;121.2222;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;79.980800015619;"1";0;0;0.210900005185977;"1";0;0;0.432399974670261;"1";0;0;0.478900008602068;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.288400013232604;"1";0;0;0.37640001391992;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 33.6, 30.4, 32, 32, 35.2, 27.2, 28.8, 30.4];27.2;35.2;31.1111;7.13379998342134
HRH14450847;HE_3_1_O;1;1297.8034034244;1887.48308609817;0.216863263325844;0.991604722920087;36.5848000219557;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.03770000836812;"1";0;0;"Wire Sweep";[1729, 1650, 1685, 1652, 1662, 1714, 1724, 1765, 1674];1650;1765;1695.0000;[0.742274718810681, 0.751973567353641, 0.720032994089011, 0.821545118279378, 0.754899338021989, 0.724561047980862, 0.766723946827103, 0.740128134640208, 0.742752862522623];0.720032994089011;0.821545118279378;0.7517;[111, 100];100;111;105.5000;[4338, 4296, 4118, 4285, 4120, 4380, 4120, 4509, 4296];4118;4509;4273.5556;[122, 122, 122, 123, 121, 121, 122, 121, 119];119;123;121.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;81.0741999885067;"1";0;0;0.530299992533401;"1";0;0;0.765300006605685;"1";0;0;0.313800002913922;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.688500003889203;"1";0;0;0.609700015047565;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 33.6, 30.4, 36.8, 33.6, 33.6, 30.4, 32, 30.4];30.4;36.8;32.7111;17.4038000113796
HRH14450847;HE_3_2_O;1;1280.930711419;1871.8272074824;0.501172520699892;0.99253924404826;44.5747000048868;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.01930000912398;"1";0;0;"Wire Sweep";[1687, 1693, 1641, 1711, 1665, 1715, 1690, 1698, 1665];1641;1715;1685.0000;[0.763539112107435, 0.752528916699176, 0.774242614651059, 0.709892467397205, 0.769500416189501, 0.712190613155942, 0.791996337334544, 0.734890797330373, 0.753425668602933];0.709892467397205;0.791996337334544;0.7514;[146, 122, 110, 125, 135, 118, 111, 97];97;146;120.5000;[2752, 2924, 3159, 2994, 3256, 3034, 3070, 2931, 4099];2752;4099;3135.4444;[122, 122, 121, 121, 120, 121, 122, 119, 127];119;127;121.6667;[42, 43, 64, 44, 49, 47, 44, 45, 88];42;88;51.7778;[42, 43, 64, 44, 49, 47, 44, 45, 88];42;88;51.7778;0;0;0;0.0000;0;0;0;0.0000;144.55330002238;"1";0;0;0.955900002736598;"1";0;0;0.592399999732152;"1";0;0;0.562000001082197;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.800999987404794;"1";0;0;0.261400011368096;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 27.2, 28.8, 30.4, 32, 30.4, 28.8, 30.4];27.2;32;29.8667;6.93020000471734
HRH14450847;HE_4_1_O;1;1309.3980410859;1877.59137746782;0.143524440325073;0.991691617104607;67.776000010781;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.14520000736229;"1";0;0;"Wire Sweep";[1773, 1645, 1673, 1771, 1713, 1708, 1703, 1764, 1750];1645;1773;1722.2222;[0.792519662901234, 0.766896228144904, 0.779184797173724, 0.707004503075649, 0.776186425234749, 0.801281673509453, 0.769845215407774, 0.763984765154032, 0.786706418918032];0.707004503075649;0.801281673509453;0.7715;97;97;97;97.0000;[4169, 4228, 4334, 4326, 4393, 4208, 4311, 4367, 4132];4132;4393;4274.2222;[123, 123, 124, 122, 120, 121, 122, 118, 117];117;124;121.1111;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;106.027200003155;"1";0;0;0.346999993780628;"1";0;0;0.211500009754673;"1";0;0;0.698299991199747;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.880300009157509;"1";0;0;0.3065999771934;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 33.6, 32, 35.2, 35.2, 33.6, 36.8, 33.6, 32];32;36.8;34.1333;5.36180002382025
HRH14450847;HE_4_2_O;1;1287.9909661111;1866.21889761962;0.554780668627153;0.993166856747436;52.9481999983545;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;11.3864000013564;"1";0;0;"Wire Sweep";[1587, 1630, 1622, 1631, 1644, 1691, 1658, 1689, 1651];1587;1691;1644.7778;[0.765407225108052, 0.725635661316041, 0.791267328323027, 0.720130032643196, 0.785147775170909, 0.714786085783397, 0.765051038664747, 0.744509802050563, 0.769717475840262];0.714786085783397;0.791267328323027;0.7535;[142, 131, 146, 127, 126, 140, 132, 146, 135];126;146;136.1111;[4448, 4317, 4309, 4337, 4407, 4210, 4311, 4146, 3613];3613;4448;4233.1111;[122, 122, 122, 121, 119, 120, 121, 117, 117];117;122;120.1111;[131, 131, 131, 131, 131, 131, 131, 131, 88];88;131;126.2222;[131, 131, 131, 131, 131, 131, 131, 131, 88];88;131;126.2222;0;0;0;0.0000;0;0;0;0.0000;63.0402000097092;"1";0;0;0.244900002144277;"1";0;0;1.18339998880401;"1";0;0;0.618299993220717;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.296600017463788;"1";0;0;0.320299994200468;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 32, 30.4, 33.6, 33.6, 35.2, 33.6, 28.8, 30.4];28.8;35.2;32.5333;9.32460001786239
HRH14450847;HE_6_1_O;1;1307.84211313131;1882.1869633695;0.136071540188005;0.988877527035584;30.0875999964774;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.07780000427738;"1";0;0;"Wire Sweep";[1675, 1634, 1705, 1676, 1628, 1682, 1706, 1684, 1748];1628;1748;1682.0000;[0.735317127304729, 0.760048767469184, 0.762059545305253, 0.777680138409978, 0.780869534253661, 0.703371524252251, 0.741529840751877, 0.778362788331795, 0.759886771479114];0.703371524252251;0.780869534253661;0.7555;[117, 119];117;119;118.0000;[4205, 4345, 4226, 4146, 4344, 4338, 4211, 4315, 4178];4146;4345;4256.4444;[123, 122, 122, 121, 121, 122, 121, 120, 119];119;123;121.2222;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;101.710899994941;"1";0;0;0.274999998509884;"1";0;0;0.767100020311773;"1";0;0;0.387399981264025;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.956900010351092;"1";0;0;0.243599992245436;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 33.6, 35.2, 33.6, 32, 35.2, 32, 33.6, 30.4];30.4;35.2;32.8889;4.03520002146251
