;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14450847;HE_1_2_C1;1;1282.04005057567;1876.96363175946;0.223946033773994;0.708029815271857;43.9233000215609;"1";0;1409.40272093729;1880.56519661611;0.322587182726918;5.14382415445877;3.47828979527069;37.813200004166;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.1363999848254;["1", "1"];[0, 0];0;0;0;0;65.7531000033487;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;61.7844999942463;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.42780000250787
HRH14450847;HE_1_1_C1;1;1296.87931903777;1896.9729936899;0.173956878094772;0.747051057529177;41.191099997377;"1";0;1426.35799795675;1895.12641710427;0.266831946648384;5.14487618783421;3.48281589207596;32.880800019484;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.67479999153875;["1", "1"];[0, 0];0;0;0;0;67.8278999985196;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;57.5411999889184;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.62969999737106
HRH14450847;HE_2_2_C1;1;1301.88366814717;1864.25288599562;0.264786001785543;0.691533754558719;42.2128999780398;"1";0;1427.17470153272;1869.07738225562;0.297340794211371;5.14218656760887;3.48058596118193;64.0815999940969;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.22789999074303;["1", "1"];[0, 0];0;0;0;0;78.5582999815233;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;27.9886999924202;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.35729999258183
HRH14450847;HE_2_1_C1;1;1315.12418165951;1877.35685173527;0.162566074498711;0.720721722353233;68.2200999872293;"1";0;1441.43824961078;1879.05408914516;0.301045705039502;5.13934288590019;3.48108850473212;82.5170000025537;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.94059999659657;["1", "1"];[0, 0];0;0;0;0;66.5489000093658;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;34.8897999792825;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.90160001511686
HRH14450847;HE_3_1_C1;1;1297.79092589891;1885.164119404;0.187525128415569;0.726626873709421;65.6135000172071;"1";0;1423.40366358418;1886.31222997781;0.276548092256629;5.14191838699299;3.4803718415644;45.0583999918308;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.78560000192374;["1", "1"];[0, 0];0;0;0;0;67.0436999935191;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;22.7399000141304;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.42730000172742
HRH14450847;HE_3_2_C1;1;1281.90911188093;1867.22099508532;0.502176815645812;0.719439263702355;48.4010999789461;"1";0;1407.20883775048;1873.26302522844;0.625425577301946;5.14502649080811;3.48374750882324;50.1304999925196;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.98359998851083;["1", "1"];[0, 0];0;0;0;0;76.1457000044174;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;25.4453000088688;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.15960000059567
HRH14450847;HE_4_1_C1;1;1309.10671224315;1870.95295529829;0.192935499820611;0.718563946216392;23.7867000105325;"1";0;1438.98283482712;1874.40292094252;0.256169483848485;5.14048048867234;3.48204457241089;59.5314000092912;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.57180000073276;["1", "1"];[0, 0];0;0;0;0;36.9514999911189;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.9522000146098;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.73550000181422
HRH14450847;HE_4_2_C1;1;1288.29467094511;1861.06777655332;0.558067589446762;0.724774928236911;44.6651999955066;"1";0;1418.24551045072;1861.77010170552;0.67351647952632;5.14001638516624;3.47915775425924;81.5425000037067;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.54819998797029;["1", "1"];[0, 0];0;0;0;0;39.9403999908827;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.7905000164174;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.88729999354109
HRH14450847;HE_6_1_C1;1;1309.43048883784;1882.73292980136;0.169704816751304;0.729614911337137;31.6498999891337;"1";0;1439.80221908349;1883.76354317608;0.16722114928448;5.14418685693801;3.48535135651895;67.0427000150084;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.0166999862995;["1", "1"];[0, 0];0;0;0;0;40.3125000011642;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.89190000901;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.38989998656325
