;;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time
HRH14450847;HE_1_2_L1;"1";1;6845352;6845352;6845352;6845352;6845352.0000;17.52410112;17.52410112;17.52410112;17.52410112;17.5241;0.273894705865905;0.273894705865905;0.273894705865905;0.2739;3.00701169587773;-2.25608164091489;15.6930106770934;"1";0;533.905273389446;2284.08650891526;0.314666910923082;1.84885441472742;0.107585368396262;3.65453841426442;-0.854248437423114;18.0290859483116;20.3828000230715;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.870350716978561, 0.939273167226718, 0.902024894737869, 0.868053668699264, 0.902872172104015, 0.877992617373079, 0.853723923836788, 0.818402696702533, 0.878064072623826];0.818402696702533;0.939273167226718;0.8790;[28, 27.2, 26.4, 26.4, 27.2, 27.2, 27.2, 27.2, 26.4];26.4;28;27.0222;4.02230001054704;"1";16;3706;[278, 148, 320, 175, 308, 146, 321, 151, 346, 159, 293, 181, 241, 183, 258, 198];146;346;231.6250;9487.36;[711.68, 378.88, 819.2, 448, 788.48, 373.76, 821.76, 386.56, 885.76, 407.04, 750.08, 463.36, 616.96, 468.48, 660.48, 506.88];373.76;885.76;592.9600;[-90, 89.9940687453504, -11.9167903245905, 85.4161902491392, 6.25749000285992, -87.3162389624189, 16.5551277719673, -83.7631425954282, -0.624206354723259, -83.8428328471835, 26.7722389784091, -89.2661490150265, -80.8560064361995, -85.4030971062543, -63.4453794928988, 80.3138008806248];-90;89.9940687453504;-23.1953;3.82379998336546;"1";9;11560;[1302, 1281, 1261, 1266, 1300, 1276, 1295, 1250, 1329];1250;1329;1284.4444;0.0295936;[0.00333312, 0.00327936, 0.00322816, 0.00324096, 0.003328, 0.00326656, 0.0033152, 0.0032, 0.00340224];0.0032;0.00340224;0.0033;[35.0162174037561, 82.5838163291257, 74.9331231807339, 31.5472035312181, -86.1500346514412, 81.6649081631995, -5.29892740978028, -20.3723456180975, 7.51410061446353];-86.1500346514412;82.5838163291257;22.3820;3.09139999444596;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.29859997914173
HRH14450847;HE_2_1_L1;"1";1;6847805;6847805;6847805;6847805;6847805.0000;17.5303808;17.5303808;17.5303808;17.5303808;17.5304;0.270230096641292;0.270230096641292;0.270230096641292;0.2702;3.00917525052188;-2.30705786043849;15.4830440349584;"1";0;568.766567291156;2287.47480665102;0.292833709946649;1.84971984425209;0.106837283853562;3.65995969064164;-0.91002650766585;16.7781356791011;20.5478999996558;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.793323259759624, 0.879142018183111, 0.895235190285102, 0.857320172521112, 0.901973261235647, 0.749409658963724, 0.817832128207277, 0.82138733162098, 0.810238964817201];0.749409658963724;0.901973261235647;0.8362;[24.8, 24.8, 24.8, 25.6, 27.2, 22.4, 23.2, 25.6, 25.6];22.4;27.2;24.8889;3.96309999632649;"1";17;4195;[359, 153, 368, 200, 326, 154, 397, 152, 28, 331, 179, 352, 193, 303, 211, 248, 241];28;397;246.7647;10739.2;[919.04, 391.68, 942.08, 512, 834.56, 394.24, 1016.32, 389.12, 71.68, 847.36, 458.24, 901.12, 494.08, 775.68, 540.16, 634.88, 616.96];71.68;1016.32;631.7176;[-18.5458039446148, 85.6494746779878, -9.35787361991153, 82.2789810030057, -17.1702155346131, 84.6882617610002, 2.2019434760911, -88.1887403105389, 88.1221114808423, 11.9317138594509, -89.9630228840506, -2.48258381838509, 82.1152997066417, -8.8780397906555, 87.1297290174782, -70.9442016880488, 69.335393724554];-89.9630228840506;88.1221114808423;16.9366;4.5486000017263;"1";9;11098;[1273, 1238, 1238, 1212, 1255, 1212, 1185, 1236, 1249];1185;1273;1233.1111;0.02841088;[0.00325888, 0.00316928, 0.00316928, 0.00310272, 0.0032128, 0.00310272, 0.0030336, 0.00316416, 0.00319744];0.0030336;0.00325888;0.0032;[67.7756777641056, -47.6836127754241, -66.0575774846989, 23.9969684132534, -38.3786676094923, 23.2804517886972, 17.9500181457301, -36.8228916506478, 1.72374618826606];-66.0575774846989;67.7756777641056;-6.0240;4.23740001861006;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.0801000141073
HRH14450847;HE_2_2_L1;"1";1;6848640;6848640;6848640;6848640;6848640.0000;17.5325184;17.5325184;17.5325184;17.5325184;17.5325;0.28856524603303;0.28856524603303;0.28856524603303;0.2886;2.99348946103168;-2.28471599336511;16.5335707118468;"1";0;551.819980005063;2276.45540472139;0.319591219987343;1.85018834265466;0.107713438750463;3.64232864755423;-0.8829119680081;18.3112280747118;30.2137000253424;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.773496462390932, 0.872879580542515, 0.872819442246382, 0.922648775499371, 0.810791105228535, 0.90503471011046, 0.795959629343936, 0.798418386408777, 0.677967320250237];0.677967320250237;0.922648775499371;0.8256;[21.6, 26.4, 27.2, 28, 23.2, 25.6, 22.4, 20.8, 20.8];20.8;28;24.0000;5.13089998275973;"1";17;3851;[348, 126, 364, 151, 307, 133, 362, 154, 30, 310, 181, 286, 180, 272, 215, 237, 195];30;364;226.5294;9858.56;[890.88, 322.56, 931.84, 386.56, 785.92, 340.48, 926.72, 394.24, 76.8, 793.6, 463.36, 732.16, 460.8, 696.32, 550.4, 606.72, 499.2];76.8;931.84;579.9153;[-15.4048979718063, 87.6958171876194, -0.677939963131991, -89.5977598085973, -21.6578304879161, -86.7882083821862, 0.874869471818363, -83.245636522523, 88.8208693676317, 27.3490494774787, -88.7357020466466, 63.4554206227927, -81.8458000695381, 72.1625274947676, -87.3596248254371, 78.9736427947772, 85.4561593964439];-89.5977598085973;88.8208693676317;-2.9721;2.01840000227094;"1";9;11184;[1263, 1259, 1233, 1241, 1264, 1231, 1211, 1206, 1276];1206;1276;1242.6667;0.02863104;[0.00323328, 0.00322304, 0.00315648, 0.00317696, 0.00323584, 0.00315136, 0.00310016, 0.00308736, 0.00326656];0.00308736;0.00326656;0.0032;[32.1656477526318, 74.2693000205452, -33.8661984997695, -82.3617845288853, -12.1973081318011, -82.4914014820573, 22.8779748714087, -63.7489816173862, -40.914576089463];-82.4914014820573;74.2693000205452;-20.6964;3.26710002264008;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.44659999245778
HRH14450847;HE_1_1_L1;"1";1;6853641;6853641;6853641;6853641;6853641.0000;17.54532096;17.54532096;17.54532096;17.54532096;17.5453;0.237181209066105;0.237181209066105;0.237181209066105;0.2372;3.03119883472157;-2.28358402968583;13.5894822592979;"1";0;554.293871871127;2301.44416143337;0.253584212351968;1.8502686009182;0.107138848183218;3.6823106582934;-0.886870194993803;14.529305118917;24.2461000161711;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.83805644028259, 0.893283012155178, 0.860886058380829, 0.877512635485544, 0.844329165238317, 0.871033801177748, 0.882512499105737, 0.879743332172237, 0.876216572165638];0.83805644028259;0.893283012155178;0.8693;[26.4, 27.2, 26.4, 28, 25.6, 26.4, 27.2, 26.4, 25.6];25.6;28;26.5778;4.61459998041391;"1";16;3796;[263, 176, 307, 201, 302, 159, 308, 167, 332, 184, 307, 192, 247, 181, 265, 205];159;332;237.2500;9717.76;[673.28, 450.56, 785.92, 514.56, 773.12, 407.04, 788.48, 427.52, 849.92, 471.04, 785.92, 491.52, 632.32, 463.36, 678.4, 524.8];407.04;849.92;607.3600;[-86.101778816065, 86.4396966430529, 6.31749905054019, 89.5764420210425, -14.9416568634227, -90, -30.2912260049066, -89.0749520127128, 3.9601440992579, 82.706562927192, -29.9047150215, -86.9415925954322, -86.6318170606825, 87.3561766445399, 64.4940668116395, 79.5236603758956];-90;89.5764420210425;-0.8446;23.9478999865241;"1";9;11628;[1308, 1281, 1289, 1290, 1282, 1247, 1307, 1296, 1328];1247;1328;1292.0000;0.02976768;[0.00334848, 0.00327936, 0.00329984, 0.0033024, 0.00328192, 0.00319232, 0.00334592, 0.00331776, 0.00339968];0.00319232;0.00339968;0.0033;[66.1189003609309, 82.0691697686543, -47.843444258518, -38.9265650213684, -29.7108579050713, 30.8814270218836, -50.4560131636201, -82.2283971106215, -64.9597380831151];-82.2283971106215;82.0691697686543;-15.0062;20.3418000019155;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.80079999356531
HRH14450847;HE_3_2_L1;"1";1;6844960;6844960;6844960;6844960;6844960.0000;17.5230976;17.5230976;17.5230976;17.5230976;17.5231;0.582192007345733;0.582192007345733;0.582192007345733;0.5822;2.9982223141114;-2.24959590472406;33.3571448871599;"1";0;527.418731031449;2274.81903508499;0.603091452977393;1.84989898013593;0.108036042239064;3.63971045613598;-0.843869969650318;34.5545949160172;24.9822000041604;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.88340692600299, 0.899206602907801, 0.899466542305889, 0.837401872048699, 0.899826781047112, 0.902615177054189, 0.944759091216645, 0.875273885289949, 0.852253217590153];0.837401872048699;0.944759091216645;0.8882;[27.2, 24.8, 24.8, 24.8, 25.6, 25.6, 27.2, 26.4, 24];24;27.2;25.6000;3.59119998756796;"1";16;3900;[305, 166, 318, 221, 307, 182, 315, 173, 318, 181, 283, 197, 248, 232, 228, 226];166;318;243.7500;9984;[780.8, 424.96, 814.08, 565.76, 785.92, 465.92, 806.4, 442.88, 814.08, 463.36, 724.48, 504.32, 634.88, 593.92, 583.68, 578.56];424.96;814.08;624.0000;[-26.6506164669565, 88.8231761650583, 0.917119673197038, 88.041775627083, 18.1756956013899, -78.5192207862379, 4.07708788641114, -88.9030575445524, 4.59139068058472, 83.9778135825022, 57.3500420530132, 88.9183832675506, -66.856397436985, -87.9445391210759, -82.6395758491242, 71.8055658770291];-88.9030575445524;88.9183832675506;4.6978;2.81639999593608;"1";9;11391;[1307, 1224, 1236, 1249, 1293, 1274, 1264, 1252, 1292];1224;1307;1265.6667;0.02916096;[0.00334592, 0.00313344, 0.00316416, 0.00319744, 0.00331008, 0.00326144, 0.00323584, 0.00320512, 0.00330752];0.00313344;0.00334592;0.0032;[10.0251286910854, -10.5343180402617, 63.6308461893876, -59.0311220944434, -75.2799281802066, 48.4718806444984, 78.867626315047, 74.7891889753804, 41.5162381939761];-75.2799281802066;78.867626315047;19.1617;3.02940001711249;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.53340002382174
HRH14450847;HE_3_1_L1;"1";1;6850469;6850469;6850469;6850469;6850469.0000;17.53720064;17.53720064;17.53720064;17.53720064;17.5372;0.291362893930989;0.291362893930989;0.291362893930989;0.2914;3.02049132484214;-2.27547194704479;16.6938641289635;"1";0;549.465557019249;2294.39605034287;0.305022779858209;1.84575624788707;0.106364581855176;3.6710336805486;-0.879144891230798;17.4765179412234;23.6412000085693;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.877017671273237, 0.899398311847026, 0.933106942561779, 0.869205805659123, 0.824310414797729, 0.851478409158901, 0.916819134388455, 0.922497981716038, 0.831731465260743];0.824310414797729;0.933106942561779;0.8806;[25.6, 24, 25.6, 25.6, 24.8, 25.6, 26.4, 27.2, 25.6];24;27.2;25.6000;3.5681999870576;"1";16;4005;[307, 198, 294, 232, 300, 182, 316, 199, 333, 176, 302, 191, 284, 238, 218, 235];176;333;250.3125;10252.8;[785.92, 506.88, 752.64, 593.92, 768, 465.92, 808.96, 509.44, 852.48, 450.56, 773.12, 488.96, 727.04, 609.28, 558.08, 601.6];450.56;852.48;640.8000;[-22.8656160704407, 84.3554920708237, -25.5569778505256, 74.6431843049096, -27.8587403311344, -85.2359441959838, -10.1161678750724, -71.5894313271658, 2.76450059421501, -88.1606566604731, 27.3159762871634, 84.3856292658793, -41.0396694016934, 87.8209087119775, -82.7570357936161, 78.0739539112619];-88.1606566604731;87.8209087119775;-0.9888;8.15879998845048;"1";9;11500;[1294, 1272, 1252, 1285, 1290, 1254, 1279, 1279, 1295];1252;1295;1277.7778;0.02944;[0.00331264, 0.00325632, 0.00320512, 0.0032896, 0.0033024, 0.00321024, 0.00327424, 0.00327424, 0.0033152];0.00320512;0.0033152;0.0033;[76.8797058519136, -2.65299177208951, 75.3165478512629, 12.4489586768191, -75.9643309168671, -48.8381422805992, 88.0410131723405, 69.8169930260297, 8.44189334501783];-75.9643309168671;88.0410131723405;22.6100;3.0067999905441;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.40930001018569
HRH14450847;HE_4_1_L1;"1";1;6849175;6849175;6849175;6849175;6849175.0000;17.533888;17.533888;17.533888;17.533888;17.5339;0.22582183444904;0.22582183444904;0.22582183444904;0.2258;3.00312549245712;-2.29953209815781;12.938638035832;"1";0;562.857122843051;2282.64983520652;0.259351091140334;1.84913170784751;0.108202308963516;3.65223973633043;-0.900571396548881;14.8597229344539;17.3496000061277;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.757047520734427, 0.741350927054827, 0.855235913279901, 0.770823967280617, 0.753741914581842, 0.765936205081716, 0.827245381718852, 0.768406749556165, 0.770576707993785];0.741350927054827;0.855235913279901;0.7789;[22.4, 23.2, 24, 23.2, 23.2, 21.6, 24.8, 23.2, 24];21.6;24.8;23.2889;9.4608000072185;"1";16;4348;[364, 187, 410, 211, 362, 157, 391, 149, 389, 183, 375, 168, 323, 219, 243, 217];149;410;271.7500;11130.88;[931.84, 478.72, 1049.6, 540.16, 926.72, 401.92, 1000.96, 381.44, 995.84, 468.48, 960, 430.08, 826.88, 560.64, 622.08, 555.52];381.44;1049.6;695.6800;[0.640757832505326, 79.2719515179124, -1.58982486768772, 89.0890788178015, -9.23084244097896, -89.1870134715478, 7.02481092416071, -87.5077926085348, -4.7900415087286, 88.375895389641, -5.2759151043977, 77.6106307502948, 3.43700661091117, 75.8874588483499, -79.6047071231436, 76.8932942402729];-89.1870134715478;89.0890788178015;13.8153;3.72940002125688;"1";9;10896;[1233, 1190, 1204, 1212, 1202, 1148, 1235, 1219, 1253];1148;1253;1210.6667;0.02789376;[0.00315648, 0.0030464, 0.00308224, 0.00310272, 0.00307712, 0.00293888, 0.0031616, 0.00312064, 0.00320768];0.00293888;0.00320768;0.0031;[15.2376832798658, 33.9531122343753, -18.4286592521929, 1.53326101691408, 13.1963238602727, 26.0950701516348, 9.16867707987083, 16.1054928554167, 5.74973746293407];-18.4286592521929;33.9531122343753;11.4012;11.2331999989692;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.37379998806864
HRH14450847;HE_4_2_L1;"1";1;6842203;6842203;6842203;6842203;6842203.0000;17.51603968;17.51603968;17.51603968;17.51603968;17.5160;0.650111005107768;0.650111005107768;0.650111005107768;0.6501;2.98357621719204;-2.26603478955535;37.248616807683;"1";0;537.415167195895;2264.42244248005;0.639728895786755;1.85014777942983;0.108533539154067;3.62307590796808;-0.859864267513432;36.6537657611455;15.7509999989998;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.782824746689258, 0.774548824442683, 0.884882991792383, 0.894620197878321, 0.948970340435845, 0.861909364079434, 0.845817249186595, 0.895234950377768, 0.775490113460835];0.774548824442683;0.948970340435845;0.8516;[23.2, 23.2, 24.8, 24.8, 28, 27.2, 22.4, 26.4, 25.6];22.4;28;25.0667;5.99470001179725;"1";16;4143;[312, 158, 388, 186, 352, 150, 363, 158, 383, 178, 318, 190, 296, 219, 279, 213];150;388;258.9375;10606.08;[798.72, 404.48, 993.28, 476.16, 901.12, 384, 929.28, 404.48, 980.48, 455.68, 814.08, 486.4, 757.76, 560.64, 714.24, 545.28];384;993.28;662.8800;[-12.0595692018788, 81.357672553059, 0.802360644310476, -87.4155586662399, -14.2271571519072, 83.4182227982291, 0.497871963441479, -85.453461973426, -3.820122597501, -81.4354522424977, -5.92673653204125, 84.2829334669336, -12.7454259658838, -82.6435504216195, -46.4793754939548, 81.1826328779061];-87.4155586662399;84.2829334669336;-6.2915;3.10400000307709;"1";9;11136;[1278, 1217, 1253, 1222, 1245, 1219, 1211, 1220, 1271];1211;1278;1237.3333;0.02850816;[0.00327168, 0.00311552, 0.00320768, 0.00312832, 0.0031872, 0.00312064, 0.00310016, 0.0031232, 0.00325376];0.00310016;0.00327168;0.0032;[57.6110432106377, 28.7631503742372, -16.7793287004118, -2.55456777008133, -22.6452404566878, -7.74574488460035, 27.718850515435, 47.9128721668431, 32.7865561007024];-22.6452404566878;57.6110432106377;16.1186;3.23200001730584;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.52909998805262
HRH14450847;HE_6_1_L1;"1";1;6852883;6852883;6852883;6852883;6852883.0000;17.54338048;17.54338048;17.54338048;17.54338048;17.5434;0.111327787810837;0.111327787810837;0.111327787810837;0.1113;3.00981079968825;-2.30023084835973;6.37861238408894;"1";0;562.689537669319;2288.40327692407;0.149961800635739;1.85116640103936;0.10782902060218;3.66144524307851;-0.90030326027091;8.59217826461013;10.9938000096008;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.759688498049759, 0.752688385008342, 0.704781178046102, 0.823177977706605, 0.801942763388984, 0.892481203605464, 0.837361012441237, 0.852116215885897, 0.84273029080235];0.704781178046102;0.892481203605464;0.8074;[24.8, 20.8, 20.8, 24.8, 24, 25.6, 24, 26.4, 24.8];20.8;26.4;24.0000;3.714000020409;"1";16;3967;[328, 133, 311, 179, 369, 139, 379, 132, 392, 158, 304, 187, 312, 198, 242, 204];132;392;247.9375;10155.52;[839.68, 340.48, 796.16, 458.24, 944.64, 355.84, 970.24, 337.92, 1003.52, 404.48, 778.24, 478.72, 798.72, 506.88, 619.52, 522.24];337.92;1003.52;634.7200;[-17.9338532192508, 83.7969663636917, -20.3279458361969, 79.7926776904229, -14.9571636896069, 89.6808971653044, -6.74614987518072, -86.2715188965545, -5.24001256939311, -85.5668009852353, 9.88503997222824, 87.5670620930368, -22.9698143662878, -89.7748568089849, -80.0899128722264, 81.4822054562122];-89.7748568089849;89.6808971653044;0.1454;1.95549998898059;"1";9;11038;[1235, 1215, 1205, 1232, 1211, 1230, 1235, 1229, 1246];1205;1246;1226.4444;0.02825728;[0.0031616, 0.0031104, 0.0030848, 0.00315392, 0.00310016, 0.0031488, 0.0031616, 0.00314624, 0.00318976];0.0030848;0.00318976;0.0031;[-1.44689607471769, 12.3362894040162, 66.8076659988599, 3.69510429420771, 0.33666154032204, -24.2375038163895, 2.07578509229201, -23.9050637367804, 0.0490189354319005];-24.2375038163895;66.8076659988599;3.9679;2.90770002175122;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.45440001203679
