;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius;8. inner_radius (min);8. inner_radius (max);8. inner_radius (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14440978;HE_6_1_C_77;1;1309.35732417401;1881.48965296566;-0.0335616830427368;0.99472723473707;15.1837000012165;"1";1;0;0;0;0.0000;20.8614476966485;20.8614476966485;20.8614476966485;20.8614;289.28;289.28;289.28;289.2800;289.28;14.2003000073601;"77";5;0;0;0;0.0000;0;0;0;0.0000;[20.8614476966485, 12.1852369693823, 13.7637204272682, 32.3975307701065, 12.1852369693823];12.1852369693823;32.3975307701065;18.2786;[289.28, 71.68, 122.88, 737.28, 92.16];71.68;737.28;262.6560;1313.28;125.222999995458;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;119.128499994986;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.80559999716934
HRH14440978;HE_9_1_C_78;1;0;0;0;0;11.0272000019904;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;8.94519999565091;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;25.32169999904;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;37.7198999922257;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.5758000081405
HRH14440978;HE_17_1_C_77;1;1308.90903310398;1887.05030778682;0.210147207614657;0.993630168580921;15.0273000035668;"77";1;40.4771540501553;40.4771540501553;40.4771540501553;40.4772;40.4771540501553;40.4771540501553;40.4771540501553;40.4772;913.92;913.92;913.92;913.9200;913.92;24.8184000083711;"77";1;0;0;0;0.0000;40.4771540501553;40.4771540501553;40.4771540501553;40.4772;40.4771540501553;40.4771540501553;40.4771540501553;40.4772;913.92;913.92;913.92;913.9200;913.92;97.2166999999899;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;102.44160000002;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.40440001268871
HRH14440978;HE_2_5_C;1;1338.30058162542;1906.71218775872;-0.336621073365034;0.99203013356049;12.1962999983225;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;17.4407000013161;"77";6;37.1117232151782;37.1117232151782;37.1117232151782;37.1117;0;0;0;0.0000;[16.4730082255792, 16.4730082255792, 37.1117232151782, 9.32952303175248, 13.7637204272682, 11.3137084989848];9.32952303175248;37.1117232151782;17.4108;[174.08, 122.88, 256, 51.2, 102.4, 71.68];51.2;256;129.7067;778.24;150.847600001725;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;70.6180000124732;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.43639999441803
HRH14440978;HE_14_5_C_77;1;1327.66696054215;1899.09032931791;-0.0628070449366802;0.994936712619676;15.4496999894036;"77";1;67.0092530923902;67.0092530923902;67.0092530923902;67.0093;67.0092530923902;67.0092530923902;67.0092530923902;67.0093;1423.36;1423.36;1423.36;1423.3600;1423.36;27.1998000098392;"77";4;0;0;0;0.0000;67.0092530923902;67.0092530923902;67.0092530923902;67.0093;[67.0092530923902, 9.32952303175248, 9.32952303175248, 13.7637204272682];9.32952303175248;67.0092530923902;24.8580;[1423.36, 61.44, 51.2, 81.92];51.2;1423.36;404.4800;1617.92;148.000499990303;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;63.1404999876395;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.0002000053646
HRH14440978;HE_18_5_C_77;1;1339.59423302294;1894.72613510806;-0.0584280616987759;0.995683104053057;12.7452999877278;"1";4;0;0;0;0.0000;[12.4963994814506, 10.733126291999, 20.2385770250776, 12.8996123972777];10.733126291999;20.2385770250776;14.0919;[99.84, 84.48, 197.12, 89.6];84.48;197.12;117.7600;471.04;16.2942999886582;"77";10;0;0;0;0.0000;0;0;0;0.0000;[12.4963994814506, 10.733126291999, 20.2385770250776, 12.8996123972777, 19.3328735577513, 13.7637204272682, 9.32952303175248, 9.32952303175248, 11.3137084989848, 9.32952303175248];9.32952303175248;20.2385770250776;12.8767;[99.84, 84.48, 197.12, 89.6, 235.52, 122.88, 61.44, 61.44, 81.92, 51.2];51.2;235.52;108.5440;1085.44;74.1333000041777;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;160.878200011211;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.08440000622068
HRH14440978;HE_1_9_C_78;1;0;0;0;0;11.5783999935957;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.2749000070617;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;12.919700006023;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;30.9085999906529;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.41189999703784
HRH14440978;HE_6_9_C_77;1;1313.83792895445;1916.91089372371;-0.0597935623835437;0.993970398784768;17.9034000029787;"77";1;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;683.52;683.52;683.52;683.5200;683.52;14.8746000049869;"77";2;0;0;0;0.0000;36.5206790736426;36.5206790736426;36.5206790736426;36.5207;[36.5206790736426, 18.2428068015862];18.2428068015862;36.5206790736426;27.3817;[683.52, 112.64];112.64;683.52;398.0800;796.16;111.85960000148;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;134.258499994758;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.33529999968596
HRH14440978;HE_14_9_C;1;1323.86639401243;1906.68213254469;0.162301809843267;0.994527222199736;21.752499989816;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;31.0023999918485;"77";2;49.8317168076718;49.8317168076718;49.8317168076718;49.8317;0;0;0;0.0000;[49.8317168076718, 12.1852369693823];12.1852369693823;49.8317168076718;31.0085;[389.12, 102.4];102.4;389.12;245.7600;491.52;85.389199986821;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;81.5607000113232;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.14469999971334
