;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14440978;HE_9_1_C1_78;1;1891.87320619581;2248.75655780592;-0.152527477391235;0.704738893956232;26.1198000080185;"78";1;0;0;0;0;0;25.7981000031577;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.49309999344405;["68", "1"];[1, 0];66.4;0;0;0;34.7162999969441;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;24.5394000085071;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.881600004504435
HRH14440978;HE_1_9_C1_78;1;1887.26060002253;2279.61135742756;-0.272069419503934;0.621438021177681;33.9757000037935;"78";1;0;0;0;0;0;35.0618999946164;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.91130000248086;["1", "1"];[0, 0];0;0;0;0;52.718899998581;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.1020999995526;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.33739999728277
HRH14440978;HE_18_9_C1_78;1;1931.79419890409;2250.65157903701;0.0115718590676746;0.693790287149909;41.4677000080701;"78";1;0;0;0;0;0;29.8094999889145;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.99700000707526;["68", "1"];[1, 0];61.6;0;0;0;35.721200008993;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;20.4087000020081;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.872499993420206
HRH14440978;HE_11_11_C1_81;1;1305.94566840181;1931.1705532097;-0.433892022500735;0.784729591839863;36.3973999919835;"1";0;1432.87062498142;1937.71031524465;0.0448894305128626;5.13456061295693;3.46957592355643;47.4679000035394;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.02669998968486;["1", "1"];[0, 0];0;0;0;0;48.1712000037078;"81";1;426.878807106599;426.878807106599;426.878807106599;426.8788;3315.22271573604;3315.22271573604;3315.22271573604;3315.2227;2521.6;2521.6;2521.6;2521.6000;260.932;260.932;260.932;260.9320;[];;;0.0000;[];;;0.0000;16.8678000045475;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.78970000706613
HRH14440978;HE_12_15_C1_81;1;1333.64310638029;1929.86399228308;-0.17485270227521;0.786008317653938;25.3291000117315;"1";0;1460.109248819;1935.73254667523;0.219059651200613;5.13441552716472;3.47240965080029;27.0832999958657;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.40810001257341;["1", "1"];[0, 0];0;0;0;0;36.6376000019955;"81";1;2057.36757269279;2057.36757269279;2057.36757269279;2057.3676;461.410556257901;461.410556257901;461.410556257901;461.4106;5062.4;5062.4;5062.4;5062.4000;375.267;375.267;375.267;375.2670;[];;;0.0000;[];;;0.0000;29.9932999914745;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.9968999986304
HRH14440978;HE_11_15_C1_81;1;1315.29229035775;1943.0684581948;-0.53552774862503;0.79532312073141;38.0428999924334;"1";0;1440.66101952049;1949.29297472934;-0.0213877588731205;5.13349833838075;3.47322387958367;35.4495000065072;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.86959999438841;["1", "1"];[0, 0];0;0;0;0;55.4027000034694;"81";6;[1844.08669950739, 2355.04891815616, 2368.10584250635, 2419.70274196477, 2400.90770901194, 2437.72140430351];1844.08669950739;2437.72140430351;2304.2622;[3361.54482758621, 816.346190028222, 1381.92082980525, 2736.81677864536, 1809.12812160695, 2058.80973952435];816.346190028222;3361.54482758621;2027.4277;[1624, 3401.6, 7558.4, 8811.2, 1473.6, 2825.6];1473.6;8811.2;4282.4000;[289.087, 533.091, 1161.201, 961.941, 222.883, 493.975];222.883;1161.201;610.3630;[];;;0.0000;[];;;0.0000;21.0024000116391;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.40900000790134
HRH14440978;HE_9_16_C1_78;1;1882.97262252349;2282.84385429478;-0.124064307801475;0.676547528099576;37.6600000017788;"78";1;0;0;0;0;0;21.8246000004001;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.86109999858309;["68", "1"];[1, 0];64.8;0;0;0;48.5256999963894;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.2693000020226;"78";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.67659998987801
HRH14440978;HE_7_15_C1_81;1;1311.38213997728;1951.06145987855;-0.413938023193309;0.803751211347418;33.74199999962;"1";0;1434.2408881915;1959.17700935921;0.112581653442219;5.13378768392669;3.47383075250063;38.2368999999017;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.2644999998156;["1", "1"];[0, 0];0;0;0;0;48.8733999955002;"81";1;449.246274509804;449.246274509804;449.246274509804;449.2463;2254.85411764706;2254.85411764706;2254.85411764706;2254.8541;2040;2040;2040;2040.0000;254.762;254.762;254.762;254.7620;[];;;0.0000;[];;;0.0000;16.1286000075052;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.15360000240617
HRH14440978;HE_5_15_C1_81;1;1314.23302555244;1954.81742756173;-0.50548836986057;0.784298678398471;28.0512999888742;"1";0;1439.80072675838;1961.26356438694;-0.0331562982335481;5.13333257312011;3.47227482507893;23.5628999944311;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.44180000340566;["1", "1"];[0, 0];0;0;0;0;52.253700006986;"81";1;2413.21966794381;2413.21966794381;2413.21966794381;2413.2197;1095.35632183908;1095.35632183908;1095.35632183908;1095.3563;1252.8;1252.8;1252.8;1252.8000;221.009;221.009;221.009;221.0090;[];;;0.0000;[];;;0.0000;20.5140000034589;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.18960000004154
