;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius;9. inner_radius (min);9. inner_radius (max);9. inner_radius (avg);10. width;10. width (min);10. width (max);10. width (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius;9. inner_radius (min);9. inner_radius (max);9. inner_radius (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14441021;HE_9_1_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;7.79129999864381;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.6050000076648;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.8936999986181;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.0716999968281;"74";2;3404;[1824, 1580];1580;1824;1702.0000;8714.24;[4669.44, 4044.8];4044.8;4669.44;4357.1200;[0, 89.8598152830994];0;89.8598152830994;44.9299;[4.8, 4];4;4.8;4.4000;242.4;-1015.2;0;6.30680000176653;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;6.55349998851307;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;3.44920001225546
HRH14441021;HE_18_2_L_74;"1";1;2988322;2988322;2988322;2988322;2988322.0000;7650104.32;7650104.32;7650104.32;7650104.32;7650104.3200;-1.5655949307219;-1.5655949307219;-1.5655949307219;-1.5656;4.98129999323282;"1";0;1293.47884558426;1862.3232348628;0.20878581608834;4029.41193332412;1987.17764285945;1428.19999464575;1867.91582095359;0.17290818961509;5086.22800809414;3425.29519010114;1360.83942011501;1865.11952790819;-1.52930783792861;-215.553838498395;-8.94813774526338;215.739487485486;0.03587762647325;84.8690999991959;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.594386096710607, 0.585043796310556, 0.622274726568528, 0.629682060477984, 0.620343770785175, 0.617666031720852, 0.676781734468531, 0.649173700058358, 0.654985412120412];0.585043796310556;0.676781734468531;0.6278;[28, 28, 28.8, 28, 28, 27.2, 29.6, 28.8, 28.8];27.2;29.6;28.3556;[59.2, 57.6, 64, 59.2, 59.2, 59.2, 62.4, 59.2, 59.2];57.6;64;59.9111;2.80899999779649;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.0894000044791;"74";2;32707;[7960, 24747];7960;24747;16353.5000;83729.92;[20377.6, 63352.32];20377.6;63352.32;41864.9600;[5.78189616103135, 8.53403219009114];5.78189616103135;8.53403219009114;7.1580;[5.6, 5.6];5.6;5.6;5.6000;1654.25125628141;-1104.45567839196;331.278247609989;15.7237999956124;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;85.2368999912869;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;39.2535999999382
HRH14441021;HE_16_3_L_77;"1";1;2993255;2993255;2993255;2993255;2993255.0000;7662732.8;7662732.8;7662732.8;7662732.8;7662732.8000;-1.32800069470135;-1.32800069470135;-1.32800069470135;-1.3280;12.1224999893457;"1";0;1284.86916631087;1894.42237045823;0.458136924533284;4029.32002911204;1987.83542400802;1417.99627483758;1899.65295692679;0.498137239787177;5079.27845272088;3429.07537438171;1351.43272057423;1897.03766369251;-1.53152635765774;-213.003373642744;-8.36893834970251;213.167718738771;-0.0400003152538931;71.0843999986537;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.555655145364983, 0.569029098434597, 0.598472679738618, 0.603439325661321, 0.594097230800017, 0.599860517136379, 0.602117665497222, 0.596051521174226, 0.594856326453596];0.555655145364983;0.603439325661321;0.5904;[28.8, 28.8, 28.8, 28.8, 29.6, 29.6, 29.6, 28.8, 28.8];28.8;29.6;29.0667;[59.2, 59.2, 60.8, 60.8, 60.8, 60.8, 62.4, 60.8, 60.8];59.2;62.4;60.6222;4.27610000770073;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.75559999863617;"1";1;32918;32918;32918;32918;32918.0000;84270.08;84270.08;84270.08;84270.08;84270.0800;-4.55728450779189;-4.55728450779189;-4.55728450779189;-4.5573;5.6;5.6;5.6;5.6000;2886.49215626709;-2182.40515219637;-261.11316833683;8.42950001242571;"72";1;81.9912190420413;81.9912190420413;81.9912190420413;81.9912;81.9912190420413;81.9912190420413;81.9912190420413;81.9912;2867.2;2867.2;2867.2;2867.2000;2867.2;135.388099995907;"77";1;81.9912190420413;81.9912190420413;81.9912190420413;81.9912;0;0;0;0.0000;0;0;0;0.0000;81.9912190420413;81.9912190420413;81.9912190420413;81.9912;2867.2;2867.2;2867.2;2867.2000;2867.2;27.9187999985879
HRH14441021;HE_1_9_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;4.07370000903029;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.9454000111436;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.29590000142343;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.32760000310373;"74";2;3624;[2059, 1565];1565;2059;1812.0000;9277.44;[5271.04, 4006.4];4006.4;5271.04;4638.7200;[-0.00121905863517727, 89.8647608786335];-0.00121905863517727;89.8647608786335;44.9318;[4.8, 4];4;4.8;4.4000;273.733657115104;-1015.20194269063;-0.069846914774636;19.7669999906793;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;26.8567000020994;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;5.27799999690615
HRH14441021;HE_18_9_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;5.50339999608696;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.1552999897394;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.25570000091102;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.32609999855049;"74";2;3507;[1751, 1756];1751;1756;1753.5000;8977.92;[4482.56, 4495.36];4482.56;4495.36;4488.9600;[-0.00100723206436927, 89.82524861948];-0.00100723206436927;89.82524861948;44.9121;[4.8, 4];4;4.8;4.4000;232.667047401485;-1015.20137064535;-0.0577101462786082;4.55979999969713;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;7.00539999525063;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;9.89960000151768
HRH14441021;HE_17_16_L_74;"1";1;2978789;2978789;2978789;2978789;2978789.0000;7625699.84;7625699.84;7625699.84;7625699.84;7625699.8400;-1.68958727484456;-1.68958727484456;-1.68958727484456;-1.6896;10.6207999924663;"1";0;1288.63357519468;1923.41780023067;0.116249080405944;4029.13183351031;1984.92592470837;1419.92046893349;1927.23498520928;0.129880870485948;5071.05159217853;3429.36336081481;1354.27702206408;1925.32639271998;-1.54172937442459;-210.059029982101;-6.10749596578171;210.147799379374;-0.0136317900800039;79.1135999897961;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.57301300088324, 0.576314048239738, 0.579648685828101, 0.555004745062289, 0.610848204573943, 0.613733523030048, 0.618671279447237, 0.579670633894943, 0.599781427741902];0.555004745062289;0.618671279447237;0.5896;[26.4, 27.2, 26.4, 26.4, 27.2, 27.2, 27.2, 24.8, 26.4];24.8;27.2;26.5778;[62.4, 60.8, 60.8, 57.6, 59.2, 60.8, 59.2, 62.4, 60.8];57.6;62.4;60.4444;1.9392000103835;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.55300000915304;"74";2;35877;[27335, 8542];8542;27335;17938.5000;91845.12;[69977.6, 21867.52];21867.52;69977.6;45922.5600;[-28.9017231430028, -86.8205580533085];-86.8205580533085;-28.9017231430028;-57.8611;[5.6, 5.6];5.6;5.6;5.6000;2274.95258094019;-2360.02914944211;-1655.94675674963;13.4813000040594;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;90.7161000068299;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;22.9429000028176
HRH14441021;HE_9_16_L_78;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;5.89689999469556;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.6252000033855;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.50610000127926;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.53609999688342;"74";2;3707;[2077, 1630];1630;2077;1853.5000;9489.92;[5317.12, 4172.8];4172.8;5317.12;4744.9600;[-0.000238212660089094, 89.8457273214439];-0.000238212660089094;89.8457273214439;44.9227;[4.8, 4];4;4.8;4.4000;276.134424650939;-1015.20038517092;-0.0136485800496896;7.31309999537189;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.3064000041923;"78";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;6.11800000478979
HRH14441021;HE_3_15_L_51;"1";1;2992359;2992359;2992359;2992359;2992359.0000;7660439.04;7660439.04;7660439.04;7660439.04;7660439.0400;-1.24113604382569;-1.24113604382569;-1.24113604382569;-1.2411;6.59640000958461;"51";1;1;1960.98899477415;0.542890843989453;4029.68283882491;1987.81258099872;1385.09588757355;1963.21948819923;0.550987913847201;5076.42154770995;3423.99500697936;1319.26355830216;1962.10424148669;-1.55385723234331;-210.663453668467;-3.56878948011363;210.693680422265;-0.00809706985774761;76.4383000059752;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.592968270950708, 0.596293440171188, 0.604249002330629, 0.630693088956331, 0.637005609347393, 0.609632964614164, 0.621350133512526, 0.570273637996725, 0.608993686086573];0.570273637996725;0.637005609347393;0.6079;[29.6, 29.6, 31.2, 30.4, 30.4, 30.4, 28.8, 28.8, 28.8];28.8;31.2;29.7778;[62.4, 62.4, 64, 64, 62.4, 64, 60.8, 60.8, 60.8];60.8;64;62.4000;4.40329998673405;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.49980001151562;"1";1;33363;33363;33363;33363;33363.0000;85409.28;85409.28;85409.28;85409.28;85409.2800;-4.46914878917692;-4.46914878917692;-4.46914878917692;-4.4691;5.6;5.6;5.6;5.6000;2993.7719749423;-2144.19053442436;-256.063363635839;10.4882000014186;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;100.214399994002;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.801300003659
HRH14441021;HE_1_15_L_51;"1";1;2993760;2993760;2993760;2993760;2993760.0000;7664025.6;7664025.6;7664025.6;7664025.6;7664025.6000;-1.3208027013023;-1.3208027013023;-1.3208027013023;-1.3208;6.55949999054428;"51";1;1;1952.92917630679;0.462706509615197;4029.95847372333;1987.74674379677;1385.94314617563;1958.2071956635;0.501541070387819;5076.42548971066;3423.98865500006;1320.52601515266;1955.56818598515;-1.53047692661341;-209.334819273504;-8.44483097073462;209.505087600266;-0.0388345607726213;70.0858000054723;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.611091365797539, 0.627578706382858, 0.619957521348017, 0.610659383684896, 0.653370944153185, 0.635271997843775, 0.664273284355295, 0.658419775313226, 0.62614209840896];0.610659383684896;0.664273284355295;0.6341;[30.4, 31.2, 30.4, 29.6, 30.4, 30.4, 30.4, 30.4, 29.6];29.6;31.2;30.3111;[64, 65.6, 64, 60.8, 64, 62.4, 62.4, 62.4, 60.8];60.8;65.6;62.9333;2.64219999371562;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.29620000754949;"1";1;32967;32967;32967;32967;32967.0000;84395.52;84395.52;84395.52;84395.52;84395.5200;-4.59494848669967;-4.59494848669967;-4.59494848669967;-4.5949;5.6;5.6;5.6;5.6000;2975.21409894743;-2138.61264901265;-263.271155367916;9.09599999431521;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;137.338000000454;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.201300008921
