;;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. Row 2;9. Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. Row Difference;17. Column Difference;18. Distance;19. Angle Difference;20. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. width (um);10. width (um) (min);10. width (um) (max);10. width (um) (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. contlength;8. contlength (min);8. contlength (max);8. contlength (avg);9. inner_radius;9. inner_radius (min);9. inner_radius (max);9. inner_radius (avg);10. bulkiness;10. bulkiness (min);10. bulkiness (max);10. bulkiness (avg);11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Area FAIL (um)(FM);5. Area FAIL (um)(FM) (min);5. Area FAIL (um)(FM) (max);5. Area FAIL (um)(FM) (avg);6. Diameter ALL (um)(FM);6. Diameter ALL (um)(FM) (min);6. Diameter ALL (um)(FM) (max);6. Diameter ALL (um)(FM) (avg);7. Area ALL (um2)(FM);7. Area ALL (um2)(FM) (min);7. Area ALL (um2)(FM) (max);7. Area ALL (um2)(FM) (avg);8. Cummulative Area (um2)(FM);9. Inspection Time
HRH14441021;HE_1_1_L;"1";1;2989614;2989614;2989614;2989614;2989614.0000;7653411.84;7653411.84;7653411.84;7653411.84;7653411.8400;-1.42971597809196;-1.42971597809196;-1.42971597809196;-1.4297;7.48629998997785;"1";0;1249.81423033398;1903.31009124868;0.361919687541888;4029.92403234827;1988.48443333169;1384.05883774502;1908.52351520159;0.399922977892933;5085.23993160597;3434.34402194181;1316.9365340395;1905.91680322514;-1.53198057471326;-214.791371857665;-8.3414783246506;214.953282564231;-0.0380032903510449;84.078200001386;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.599541538600313, 0.605305776593511, 0.615061940887994, 0.626437594035078, 0.629391248626347, 0.652923527450116, 0.639552855795053, 0.6784720102041, 0.671559972544653];0.599541538600313;0.6784720102041;0.6354;[30.4, 30.4, 30.4, 30.4, 28.8, 31.2, 30.4, 30.4, 31.2];28.8;31.2;30.4000;[64, 64, 64, 65.6, 64, 65.6, 64, 64, 65.6];64;65.6;64.5333;2.6545000000624;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.921499995864;"1";1;32807;32807;32807;32807;32807.0000;83985.92;83985.92;83985.92;83985.92;83985.9200;-5.29360964679385;-5.29360964679385;-5.29360964679385;-5.2936;5.6;5.6;5.6;5.6000;2895.29098058341;-2135.49483951596;-303.301491151026;7.89960000838619;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;86.1920000024838;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.9098999964772
HRH14441021;HE_2_1_L;"1";1;2990030;2990030;2990030;2990030;2990030.0000;7654476.8;7654476.8;7654476.8;7654476.8;7654476.8000;-1.31801852918865;-1.31801852918865;-1.31801852918865;-1.3180;3.66139999823645;"1";0;1267.76225857032;1889.23133807466;0.450289350743919;4029.69060711536;1987.41337996106;1402.54788636073;1894.66561613994;0.496276071613956;5087.81476563303;3434.58329693364;1335.15507246553;1891.9484771073;-1.53050021744715;-215.657004464657;-8.69484490444593;215.832212384022;-0.045986720870037;32.4557999992976;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.599357334142339, 0.629083496458646, 0.637226385005348, 0.657583632627154, 0.653327473959933, 0.639032333589044, 0.6405366470579, 0.666899376773425, 0.664380893615571];0.599357334142339;0.666899376773425;0.6430;[30.4, 29.6, 30.4, 30.4, 30.4, 29.6, 28, 29.6, 30.4];28;30.4;29.8667;[64, 64, 62.4, 60.8, 62.4, 62.4, 64, 62.4, 62.4];60.8;64;62.7556;2.75520001014229;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.12419999681879;"1";1;32878;32878;32878;32878;32878.0000;84167.68;84167.68;84167.68;84167.68;84167.6800;-4.96680445669421;-4.96680445669421;-4.96680445669421;-4.9668;5.6;5.6;5.6;5.6000;2882.25098850295;-2157.82896769877;-284.576933035346;8.14879999961704;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;53.3704999979818;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.4911999951582
HRH14441021;HE_1_2_L;"1";1;2987860;2987860;2987860;2987860;2987860.0000;7648921.6;7648921.6;7648921.6;7648921.6;7648921.6000;-1.36514660701705;-1.36514660701705;-1.36514660701705;-1.3651;7.93910000356846;"1";0;1254.10274073529;1887.70789505154;0.414445153680643;4029.73869577978;1987.49909190792;1389.33313293723;1893.84838337666;0.391983337282104;5091.01179083998;3426.13465720184;1321.71793683626;1890.7781392141;-1.52541989046407;-216.3686275231;-9.82478132019132;216.591572560475;0.0224618163985382;33.009899998433;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.651959237984975, 0.679256093498277, 0.650892497665915, 0.68189407298, 0.709640753214711, 0.700646748818212, 0.686878329987765, 0.723802470735996, 0.671553956842512];0.650892497665915;0.723802470735996;0.6841;[28.8, 30.4, 30.4, 31.2, 31.2, 30.4, 29.6, 31.2, 31.2];28.8;31.2;30.4889;[65.6, 64, 64, 65.6, 65.6, 64, 64, 68.8, 65.6];64;68.8;65.2444;2.88099999306723;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.0446999988053;"1";1;32089;32089;32089;32089;32089.0000;82147.84;82147.84;82147.84;82147.84;82147.8400;-4.92306762037716;-4.92306762037716;-4.92306762037716;-4.9231;5.6;5.6;5.6;5.6000;2833.82482470629;-2128.84121038362;-282.070996905125;10.7731000025524;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;59.084399996209;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.5551999992458
HRH14441021;HE_2_2_L;"1";1;2987890;2987890;2987890;2987890;2987890.0000;7648998.4;7648998.4;7648998.4;7648998.4;7648998.4000;-1.36213702014042;-1.36213702014042;-1.36213702014042;-1.3621;5.69769999128766;"1";0;1275.69497274754;1874.25856404878;0.406421353560377;4029.9121331852;1987.32439927514;1410.23072782449;1881.04234177794;0.459489413295333;5081.17599477848;3426.51867972095;1342.96285028601;1877.65045291336;-1.52041539171722;-215.257208123118;-10.8540443666647;215.530684423525;-0.0530680597349552;82.1358999965014;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.599277577209247, 0.61420037206934, 0.59869746194841, 0.624187997686467, 0.709472510697489, 0.623880087139655, 0.671771770818386, 0.654123924269031, 0.671060445093211];0.59869746194841;0.709472510697489;0.6407;[24.8, 26.4, 26.4, 25.6, 31.2, 28, 28, 27.2, 30.4];24.8;31.2;27.5556;[62.4, 65.6, 62.4, 64, 65.6, 64, 65.6, 64, 64];62.4;65.6;64.1778;3.10760000138544;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;2.87389999721199;"1";1;32909;32909;32909;32909;32909.0000;84247.04;84247.04;84247.04;84247.04;84247.0400;-4.95349548431967;-4.95349548431967;-4.95349548431967;-4.9535;5.6;5.6;5.6;5.6000;2849.55750706494;-2173.9403081224;-283.814385088629;7.7333999943221;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;86.5418999892427;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;10.3876999928616
HRH14441021;HE_4_2_L;"1";1;2989222;2989222;2989222;2989222;2989222.0000;7652408.32;7652408.32;7652408.32;7652408.32;7652408.3200;-1.42554438328646;-1.42554438328646;-1.42554438328646;-1.4255;10.5899000045611;"1";0;1273.03097509847;1871.95644149441;0.345306036775232;4030.03122576495;1987.23378410354;1406.85981206228;1878.36664670052;0.335641477400044;5085.86813073351;3427.3942963885;1339.94539358038;1875.16154409747;-1.52293437235932;-214.126139142091;-10.2563283297801;214.371629966995;0.00966455937518867;67.572800006019;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.572657128583237, 0.608698068468029, 0.622423981477459, 0.615808000423957, 0.663903200963771, 0.65741952895179, 0.660895917293345, 0.708553995956478, 0.666017039882317];0.572657128583237;0.708553995956478;0.6418;[27.2, 27.2, 28, 27.2, 27.2, 26.4, 25.6, 28, 30.4];25.6;30.4;27.4667;[64, 64, 67.2, 64, 64, 65.6, 64, 65.6, 64];64;67.2;64.7111;4.10729998839088;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.28399999812245;"1";1;32444;32444;32444;32444;32444.0000;83056.64;83056.64;83056.64;83056.64;83056.6400;-4.82007263430764;-4.82007263430764;-4.82007263430764;-4.8201;5.6;5.6;5.6;5.6000;2830.69189988904;-2158.73026753791;-276.169818892333;8.88759999361355;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;114.65550000139;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;35.1071000040974
HRH14441021;HE_3_2_L;"1";1;2990760;2990760;2990760;2990760;2990760.0000;7656345.6;7656345.6;7656345.6;7656345.6;7656345.6000;-1.40431549136841;-1.40431549136841;-1.40431549136841;-1.4043;5.35770000715274;"1";0;1251.9523646181;1883.34754732987;0.372565141820645;4029.76961612719;1987.35374895887;1386.10083206743;1890.46913091583;0.425382692853618;5081.67047680996;3426.20548541016;1319.02659834276;1886.90833912285;-1.51775878679883;-214.637547918925;-11.3945337375437;214.939787791243;-0.0528175510329721;57.8148000058718;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.643510128986325, 0.635819928936503, 0.622372875153424, 0.656934496720993, 0.667812828772228, 0.660715183975261, 0.681555002677347, 0.696302926854626, 0.636465365643362];0.622372875153424;0.696302926854626;0.6557;[27.2, 27.2, 27.2, 30.4, 27.2, 27.2, 30.4, 31.2, 25.6];25.6;31.2;28.1778;[65.6, 64, 65.6, 64, 64, 67.2, 64, 65.6, 65.6];64;67.2;65.0667;2.23649998952169;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.19229999836534;"1";1;32415;32415;32415;32415;32415.0000;82982.4;82982.4;82982.4;82982.4;82982.4000;-4.9386207002211;-4.9386207002211;-4.9386207002211;-4.9386;5.6;5.6;5.6;5.6000;2827.49882461823;-2134.61328397347;-282.962122738612;10.6401999946684;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;117.633999994723;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;24.5454999967478
HRH14441021;HE_3_1_L;"1";1;2992084;2992084;2992084;2992084;2992084.0000;7659735.04;7659735.04;7659735.04;7659735.04;7659735.0400;-1.45290889341122;-1.45290889341122;-1.45290889341122;-1.4529;9.92720000795089;"1";0;1242.85354838164;1900.74802467557;0.323062318917565;4030.10476338435;1987.75840714184;1380.05356225931;1903.02255563515;0.37116583819673;5087.53902343171;3434.06915089363;1311.45355532047;1901.88529015536;-1.55421963299969;-219.520022204279;-3.63924953532078;219.550186257602;-0.0481035192791655;72.3103000054834;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.6322806563443, 0.668879377458338, 0.638842444842202, 0.634957725529741, 0.678388229366609, 0.665775604569005, 0.667923443997443, 0.707317569464606, 0.602886634800941];0.602886634800941;0.707317569464606;0.6553;[31.2, 31.2, 31.2, 30.4, 31.2, 31.2, 30.4, 30.4, 31.2];30.4;31.2;30.9333;[67.2, 65.6, 65.6, 65.6, 65.6, 65.6, 65.6, 64, 64];64;67.2;65.4222;2.52179999370128;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;1.26790000649635;"1";1;32537;32537;32537;32537;32537.0000;83294.72;83294.72;83294.72;83294.72;83294.7200;-4.98742319683196;-4.98742319683196;-4.98742319683196;-4.9874;5.6;5.6;5.6;5.6000;2862.57968466669;-2119.96493837785;-285.758299824116;7.25210001110099;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;138.344599996344;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.7860999966506
HRH14441021;HE_4_1_L;"1";1;2991035;2991035;2991035;2991035;2991035.0000;7657049.6;7657049.6;7657049.6;7657049.6;7657049.6000;-1.41097058123016;-1.41097058123016;-1.41097058123016;-1.4110;8.10099999944214;"1";0;1262.75842371654;1886.23043398739;0.355671312091328;4029.83859761057;1987.59531598328;1397.94859374851;1892.0026198614;0.38177696663932;5083.15592051624;3434.68885930687;1330.35350873253;1889.11652692439;-1.52812545723894;-216.30427205114;-9.23549739841474;216.501345307067;-0.0261056545479923;55.6942999974126;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.595826626718415, 0.638813654502619, 0.639002207579573, 0.623397329584652, 0.644274949768475, 0.658040659489728, 0.677307503979048, 0.653364713541409, 0.66039431631527];0.595826626718415;0.677307503979048;0.6434;[28.8, 30.4, 30.4, 30.4, 30.4, 30.4, 29.6, 30.4, 30.4];28.8;30.4;30.1333;[62.4, 64, 64, 64, 64, 64, 64, 64, 64];62.4;64;63.8222;2.51739998930134;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.06040000577923;"1";1;32459;32459;32459;32459;32459.0000;83095.04;83095.04;83095.04;83095.04;83095.0400;-4.995617233536;-4.995617233536;-4.995617233536;-4.9956;5.6;5.6;5.6;5.6000;2860.05932407037;-2143.46270679935;-286.227783544433;13.782900001388;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;186.319899992668;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;25.6263999908697
HRH14441021;HE_5_1_L;"1";1;2991629;2991629;2991629;2991629;2991629.0000;7658570.24;7658570.24;7658570.24;7658570.24;7658570.2400;-1.55051769559404;-1.55051769559404;-1.55051769559404;-1.5505;6.68750000477303;"1";0;1244.34265175946;1892.68883588276;0.23619812284011;4030.07734151071;1988.13820962984;1381.05442378959;1898.01956552644;0.232776334551576;5081.96156108003;3434.37184903056;1312.69853777452;1895.3542007046;-1.5318236005249;-218.738835248202;-8.52916742989219;218.905058741883;0.00342178828853457;31.1462999961805;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.640345427747866, 0.615871301093141, 0.64451135648684, 0.618498958167458, 0.655727553085511, 0.658403733224697, 0.670328323471731, 0.647811186269124, 0.651470176493683];0.615871301093141;0.670328323471731;0.6448;[30.4, 30.4, 30.4, 29.6, 30.4, 31.2, 30.4, 29.6, 30.4];29.6;31.2;30.3111;[67.2, 64, 64, 62.4, 65.6, 64, 65.6, 62.4, 65.6];62.4;67.2;64.5333;4.98299999162555;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;3.31019998702686;"1";1;32437;32437;32437;32437;32437.0000;83038.72;83038.72;83038.72;83038.72;83038.7200;-5.2413984331137;-5.2413984331137;-5.2413984331137;-5.2414;5.6;5.6;5.6;5.6000;2868.2194284305;-2114.98232265623;-300.310008963898;10.3774000017438;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;107.34180000145;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;11.8677999998908
