;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14441021;HE_1_1_O;1;1290.54464864167;1902.55478364621;0.0950565576677424;0.971285933414975;23.070800001733;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.62499999371357;"1";0;0;"Wire Sweep";[1719, 1652, 1672, 1747, 1659, 1783, 1723, 1717, 1737];1652;1783;1712.1111;[0.803520441331065, 0.794861755830461, 0.765641597399231, 0.777580763259922, 0.799990655504892, 0.713112975329747, 0.749062340645645, 0.812389878896356, 0.717391600618904];0.713112975329747;0.812389878896356;0.7704;[109, 125, 122, 119, 103, 103];103;125;113.5000;[4392, 4375, 4370, 4340, 4302, 4354, 4363, 4310, 4487];4302;4487;4365.8889;[125, 123, 125, 123, 122, 121, 122, 118, 123];118;125;122.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;23.7615000078222;"1";0;0;0.21480000577867;"1";0;0;0.387599997338839;"1";0;0;0.237500004004687;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.382400001399219;"1";0;0;0.513700011651963;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 30.4, 32, 28.8, 32, 32, 30.4];28.8;32;30.5778;2.64679999963846
HRH14441021;HE_1_2_O;1;1276.36495870155;1886.78701987175;0.144785070707834;0.968638243420898;24.8436000110814;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.88709999201819;"1";0;0;"Wire Sweep";[1750, 1662, 1605, 1729, 1690, 1651, 1682, 1665, 1747];1605;1750;1686.7778;[0.801500292949739, 0.802581594073154, 0.790402948007602, 0.694732879926083, 0.826359904643599, 0.804513481693788, 0.774679336781671, 0.743992271017664, 0.739292411053393];0.694732879926083;0.826359904643599;0.7753;[170, 157, 180, 155, 193, 160, 170, 164, 185];155;193;170.4444;[4379, 4120, 4199, 4207, 4148, 4196, 3988, 4072, 3120];3120;4379;4047.6667;[124, 123, 123, 121, 120, 122, 121, 118, 118];118;124;121.1111;[131, 131, 131, 131, 131, 131, 131, 120, 46];46;131;120.3333;[131, 131, 131, 131, 131, 131, 131, 120, 46];46;131;120.3333;0;0;0;0.0000;0;0;0;0.0000;23.2332999876235;"1";0;0;0.228799995966256;"1";0;0;0.432100001489744;"1";0;0;0.227600001380779;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.560000000405125;"1";0;0;0.52000000141561;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 30.4, 30.4, 30.4, 30.4, 28.8, 32, 48];28.8;48;32.0000;2.83569999737665
HRH14441021;HE_2_2_O;1;1297.99645406206;1873.76953357641;0.160677259339897;0.986899491095571;24.1654999990715;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.62329999532085;"1";0;0;"Good/OthersDefect";[1678, 1670, 1693, 1677, 1626, 1699, 1707, 1691, 1650];1626;1707;1676.7778;[0.735642200342655, 0.735312280960706, 0.78349618710956, 0.796078801217222, 0.81931945851382, 0.709980716583082, 0.745772555382996, 0.804724414929759, 0.763135574078519];0.709980716583082;0.81931945851382;0.7659;[167, 168, 200, 189, 186, 163, 185, 192, 156];156;200;178.4444;[2956, 2999, 2933, 2983, 3022, 2992, 2922, 2835, 2834];2834;3022;2941.7778;[124, 123, 123, 121, 120, 121, 120, 119, 119];119;124;121.1111;[44, 44, 44, 44, 45, 45, 44, 44, 44];44;45;44.2222;[44, 44, 44, 44, 45, 45, 44, 44, 44];44;45;44.2222;0;0;0;0.0000;0;0;0;0.0000;18.8236999965739;"1";0;0;0.232299993513152;"1";0;0;0.230400008149445;"1";0;0;0.319299986585975;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.241699992329814;"1";0;0;0.211899998248555;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 30.4, 30.4, 30.4, 28.8, 30.4, 30.4];28.8;30.4;30.0444;2.44460000249092
HRH14441021;HE_2_1_O;1;1308.11268783542;1888.56621862517;0.200432461078186;0.963679455804382;42.142899997998;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.86570000753272;"1";0;0;"Wire Sweep";[1695, 1691, 1663, 1702, 1676, 1761, 1777, 1716, 1737];1663;1777;1713.1111;[0.762118957590427, 0.776602918852885, 0.798751419738136, 0.776782981285394, 0.783856318024963, 0.748108640037286, 0.698227894056878, 0.795000832166475, 0.75072327754211];0.698227894056878;0.798751419738136;0.7656;[103, 113, 106, 104, 96, 116];96;116;106.3333;[4642, 4534, 4539, 4493, 4476, 4379, 4402, 4308, 4432];4308;4642;4467.2222;[126, 125, 123, 122, 124, 123, 122, 118, 120];118;126;122.5556;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;21.5229000023101;"1";0;0;0.433900000643916;"1";0;0;0.346400003763847;"1";0;0;0.209699996048585;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.236900013987906;"1";0;0;0.228600008995272;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 32, 32, 30.4, 30.4, 30.4, 28.8, 30.4, 30.4];28.8;32;30.5778;3.67930000356864
HRH14441021;HE_4_1_O;1;1304.46427733842;1886.49060871801;0.104525642802222;0.977421225137022;28.252899996005;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.94940000458155;"1";0;0;"Good/OthersDefect";[1707, 1693, 1725, 1715, 1644, 1772, 1719, 1779, 1755];1644;1779;1723.2222;[0.768541828689802, 0.729525063309073, 0.766073550305762, 0.809153825489807, 0.819905486418505, 0.736715705418367, 0.779003866401013, 0.762923507823754, 0.748314182837873];0.729525063309073;0.819905486418505;0.7689;[126, 116, 115, 135, 131, 129, 119, 122, 111];111;135;122.6667;[3077, 3065, 2985, 3067, 3076, 2952, 2885, 2921, 2942];2885;3077;2996.6667;[123, 123, 126, 123, 122, 122, 123, 120, 120];120;126;122.4444;[46, 44, 44, 44, 44, 44, 43, 44, 43];43;46;44.0000;[46, 44, 44, 44, 44, 44, 43, 44, 43];43;46;44.0000;0;0;0;0.0000;0;0;0;0.0000;21.6167000035057;"1";0;0;0.286800001049414;"1";0;0;0.309199996991083;"1";0;0;0.500699999975041;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.699500000337139;"1";0;0;0.596500001847744;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[27.2, 28.8, 28.8, 30.4, 30.4, 28.8, 30.4, 28.8, 30.4];27.2;30.4;29.3333;8.40339998831041
HRH14441021;HE_3_1_O;1;1284.82065693498;1900.31083689121;0.0764136047409352;0.972681274868577;16.3102999940747;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.95680001343135;"1";0;0;"Wire Sweep";[1635, 1649, 1614, 1762, 1673, 1699, 1712, 1654, 1722];1614;1762;1680.0000;[0.751737328483962, 0.718306537125838, 0.783389581922369, 0.720193935678776, 0.763921362709671, 0.789900581846694, 0.734604304838359, 0.761860515145856, 0.737652173124012];0.718306537125838;0.789900581846694;0.7513;[134, 133, 145, 143, 131, 132, 141, 152, 131];131;152;138.0000;[4349, 4081, 4179, 4167, 3999, 2881, 2683, 2667, 2887];2667;4349;3543.6667;[126, 123, 123, 121, 121, 120, 121, 119, 119];119;126;121.4444;[131, 131, 131, 131, 131, 44, 43, 42, 45];42;131;92.1111;[131, 131, 131, 131, 131, 44, 43, 42, 45];42;131;92.1111;0;0;0;0.0000;0;0;0;0.0000;22.1491000120295;"1";0;0;0.266800008830614;"1";0;0;0.304600005620159;"1";0;0;0.340700004016981;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.517399996169843;"1";0;0;0.678600001265295;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 32, 28.8, 28.8, 28.8, 27.2, 28.8, 28.8];27.2;32;29.1556;3.03469999926165
HRH14441021;HE_3_2_O;1;1275.9165039243;1883.29654455348;0.104889249172077;0.965741639837304;70.7343999965815;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.88729998667259;"1";0;0;"Wire Sweep";[1688, 1681, 1649, 1598, 1704, 1617, 1680, 1604, 1666];1598;1704;1654.1111;[0.746408775830341, 0.761035029586879, 0.748811644106192, 0.793296721147936, 0.689793439616228, 0.765512255209155, 0.707475597405416, 0.771395422302259, 0.742995222443032];0.689793439616228;0.793296721147936;0.7474;[197, 192, 196, 184, 192, 188, 190, 185, 180];180;197;189.3333;[4031, 3968, 3993, 3893, 3907, 2939, 2803, 2903, 2877];2803;4031;3479.3333;[124, 124, 122, 121, 120, 121, 122, 119, 118];118;124;121.2222;[131, 131, 131, 131, 131, 49, 44, 44, 46];44;131;93.1111;[131, 131, 131, 131, 131, 49, 44, 44, 46];44;131;93.1111;0;0;0;0.0000;0;0;0;0.0000;18.6080999992555;"1";0;0;0.293899996904656;"1";0;0;0.716800001100637;"1";0;0;0.405600003432482;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.296899990644306;"1";0;0;0.251400007982738;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 28.8, 30.4, 28.8, 28.8, 30.4, 30.4];28.8;30.4;29.6889;2.3568000033265
HRH14441021;HE_4_2_O;1;1297.03135524031;1872.26887802433;0.103334796119757;0.979436660229439;91.9510999956401;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.58560000394937;"1";0;0;"Wire Sweep";[1659, 1639, 1622, 1706, 1622, 1643, 1712, 1646, 1708];1622;1712;1661.8889;[0.773122127973583, 0.729304965299545, 0.81021477993661, 0.734264682684104, 0.784342553451749, 0.807422833123159, 0.707964176039083, 0.781726744378195, 0.770114347355736];0.707964176039083;0.81021477993661;0.7665;[193, 210, 169, 163, 193, 149, 170, 177, 152];149;210;175.1111;[4423, 4348, 4276, 4215, 4161, 4052, 4249, 4200, 4143];4052;4423;4229.6667;[125, 123, 122, 122, 120, 122, 121, 118, 119];118;125;121.3333;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;33.8289000064833;"1";0;0;0.213499995879829;"1";0;0;0.306799993268214;"1";0;0;0.253200007136911;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.331999995978549;"1";0;0;0.696899995091371;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 32, 30.4, 32, 30.4, 28.8, 30.4, 32];28.8;32;30.7556;3.72649999917485
HRH14441021;HE_5_1_O;1;1285.21306403857;1896.45287904456;-0.0363392712784341;0.974607658133067;38.3415999967838;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;6.22569999541156;"1";0;0;"Wire Sweep";[1648, 1685, 1732, 1646, 1677, 1668, 1686, 1659, 1741];1646;1741;1682.4444;[0.752143914976555, 0.769778401186024, 0.721328461568187, 0.754175721055186, 0.791814478192995, 0.797793506580747, 0.730073647427347, 0.769927722691297, 0.736707154888553];0.721328461568187;0.797793506580747;0.7582;[140, 111, 155, 156, 153, 152, 127, 138, 120];111;156;139.1111;[4387, 4184, 4126, 4124, 4151, 4221, 4177, 4035, 3005];3005;4387;4045.5556;[125, 123, 122, 123, 120, 121, 123, 119, 118];118;125;121.5556;[131, 131, 131, 131, 131, 131, 131, 121, 45];45;131;120.3333;[131, 131, 131, 131, 131, 131, 131, 121, 45];45;131;120.3333;0;0;0;0.0000;0;0;0;0.0000;17.929900001036;"1";0;0;0.844000009237789;"1";0;0;0.589000002946705;"1";0;0;0.712100008968264;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.548199997865595;"1";0;0;0.398200005292892;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 30.4, 30.4, 30.4, 32, 28.8, 44.8];28.8;44.8;31.8222;3.24589999218006
