;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14441021;HE_1_2_C1;1;1277.83555904305;1887.31369540087;0.0125773930741928;0.715523845338538;42.5340999936452;"1";0;1407.40161531345;1893.19331819594;0.379752386359586;5.15068326412551;3.46960183285751;27.8938000119524;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.24240000918508;["1", "1"];[0, 0];0;0;0;0;77.8815999947255;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;48.5532000020612;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.91399999696296
HRH14441021;HE_2_1_C1;1;1308.13579994239;1885.64023493322;0.223473163389698;0.667241762416467;34.2300000047544;"1";0;1440.01022339588;1893.42293564932;0.504589878970214;5.1321783748736;3.4719816947566;32.5020000018412;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.95759999810252;["1", "1"];[0, 0];0;0;0;0;76.6344000003301;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;51.9938999932492;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.92270000500139
HRH14441021;HE_1_1_C1;1;1291.01756976817;1902.2640092012;0.0626318589209529;0.737179472372873;68.5757000028389;"1";0;1421.38960118523;1908.95238275563;0.377975483141393;5.13286410356105;3.4711948970346;70.8651000022655;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.2196999941953;["1", "1"];[0, 0];0;0;0;0;38.8712999993004;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;22.5446999975247;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.50920001033228
HRH14441021;HE_4_2_C1;1;1298.1863699282;1868.18080389426;-0.162832101271917;0.687714145672828;27.8204999922309;"1";0;1425.20727287953;1875.37434646245;0.344961769726868;5.13874493599859;3.4712685533331;37.4770000053104;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.40920000639744;["1", "1"];[0, 0];0;0;0;0;77.7892999903997;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.9459000064526;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.56119999883231
HRH14441021;HE_4_1_C1;1;1304.67847835696;1882.27758963342;0.152763364293419;0.697286252536202;17.2872999974061;"1";0;1435.31835169313;1888.76443532737;0.391356515043218;5.13029425521103;3.47288019078708;39.4679999881191;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.28400000277907;["1", "1"];[0, 0];0;0;0;0;81.035700000939;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;19.4558999937726;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.43109999771696
HRH14441021;HE_3_2_C1;1;1274.10945272367;1882.73699655152;-0.0791413562918474;0.644908068851407;32.6195000088774;"1";0;1404.37220591691;1888.08160388813;0.41829599940907;5.13568358921179;3.46971685887433;61.9484999915585;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.75310000567697;["1", "1"];[0, 0];0;0;0;0;45.0012999936007;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.7674000005936;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.19140000606421
HRH14441021;HE_3_1_C1;1;1282.19891249271;1899.84342684435;0.148626385553875;0.660386309396443;29.3901999975787;"1";0;1417.1668335513;1901.43176466252;0.379380996042471;5.13368793492204;3.47179283253426;81.0662000003504;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.464299995685;["1", "1"];[0, 0];0;0;0;0;28.0799000029219;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.879199993331;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.8772000039462
HRH14441021;HE_6_2_C1;1;1291.88466372736;1874.98432247881;-0.0181601266102594;0.66983614948245;73.9304000017;"1";0;1421.28244715391;1880.4788218104;0.259926072357819;5.1341116773964;3.46302556044195;28.1289999984438;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.1681000002427;["1", "1"];[0, 0];0;0;0;0;44.0265000070212;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.6327000042656;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.70110000181012
HRH14441021;HE_5_1_C1;1;1287.94899285953;1898.14322659797;-0.022354601705493;0.743963477586732;26.2713999982225;"1";0;1420.67536699945;1904.99567391885;0.222909306063047;5.13446546393766;3.47267092579018;67.0129000063753;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.86340000154451;["1", "1"];[0, 0];0;0;0;0;43.1168000068283;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.3201000036206;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.57649999891873
HRH14441021;HE_5_2_C1;1;1273.9807053266;1888.82207014055;-0.267918505553286;0.682261125988276;21.087200002512;"1";0;1405.45711071802;1890.8891824655;0.089498464684033;5.14152958682706;3.47223191177016;88.3927999966545;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.19780000427272;["1", "1"];[0, 0];0;0;0;0;33.8994000048842;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;25.9905999992043;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.50399999984074
