;;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;FO;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;NSOL;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead;FM Lead
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time
HRH14441021;HE_2_2_L1;"1";1;6827410;6827410;6827410;6827410;6827410.0000;17.4781696;17.4781696;17.4781696;17.4781696;17.4782;0.44198092425043;0.44198092425043;0.44198092425043;0.4420;3.0110871379923;-2.28494902822593;25.323641584841;"1";0;552.673507310881;2285.18883245593;0.572557635513016;1.84031763364233;0.100977748944786;3.6563021319295;-0.88427761169741;32.8051360428855;10.5557000060799;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.705895818072776, 0.78723673230965, 0.815531598193613, 0.784417899203392, 0.767725668358925, 0.772351088014479, 0.794006832792098, 0.835710308236114, 0.703853773287711];0.703853773287711;0.835710308236114;0.7741;[24, 26.4, 28, 22.4, 22.4, 22.4, 23.2, 24.8, 23.2];22.4;28;24.0889;3.62780000432394;"1";16;3509;[183, 223, 210, 261, 214, 237, 246, 237, 186, 248, 216, 238, 150, 214, 140, 306];140;306;219.3125;8983.04;[468.48, 570.88, 537.6, 668.16, 547.84, 606.72, 629.76, 606.72, 476.16, 634.88, 552.96, 609.28, 384, 547.84, 358.4, 783.36];358.4;783.36;561.4400;[82.770751200443, -88.6993240774591, 76.294326213176, -82.2314004397646, 85.492604984408, 79.5854329142321, 82.3304101384077, 88.3602610531539, 77.9006691784554, -82.2504292862875, -83.1396202784042, -90, -86.1139235000577, -89.2777825589293, 89.9115024083061, -14.6704057236262];-90;89.9115024083061;2.8914;6.35939999483526;"1";9;11667;[1403, 1316, 1303, 1298, 1311, 1271, 1245, 1253, 1267];1245;1403;1296.3333;0.02986752;[0.00359168, 0.00336896, 0.00333568, 0.00332288, 0.00335616, 0.00325376, 0.0031872, 0.00320768, 0.00324352];0.0031872;0.00359168;0.0033;[68.5822689818687, 72.2913227003731, 56.1127908022444, 51.0861908391904, 37.3147031874236, 71.6149360622837, 75.7627086628969, -82.8284005532921, 63.5535636901347];-82.8284005532921;75.7627086628969;45.9433;4.369799993583;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.94279999798164
HRH14441021;HE_1_1_L1;"1";1;6844800;6844800;6844800;6844800;6844800.0000;17.522688;17.522688;17.522688;17.522688;17.5227;0.404271398787677;0.404271398787677;0.404271398787677;0.4043;3.05486745605423;-2.27224719869098;23.1630449283841;"1";0;544.657375722845;2317.20890108058;0.394434787663911;1.84891978131191;0.105699071234098;3.70753424172892;-0.871451801156552;22.5994486262809;11.8819999916013;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.768240532599004, 0.872929350876463, 0.83889104461909, 0.769198154031078, 0.844763509405251, 0.833174234467035, 0.78700703455365, 0.885856939871358, 0.709386347083025];0.709386347083025;0.885856939871358;0.8122;[23.2, 27.2, 24.8, 24.8, 27.2, 25.6, 23.2, 28, 26.4];23.2;28;25.6000;9.67170001240447;"1";16;3500;[247, 226, 198, 261, 214, 252, 176, 248, 195, 259, 185, 246, 176, 235, 118, 264];118;264;218.7500;8960;[632.32, 578.56, 506.88, 668.16, 547.84, 645.12, 450.56, 634.88, 499.2, 663.04, 473.6, 629.76, 450.56, 601.6, 302.08, 675.84];302.08;675.84;560.0000;[-74.9603461114326, 85.2592289486525, -88.0964874659975, 86.1486973347451, 83.0994676387929, 83.8216490781211, 77.5366617786259, -87.4041069641841, -84.6850998244997, -84.8182024361365, -88.7756695179785, 86.3241913885658, -76.749818655614, -86.3723364354546, -89.5428856831541, 86.6798820324097];-89.5428856831541;86.6798820324097;-10.7834;1.95249999524094;"1";9;11889;[1378, 1336, 1324, 1324, 1325, 1282, 1282, 1292, 1346];1282;1378;1321.0000;0.03043584;[0.00352768, 0.00342016, 0.00338944, 0.00338944, 0.003392, 0.00328192, 0.00328192, 0.00330752, 0.00344576];0.00328192;0.00352768;0.0034;[19.8713312354416, 45.1406088325998, 66.0971777691495, 75.1343319567535, 39.1847794029207, 50.2557663073126, 40.8154818612381, 74.3746773955457, 42.0913620902522];19.8713312354416;75.1343319567535;50.3295;2.03429999237414;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.5041000044439
HRH14441021;HE_2_1_L1;"1";1;6846108;6846108;6846108;6846108;6846108.0000;17.52603648;17.52603648;17.52603648;17.52603648;17.5260;0.516880504365229;0.516880504365229;0.516880504365229;0.5169;3.03241122833587;-2.30201786241175;29.615071412721;"1";0;562.220289509686;2301.56481407687;0.497745625703089;1.84856876282345;0.105527239697597;3.682503702523;-0.899552463215498;28.5187236238854;34.6620999916922;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.749136859654668, 0.756377553503528, 0.82366710479675, 0.698437111831264, 0.772249523646373, 0.815077251463768, 0.858035088942272, 0.740010143452161];0.698437111831264;0.858035088942272;0.7766;[21.6, 24, 24.8, 21.6, 23.2, 24.8, 27.2, 24.8];21.6;27.2;24.0000;4.62120000156574;"1";16;3590;[239, 223, 226, 244, 199, 247, 219, 225, 229, 219, 218, 240, 187, 258, 130, 287];130;287;224.3750;9190.4;[611.84, 570.88, 578.56, 624.64, 509.44, 632.32, 560.64, 576, 586.24, 560.64, 558.08, 614.4, 478.72, 660.48, 332.8, 734.72];332.8;734.72;574.4000;[73.5420518218181, -73.8956327685214, 88.0192917804575, -84.6144725678565, 75.4778544435014, -87.4755644630716, -80.9063279495904, -85.1043072851369, -84.9028658377283, -81.2903029574287, -88.1237798454998, 79.8791426845901, -81.6081163493858, -83.1565864148184, -89.315829595034, 49.6522695367899];-89.315829595034;88.0192917804575;-34.6139;3.20049999572802;"1";9;11860;[1370, 1319, 1303, 1317, 1316, 1297, 1293, 1307, 1338];1293;1370;1317.7778;0.0303616;[0.0035072, 0.00337664, 0.00333568, 0.00337152, 0.00336896, 0.00332032, 0.00331008, 0.00334592, 0.00342528];0.00331008;0.0035072;0.0034;[27.7441599602167, 16.314152550485, 22.6668887894936, 31.7472460839313, 18.6257610490696, 20.7052991600776, 23.4843677589727, 25.048832876742, 33.6840117707355];16.314152550485;33.6840117707355;24.4467;3.43729999440257;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.32230001327116
HRH14441021;HE_1_2_L1;"1";1;6842810;6842810;6842810;6842810;6842810.0000;17.5175936;17.5175936;17.5175936;17.5175936;17.5176;0.360396481808894;0.360396481808894;0.360396481808894;0.3604;3.03127311054961;-2.25153290580916;20.649197359013;"1";0;529.449174156275;2297.54719429003;0.37503621606731;1.8460471150126;0.101206222968603;3.67607551086405;-0.847118678650039;21.4879923452133;28.5127999959514;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.790143798901821, 0.761745700360072, 0.861498690423692, 0.826300114453863, 0.850536464100907, 0.819331717777295, 0.767894725095666, 0.820908954137551, 0.849992904229999];0.761745700360072;0.861498690423692;0.8165;[29.6, 24, 28.8, 24.8, 28.8, 28, 22.4, 24, 29.6];22.4;29.6;26.6667;8.94759999937378;"1";16;3393;[211, 247, 174, 282, 202, 238, 180, 242, 181, 247, 164, 242, 149, 205, 120, 309];120;309;212.0625;8686.08;[540.16, 632.32, 445.44, 721.92, 517.12, 609.28, 460.8, 619.52, 463.36, 632.32, 419.84, 619.52, 381.44, 524.8, 307.2, 791.04];307.2;791.04;542.8800;[84.8167216009461, 84.9188035538529, 84.6735825752174, -62.2836897477473, 80.5863127983145, -90, -86.7871053964397, -83.9673690107747, 88.3960391737703, -82.9932564677878, 83.5296372962264, 72.5916186724429, -88.3419139197085, -88.8083790904204, -88.8898007507911, 5.99292586485516];-90;88.3960391737703;-5.4104;2.61950001004152;"1";9;12121;[1400, 1342, 1347, 1340, 1365, 1303, 1314, 1340, 1370];1303;1400;1346.7778;0.03102976;[0.003584, 0.00343552, 0.00344832, 0.0034304, 0.0034944, 0.00333568, 0.00336384, 0.0034304, 0.0035072];0.00333568;0.003584;0.0034;[79.9836600673732, 68.2355538558318, 85.8651556695179, 78.5489661636813, 85.6508381085568, 67.3651257980402, 83.4966895905178, 84.5132121495946, 69.8594878006417];67.3651257980402;85.8651556695179;78.1687;16.5629999974044;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.47440000728238
HRH14441021;HE_4_1_L1;"1";1;6839130;6839130;6839130;6839130;6839130.0000;17.5081728;17.5081728;17.5081728;17.5081728;17.5082;0.385870657750963;0.385870657750963;0.385870657750963;0.3859;3.03305807680217;-2.29675179059325;22.1087601270672;"1";0;557.851724880275;2301.64098259129;0.407751537955126;1.84857016566584;0.105303500369153;3.68262557214606;-0.89256275980844;23.3624422147971;17.934100003913;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.813020146792227, 0.785442995893166, 0.778144531718276, 0.71840938117568, 0.848843005220606, 0.795621541931778, 0.855592098817917, 0.807799328897674, 0.695774327348733];0.695774327348733;0.855592098817917;0.7887;[25.6, 24, 24.8, 24, 25.6, 24.8, 24.8, 23.2, 20.8];20.8;25.6;24.1778;3.64450000051875;"1";16;3700;[279, 211, 220, 245, 238, 236, 236, 247, 212, 251, 204, 234, 210, 234, 152, 291];152;291;231.2500;9472;[714.24, 540.16, 563.2, 627.2, 609.28, 604.16, 604.16, 632.32, 542.72, 642.56, 522.24, 599.04, 537.6, 599.04, 389.12, 744.96];389.12;744.96;592.0000;[-72.0272827788037, -81.6663694569837, 78.6865026473203, -74.2946247153152, -88.1024946347773, 87.3217968348893, 86.1462433355684, -83.2417510149956, -87.178999356222, -85.2199729234151, -85.2392565406049, 87.4760474929033, -80.265890156546, 80.3846564300771, 88.0026711546856, 43.7243834814233];-88.1024946347773;88.0026711546856;-11.5934;2.16479999653529;"1";9;11604;[1362, 1292, 1288, 1268, 1304, 1256, 1276, 1276, 1282];1256;1362;1289.3333;0.02970624;[0.00348672, 0.00330752, 0.00329728, 0.00324608, 0.00333824, 0.00321536, 0.00326656, 0.00326656, 0.00328192];0.00321536;0.00348672;0.0033;[39.0326939719943, 27.2130667194763, 12.6396373843742, 42.9825087494514, 47.4622188920303, 39.5604144653209, 59.0246096567178, 49.3217365835003, 38.3349988379664];12.6396373843742;59.0246096567178;39.5080;2.60839999828022;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.37199999275617
HRH14441021;HE_3_2_L1;"1";1;6825412;6825412;6825412;6825412;6825412.0000;17.47305472;17.47305472;17.47305472;17.47305472;17.4731;0.397593385880082;0.397593385880082;0.397593385880082;0.3976;3.03091966597767;-2.24803349904738;22.780422973245;"1";0;530.946425140395;2296.62904227612;0.417594836719311;1.84362776184948;0.102389129211835;3.67460646764179;-0.849514280224632;23.9264216904712;18.9988999918569;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.847478873796098, 0.858410434949481, 0.848564892821134, 0.786286053701811, 0.811188055606507, 0.939381425599458, 0.900991918900903, 0.815430258724253, 0.858557673291336];0.786286053701811;0.939381425599458;0.8518;[28, 28.8, 24, 24, 24.8, 28, 25.6, 24.8, 28.8];24;28.8;26.3111;5.02860000415239;"1";16;3465;[167, 235, 154, 278, 204, 238, 223, 226, 183, 247, 219, 238, 177, 221, 138, 317];138;317;216.5625;8870.4;[427.52, 601.6, 394.24, 711.68, 522.24, 609.28, 570.88, 578.56, 468.48, 632.32, 560.64, 609.28, 453.12, 565.76, 353.28, 811.52];353.28;811.52;554.4000;[82.9650253456844, 77.5056041166335, 87.7256359095665, -67.8298721907854, -88.3623564651701, -90, 85.2100400802309, 84.6083913001535, 78.4157994896832, -82.2193533422321, 83.9842397870254, -90, -85.2912332456142, 83.6122665086202, 88.7792503493745, 28.2298689569267];-90;88.7792503493745;17.3333;2.02109999372624;"1";9;11993;[1369, 1342, 1319, 1331, 1351, 1336, 1285, 1299, 1361];1285;1369;1332.5556;0.03070208;[0.00350464, 0.00343552, 0.00337664, 0.00340736, 0.00345856, 0.00342016, 0.0032896, 0.00332544, 0.00348416];0.0032896;0.00350464;0.0034;[74.7604614760526, 70.6454064881399, 71.1096049041359, -89.9015611350049, 59.2797837819654, 84.7769886762315, 68.4427706883853, 75.7357509728778, 69.3360111113351];-89.9015611350049;84.7769886762315;53.7984;4.70079999649897;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.47969999327324
HRH14441021;HE_4_2_L1;"1";1;6830006;6830006;6830006;6830006;6830006.0000;17.48481536;17.48481536;17.48481536;17.48481536;17.4848;0.33755002603919;0.33755002603919;0.33755002603919;0.3376;3.01157780394336;-2.28161341656215;19.3401918665766;"1";0;552.220046423849;2286.22128639734;0.34784324132344;1.84654946688896;0.102580289805271;3.65795405823574;-0.883552074278159;19.9299496599837;19.9350000038976;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.760525808491129, 0.740141850117384, 0.769425079887509, 0.825356724628874, 0.866223851582317, 0.836465705126326, 0.862200095682847, 0.799072251380651, 0.720201027171306];0.720201027171306;0.866223851582317;0.7977;[26.4, 27.2, 22.4, 25.6, 26.4, 23.2, 24, 23.2, 21.6];21.6;27.2;24.4444;8.61849999637343;"1";16;3648;[229, 252, 170, 273, 238, 235, 239, 244, 205, 247, 244, 248, 171, 204, 143, 306];143;306;228.0000;9338.88;[586.24, 645.12, 435.2, 698.88, 609.28, 601.6, 611.84, 624.64, 524.8, 632.32, 624.64, 634.88, 437.76, 522.24, 366.08, 783.36];366.08;783.36;583.6800;[77.4911958484084, 87.87039990393, 78.2321480817582, -85.3550889725227, 81.5759107989317, -87.6506908062085, 86.2521725470945, 79.99696389139, 89.1406743908903, 77.6789881682557, 82.4824038452664, -90, 89.5774803337551, -90, 78.1522066878917, 4.88482037150874];-90;89.5774803337551;35.0206;1.75280000257771;"1";9;11470;[1321, 1261, 1283, 1249, 1283, 1296, 1232, 1261, 1284];1232;1321;1274.4444;0.0293632;[0.00338176, 0.00322816, 0.00328448, 0.00319744, 0.00328448, 0.00331776, 0.00315392, 0.00322816, 0.00328704];0.00315392;0.00338176;0.0033;[46.2337026990388, 63.5910771011824, 89.179719036928, 53.9246515970245, 59.8608373345979, 72.5571509449688, 84.5072626114722, 76.0219634944025, 74.8958677960564];46.2337026990388;89.179719036928;68.9747;3.05090000620112;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.98779998754617
HRH14441021;HE_3_1_L1;"1";1;6843602;6843602;6843602;6843602;6843602.0000;17.51962112;17.51962112;17.51962112;17.51962112;17.5196;0.411210192255607;0.411210192255607;0.411210192255607;0.4112;3.05115494255803;-2.26731474939659;23.5606085090095;"1";0;540.35607013539;2314.87852968263;0.368835723581344;1.85040565639505;0.10454715334336;3.7038056474922;-0.864569712216624;21.1327302948649;23.6431999946944;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.899132464791642, 0.866031782650075, 0.913914640875427, 0.893040168223908, 0.85027885176602, 0.920834171501366, 0.865986732127918, 0.845699528672969, 0.832761214366006];0.832761214366006;0.920834171501366;0.8764;[28, 26.4, 28.8, 28, 27.2, 27.2, 27.2, 27.2, 27.2];26.4;28.8;27.4667;3.77559999469668;"1";16;3684;[219, 255, 183, 270, 218, 260, 213, 255, 192, 270, 204, 272, 166, 238, 168, 301];166;301;230.2500;9431.04;[560.64, 652.8, 468.48, 691.2, 558.08, 665.6, 545.28, 652.8, 491.52, 691.2, 522.24, 696.32, 424.96, 609.28, 430.08, 770.56];424.96;770.56;589.4400;[-84.9987978771274, -90, -89.2855274533901, -79.3371076178057, -83.8238370456106, -82.7788557589715, 82.4641998230973, -90, 86.9264853340174, -89.4968708259768, 88.6871462416834, -90, -82.7152602410829, -90, 86.821561922804, 19.8819528437841];-90;88.6871462416834;-36.7284;1.69869999808725;"1";9;11996;[1423, 1314, 1356, 1327, 1331, 1300, 1299, 1323, 1323];1299;1423;1332.8889;0.03070976;[0.00364288, 0.00336384, 0.00347136, 0.00339712, 0.00340736, 0.003328, 0.00332544, 0.00338688, 0.00338688];0.00332544;0.00364288;0.0034;[61.9440811164159, 45.4919914427108, 58.5430593695573, 58.3528022676839, 37.9517327641893, 82.6830508268704, 67.7644480386919, 63.8920605248676, 55.4091284947382];37.9517327641893;82.6830508268704;59.1147;2.85370000347029;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.46940000215545
HRH14441021;HE_5_2_L1;"1";1;6827872;6827872;6827872;6827872;6827872.0000;17.47935232;17.47935232;17.47935232;17.47935232;17.4794;0.0467228889136723;0.0467228889136723;0.0467228889136723;0.0467;3.02618550412193;-2.25034100932179;2.67702434141201;"1";0;534.784220037751;2301.29599953024;0.0808943088440787;1.84502163576938;0.101503409577298;3.68207359924839;-0.855654752060402;4.63490248339352;28.8414999959059;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.870059213500755, 0.909611061004315, 0.883618252069159, 0.872229714393023, 0.855415412924252, 0.875770367187474, 0.780413479252539, 0.911336734069619, 0.763507204306245];0.763507204306245;0.911336734069619;0.8580;[27.2, 27.2, 27.2, 28, 27.2, 28, 24, 28, 24];24;28;26.7556;2.38759999047033;"1";16;3632;[209, 255, 182, 285, 226, 245, 214, 254, 188, 260, 210, 250, 181, 221, 143, 309];143;309;227.0000;9297.92;[535.04, 652.8, 465.92, 729.6, 578.56, 627.2, 547.84, 650.24, 481.28, 665.6, 537.6, 640, 463.36, 565.76, 366.08, 791.04];366.08;791.04;581.1200;[-83.4030900435777, -90, 82.3946779685386, 66.0267251243779, 80.233501501077, -90, 79.2661202059986, 87.6105104585258, 82.9536712404583, 87.8006748576155, 85.1604646708934, 85.9204533494973, 88.2025804483447, -90, -86.1934552595439, 13.9061540568325];-90;88.2025804483447;24.9924;2.40040000062436;"1";9;11939;[1399, 1340, 1367, 1293, 1307, 1291, 1279, 1303, 1360];1279;1399;1326.5556;0.03056384;[0.00358144, 0.0034304, 0.00349952, 0.00331008, 0.00334592, 0.00330496, 0.00327424, 0.00333568, 0.0034816];0.00327424;0.00358144;0.0034;[59.3106528388607, 75.8077387547156, 70.8055299696404, 67.3934221149697, 45.1879637299472, -84.9685156618562, 57.430504261201, 76.7757848770743, 52.1116823152268];-84.9685156618562;76.7757848770743;46.6505;1.56459999561775;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.03270000545308
