;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. *Cumulative Area (um)(FM);7. circularity (FM);8. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. *Cumulative Area (um)(FM);8. circularity (FM);9. Inspection Time
HE_1_2_L;"1";1;2989792;2989792;7653867.52;7653867.52;-1.40505103548571;"1";0;1270.16869832066;1873.48088374689;0.372106580660557;4029.77693471439;1987.28395065827;1401.37613791848;1876.24592934981;0.363792895484264;5079.06075990526;3431.79060915039;1335.77241811957;1874.86340654835;-1.54972559791692;-209.931903356505;-4.42407296468045;209.978514302016;0.00831368517629283;149.31149999029;"1";0;0;0;0;0;0;[0.567660926037201, 0.562445504600141, 0.540241761028735, 0.574128465320916, 0.576124013293876, 0.565939535421409, 0.554760012744013, 0.576239716482239, 0.538690147066959];[25.6, 26.4, 26.4, 26.4, 26.4, 25.6, 25.6, 26.4, 25.6];[62.4, 60.8, 60.8, 62.4, 60.8, 60.8, 59.2, 59.2, 60.8];12.4486999993678;"1";0;0;0;0;0;0;0;0;0;2.41680000908673;"1";1;32230;32230;82508.8;82508.8;-5.12523735887679;5.6;2820.01062364257;-2157.70022959975;-293.654469666417;15.414099994814;"FM";"1";0;0;0;0;0;38.1147000007331;"FM";"1";0;0;0;0;0;0;24.8081999889109
HE_2_1_L;"1";1;2990675;2990675;7656128;7656128;-1.0083907241068;"1";0;1275.59029739903;1870.64855492627;0.755194029715777;4029.96019744996;1987.41858382383;1410.77503205989;1875.34657907689;0.670325358289685;5086.38632605642;3429.65348469469;1343.18266472946;1872.99756700158;-1.53605768419847;-216.295575457373;-7.51683864098995;216.426150974393;0.0848686714260924;154.942299996037;"1";0;0;0;0;0;0;[0.559755155561249, 0.571846479556401, 0.531498097684336, 0.546325348971299, 0.522071389398046, 0.551455395281364, 0.545747109653361, 0.585866145300292, 0.535519594533458];[28.8, 28, 28, 27.2, 26.4, 27.2, 28, 27.2, 28.8];[60.8, 60.8, 60.8, 59.2, 60.8, 62.4, 59.2, 60.8, 60.8];8.63029999891296;"1";0;0;0;0;0;0;0;0;0;3.07099998462945;"1";1;32669;32669;83632.64;83632.64;-3.9586320138304;5.6;2832.1282194129;-2163.42039242095;-226.812907037856;14.7070999955758;"FM";"1";0;0;0;0;0;38.8400000229012;"FM";"1";0;0;0;0;0;0;28.7261999910697
HE_1_1_L;"1";1;2991082;2991082;7657169.92;7657169.92;-1.04588453158788;"1";0;1263.54477159243;1883.47493234447;0.730130323299794;4030.15893684806;1987.73408924604;1398.39316735085;1886.59802371941;0.645708028491102;5080.45566329697;3427.77193834999;1330.96896947164;1885.03647803194;-1.54764044761394;-215.757433213472;-4.99694619990223;215.81529013995;0.0844222948086915;98.7753999943379;"1";0;0;0;0;0;0;[0.535026363188369, 0.59109506982, 0.540501657572132, 0.57516085220391, 0.562021479258269, 0.565800701605392, 0.548028831825269, 0.573178811448295, 0.569850015240725];[26.4, 27.2, 28.8, 27.2, 27.2, 28, 27.2, 27.2, 27.2];[62.4, 62.4, 60.8, 60.8, 60.8, 62.4, 60.8, 59.2, 60.8];4.20500000473112;"1";0;0;0;0;0;0;0;0;0;1.82400000630878;"1";1;32999;32999;84477.44;84477.44;-4.6615987236428;5.6;2860.00084851056;-2159.06319585442;-267.089932648304;10.3947000170592;"FM";"1";0;0;0;0;0;32.5719999964349;"FM";"1";0;0;0;0;0;0;21.8837999855168
HE_2_2_L;"1";1;2987907;2987907;7649041.92;7649041.92;-1.43034552782196;"1";0;1280.78091813233;1864.41648260653;0.335817377952097;4029.88257986487;1987.26440064723;1412.64669586738;1868.20068299019;0.231003282463835;5092.92704040367;3433.86758853412;1346.71380699986;1866.30858279836;-1.54210683548238;-210.985244376087;-6.05472061385408;211.072103761129;0.104814095488262;99.1618999978527;"1";0;0;0;0;0;0;[0.52772140732578, 0.525247608144664, 0.524541564778622, 0.553851630378553, 0.572231116048399, 0.545626733184137, 0.553343483486402, 0.529719139664597, 0.528402089134479];[25.6, 25.6, 24.8, 25.6, 27.2, 25.6, 26.4, 25.6, 26.4];[59.2, 57.6, 57.6, 60.8, 59.2, 59.2, 59.2, 59.2, 59.2];1.92530002095737;"1";0;0;0;0;0;0;0;0;0;4.73580000107177;"1";1;34855;34855;89228.8;89228.8;-5.37243215382861;5.6;2859.01895280448;-2227.92694304978;-307.817688134758;8.99279999430291;"FM";"1";0;0;0;0;0;31.3487999956124;"FM";"1";0;0;0;0;0;0;26.9593000120949
HE_4_2_L;"1";1;2988787;2988787;7651294.72;7651294.72;-1.47772636912647;"1";0;1276.5255758957;1855.35445502984;0.288418808984043;4029.76452070705;1987.27679485654;1408.83809738998;1861.06078224544;0.237747773525473;5088.64591352017;3435.11398601857;1342.68183664284;1858.20761863764;-1.52769539285801;-211.700034390836;-9.13012354496423;211.896823282058;0.0506710354585703;205.398899997817;"1";0;0;0;0;0;0;[0.562234121149932, 0.576183668935567, 0.5828084908558, 0.520514285366688, 0.595993355442257, 0.583021540677992, 0.604370668297073, 0.574361312933055, 0.534433412690212];[25.6, 28, 28, 26.4, 28, 25.6, 28, 26.4, 26.4];[60.8, 59.2, 60.8, 59.2, 60.8, 60.8, 60.8, 62.4, 62.4];9.18609998188913;"1";0;0;0;0;0;0;0;0;0;2.07170000066981;"1";1;32537;32537;83294.72;83294.72;-4.66036014637899;5.6;2814.79669299567;-2159.88719304177;-267.018967398487;25.5976000044029;"FM";"1";0;0;0;0;0;79.394999978831;"FM";"1";0;0;0;0;0;0;48.6012999899685
HE_3_2_L;"1";1;2991307;2991307;7657745.92;7657745.92;-1.24710235824198;"1";0;1261.01396904429;1867.71247122791;0.525870024292604;4029.53840958258;1987.2996540422;1393.74802215321;1872.33874469322;0.451905596533486;5082.45810719418;3432.94534390852;1327.38099559875;1870.02560796057;-1.53595672521112;-212.374484974259;-7.40203754449103;212.503440037783;0.0739644277591175;192.551399988588;"1";0;0;0;0;0;0;[0.558629412394587, 0.582437522239337, 0.571866525281167, 0.548923903933951, 0.585948439073223, 0.617028604395162, 0.577724715634019, 0.575304893738114, 0.57503406337231];[28, 28.8, 28.8, 25.6, 29.6, 28.8, 26.4, 26.4, 28.8];[60.8, 59.2, 62.4, 62.4, 62.4, 62.4, 62.4, 62.4, 59.2];8.69859999511391;"1";0;0;0;0;0;0;0;0;0;2.01870000455528;"1";1;31791;31791;81384.96;81384.96;-4.43175340615074;5.6;2801.22978201378;-2127.17657198578;-253.920766015165;11.6719999932684;"FM";"1";0;0;0;0;0;76.5211000107229;"FM";"1";0;0;0;0;0;0;57.9973000276368
HE_3_1_L;"1";1;2991689;2991689;7658723.84;7658723.84;-1.21488290456568;"1";0;1260.92028373796;1881.16586673973;0.561624064118087;4030.12804122945;1987.79157873103;1395.15849037622;1884.65049811631;0.511939937531151;5088.06578094937;3429.15920637863;1328.03938705709;1882.90818242802;-1.54484358891837;-214.781130621222;-5.57541020253229;214.853483262099;0.0496841265869356;200.245399988489;"1";0;0;0;0;0;0;[0.561947065217596, 0.569772998131614, 0.544838247350039, 0.558855826758339, 0.583071679044331, 0.566001429559663, 0.585169720969227, 0.578062592375015, 0.548539536271705];[28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 28, 28.8];[60.8, 62.4, 59.2, 62.4, 62.4, 59.2, 62.4, 62.4, 60.8];3.52949998341501;"1";0;0;0;0;0;0;0;0;0;2.66800000099465;"1";1;32416;32416;82984.96;82984.96;-4.45279146515664;5.6;2840.70552813425;-2139.29027640671;-255.12615800535;13.8642000092659;"FM";"1";0;0;0;0;0;79.4575000181794;"FM";"1";0;0;0;0;0;0;63.059499982046
HE_4_1_L;"1";1;2990356;2990356;7655311.36;7655311.36;-1.13365317300979;"1";0;1270.32482434768;1864.72974825768;0.639215564167882;4030.33971163431;1987.74420876816;1405.17618816053;1869.92590370544;0.554458546801748;5085.17089749563;3430.52702673864;1337.75050625411;1867.32782598156;-1.53228291525761;-215.762182100555;-8.31384871641349;215.922299231164;0.0847570173661346;155.054400005611;"1";0;0;0;0;0;0;[0.568595693435781, 0.572583428454329, 0.505552093437473, 0.556069437841983, 0.561633184489305, 0.540320699008932, 0.55078998006477, 0.542777355364649, 0.556259254958141];[28, 27.2, 25.6, 28.8, 27.2, 26.4, 27.2, 27.2, 26.4];[57.6, 60.8, 57.6, 60.8, 62.4, 59.2, 60.8, 60.8, 59.2];5.44509998871945;"1";0;0;0;0;0;0;0;0;0;14.253400004236;"1";1;32821;32821;84021.76;84021.76;-4.27090443676009;5.6;2832.19875079979;-2158.051637671;-244.704798930051;23.3704000129364;"FM";"1";0;0;0;0;0;43.9607000153046;"FM";"1";0;0;0;0;0;0;79.9155999848153
HE_6_1_L;"1";1;2990350;2990350;7655296;7655296;-1.10847570772003;"1";0;1269.44508523203;1868.39346799679;0.662357683908774;4030.27172010477;1987.80391033856;1402.27062563602;1870.56880309565;0.575733831601491;5087.02511417887;3429.54845802546;1335.85785543403;1869.48113554622;-1.55442040515385;-212.520864646385;-3.48053615816534;212.549363776972;0.0866238523072833;142.362400016282;"1";0;0;0;0;0;0;[0.552880615873157, 0.555473114121294, 0.525302069295454, 0.545569284225895, 0.565508351542473, 0.58058514588005, 0.566156688171116, 0.601161296605609, 0.55288647770656];[28, 28, 28.8, 28.8, 28.8, 28.8, 28, 28.8, 28];[60.8, 60.8, 60.8, 62.4, 60.8, 60.8, 60.8, 60.8, 60.8];2.70780001301318;"1";0;0;0;0;0;0;0;0;0;4.09709999803454;"1";1;34176;34176;87490.56;87490.56;-4.71287790495296;5.6;2860.69199438202;-2190.88403558052;-270.028013314262;18.8393999997061;"FM";"1";0;0;0;0;0;49.0864000166766;"FM";"1";0;0;0;0;0;0;82.1735999779776
